bioguide_id,first_name,last_name,full_name,date_of_birth,age,age_pretty,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,given_name,middle_name,family_name,nick_name,unaccented_given_name,unaccented_middle_name,unaccented_family_name,honorific_prefix,honorific_suffix,military_service,has_military_service,profile_birthplace,profile_education
B001281,Joyce,Beatty,Joyce Beatty,3/12/50,75,"75 years, 7 months",1/3/13,152,12.67,"12 years, 8 months",Joyce,,Beatty,,Joyce,,Beatty,,,,,,"Dayton, Montgomery County, Ohio","graduated from Nettie Lee Roth High School, Dayton, Ohio; B.A., Central State University, Wilberforce, Ohio, 1972; M.S., Wright State University, Fairborn, Ohio, 1974; attended University of Cincinnati, Cincinnati, Ohio; professor, Sinclair Community College, Dayton, Ohio, 1975-1983; senior vice president, The Ohio State University, Columbus, Ohio, 2008-2012",
B001324,Wesley,Bell,Wesley Bell,11/5/74,50,"50 years, 11 months",1/3/25,8,0.67,8 months,Wesley,,Bell,,Wesley,,Bell,,,,,,,"graduated from Hazelwood East High School, St. Louis, Mo., 1992; attended St. Louis Community College-Florissant Valley, Ferguson, Mo.; B.A., Lindenwood University, Saint Charles, Mo., 2011-2018; J.D., University of Missouri, Columbia, Mo.; faculty member, St. Louis Community College-Florissant Valley, Ferguson, Mo., 2011-2018",
B001267,Michael,Bennet,Michael Bennet,11/28/64,60,"60 years, 10 months",1/21/09,200,16.67,"16 years, 8 months",Michael,F.,Bennet,,Michael,F.,Bennet,,,,,,"New Delhi, India","B.A., Wesleyan University, Middletown, Conn., 1987; J.D., Yale Law School, 1993, editor-in-chief of the Yale Law Journal",
B000668,Cliff,Bentz,Cliff Bentz,1/12/52,73,"73 years, 9 months",1/3/21,56,4.67,"4 years, 8 months",Cliff,,Bentz,,Cliff,,Bentz,Mr.,,,,,"Salem, Marion County, Oreg","graduated from Regis High School, Stayton, Oreg., 1970; B.S., Eastern Oregon State College, La Grande, Oreg., 1974; J.D., Lewis and Clark College, Portland, Oreg., 1977",
B001287,Ami,Bera,Ami Bera,3/2/65,60,"60 years, 7 months",1/3/13,152,12.67,"12 years, 8 months",Ami,,Bera,,Ami,,Bera,,,,,,"Los Angeles, Los Angeles County, Calif","graduated from John F. Kennedy High School, La Palma, Calif., 1983; B.S., University of California, Irvine, Calif., 1987; M.D., University of California, Irvine, Calif., 1991; associate dean, University of California-Irvine School of Medicine, Irvine, Calif., 2004-2007",
B001301,Jack,Bergman,Jack Bergman,2/2/47,78,"78 years, 8 months",1/3/17,104,8.67,"8 years, 8 months",John,,Bergman,,John,,Bergman,,,,Marine Corps,Yes,"Shakopee, Scott County, Minn","B.A., Gustavus Adolphus College, St. Peter, Minn., 1969; M.B.A., University of West Florida, Pensacola, Fla., 1975",
B001292,Don,Beyer,Don Beyer,6/20/50,75,"75 years, 3 months",1/3/15,128,10.67,"10 years, 8 months",Donald,Sternoff,Beyer,,Donald,Sternoff,Beyer,,Jr.,,,,"Trieste, Italy","graduated from Gonzaga College High School, Washington, D.C., 1968; B.A., Williams College, Williamstown, Mass., 1972",
B000740,Stephanie,Bice,Stephanie Bice,11/11/73,51,"51 years, 11 months",1/3/21,56,4.67,"4 years, 8 months",Stephanie,I.,Bice,,Stephanie,I.,Bice,Mrs.,,,,,"Oklahoma City, Oklahoma County, Okla","graduated from Putnam City High School, Oklahoma City, Okla., 1991; B.A., Oklahoma State University, Stillwater, Okla., 1995",
B001302,Andy,Biggs,Andy Biggs,11/7/58,66,"66 years, 11 months",1/3/17,104,8.67,"8 years, 8 months",Andrew,S.,Biggs,,Andrew,S.,Biggs,,,,,,"Tucson, Pima County, Ariz","B.A., Brigham Young University, Provo, Utah, 1982; J.D., University of Arizona, Tucson, Ariz., 1984; M.A., Arizona State University, Tempe, Ariz, 1999",
B001325,Sheri,Biggs,Sheri Biggs,3/28/70,55,"55 years, 6 months",1/3/25,8,0.67,8 months,Sheri,,Biggs,,Sheri,,Biggs,,,,Mississippi Air National Guard,Yes,Mississippi,"graduated from Kosciusko High School, Kosciusko, Miss., 1988; graduated from Carolina Bible College, Anderson, S.C.; D.N.P., Samford University, Homewood, Ala.",
B001257,Gus,Bilirakis,Gus Bilirakis,2/8/63,62,"62 years, 8 months",1/3/07,224,18.67,"18 years, 8 months",Gus,,Bilirakis,,Gus,,Bilirakis,,,,,,"Gainesville, Alachua County, Fla","graduated from Tarpon Springs High School, Tarpon Springs, Fla., 1981; attended St. Petersburg Junior College, St. Petersburg, Fla., 1981-1983; B.A., University of Florida, Gainesville, Fla., 1986; J.D., Stetson University, St. Petersburg, Fla., 1989",
B000490,Sanford,Bishop,Sanford Bishop,2/4/47,78,"78 years, 8 months",1/3/93,392,32.67,"32 years, 8 months",Sanford,Dixon,Bishop,,Sanford,Dixon,Bishop,,Jr.,,Army,Yes,"Mobile, Mobile County, Ala","graduated from Central High School, Mobile, Ala., 1964; B.A., Morehouse College, Atlanta, Ga., 1968; J.D., Emory University, Atlanta, Ga., 1971",
B001243,Marsha,Blackburn,Marsha Blackburn,6/6/52,73,"73 years, 4 months",1/3/19,80,6.67,"6 years, 8 months",Marsha,,Blackburn,,Marsha,,Blackburn,,,,,,"Laurel, Jones County, Miss","graduated from Northeast Jones High School, Laurel, Miss., 1970; B.S. Mississippi State University, Starkville, Miss., 1973",
B001277,Richard,Blumenthal,Richard Blumenthal,2/13/46,79,"79 years, 8 months",1/3/11,176,14.67,"14 years, 8 months",Richard,,Blumenthal,,Richard,,Blumenthal,,,,,,"Brooklyn, N.Y","graduated Harvard University, B.A., 1967; attended Cambridge University, 1967-1968; graduated Yale University, J.D., 1973; editor-in-chief of the Yale Law Journal; law clerk to United States Supreme Court Justice Harry A. Blackmun 1974-1975",
B001303,Lisa,Blunt Rochester,Lisa Blunt Rochester,2/10/62,63,"63 years, 8 months",1/3/25,8,0.67,8 months,Lisa,,Blunt Rochester,,Lisa,,Blunt Rochester,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Padua Academy, Wilmington, Del., 1980; B.A., Fairleigh Dickinson University, Rutherford, N.J., 1985; M.A., University of Delaware, Newark, Del., 2003; senior fellow, University of Massachusetts, Boston, Mass., 2012-2015",
B000825,Lauren,Boebert,Lauren Boebert,12/15/86,38,"38 years, 10 months",1/3/21,56,4.67,"4 years, 8 months",Lauren,,Boebert,,Lauren,,Boebert,Mrs.,,,,,"Altamonte Springs, Seminole County, Fla","attended Rifle High School, Rifle, Colo., 2004",
B001278,Suzanne,Bonamici,Suzanne Bonamici,10/14/54,70,"71 years",1/31/12,163,13.58,"13 years, 7 months",Suzanne,,Bonamici,,Suzanne,,Bonamici,,,,,,"Detroit, Wayne County, Mich","A.A., Lane Community College, Eugene, Oreg., 1978; B.A., University of Oregon, Eugene, Oreg., 1980; J.D., University of Oregon, Eugene, Oreg., 1983",
B001288,Cory,Booker,Cory Booker,4/27/69,56,"56 years, 5 months",10/31/13,142,11.83,"11 years, 10 months",Cory,Anthony,Booker,,Cory,Anthony,Booker,,,,,,"Washington, D.C","graduated Northern Valley Regional High School, Old Tappan, N.J., 1987; B.A., Stanford University, 1991; M.A., Stanford University, 1992; attended The Queen&rsquo; s College, University of Oxford, Oxford, England, as a Rhodes Scholar and received a graduate degree in 1994; J.D., Yale Law School, 1997",
B001236,John,Boozman,John Boozman,12/10/50,74,"74 years, 10 months",1/3/11,176,14.67,"14 years, 8 months",John,,Boozman,,John,,Boozman,,,,,,"Shreveport, La","graduated from Northside High School, Fort Smith, Ark.; attended the University of Arkansas, Fayetteville, Ark., 1969-1972; graduated Southern College of Optometry, 1977; member of the Rogers, Ark., school board",
B001295,Mike,Bost,Mike Bost,12/30/60,64,"64 years, 9 months",1/3/15,128,10.67,"10 years, 8 months",Mike,,Bost,,Mike,,Bost,,,,Marine Corps,Yes,"Murphysboro, Jackson County, Ill","graduated from Murphysboro High School, Murphysboro, Ill., 1979; Certified Firefighter II Academy, University of Illinois, 1993",
B001296,Brendan,Boyle,Brendan Boyle,2/6/77,48,"48 years, 8 months",1/3/15,128,10.67,"10 years, 8 months",Brendan,Francis,Boyle,,Brendan,Francis,Boyle,,,,,,"Philadelphia, Philadelphia County, Pa","graduated from Cardinal Dougherty High School, Philadelphia, Pa., 1995; B.A., University of Notre Dame, Notre Dame, Ind., 1999; M.P.P., Harvard University Kennedy School of Government, Cambridge, Mass., 2005; adjunct professor, Drexel University, Philadelphia, Pa.",
B001317,Josh,Brecheen,Josh Brecheen,6/19/79,46,"46 years, 3 months",1/3/23,32,2.67,"2 years, 8 months",Josh,,Brecheen,,Josh,,Brecheen,,,,,,"Ada, Pontotoc County, Okla","graduated from Coalgate High School, Coalgate, Okla., 1997; attended Southeastern Oklahoma State University, Durant, Okla.; B.S., Oklahoma State University, Stillwater, Okla., 2002",
B001327,Rob,Bresnahan,Rob Bresnahan,4/22/90,35,"35 years, 5 months",1/3/25,8,0.67,8 months,Robert,P.,Bresnahan,,Robert,P.,Bresnahan,,Jr.,,,,"Kingston, Luzerne County, Pa","graduated from Wyoming Seminary, Kingston, Pa., 2008; B.S., University of Scranton, Scranton, Pa., 2012",
B001319,Katie,Britt,Katie Britt,2/2/82,43,"43 years, 8 months",1/3/23,32,2.67,"2 years, 8 months",Katie,Boyd,Britt,,Katie,Boyd,Britt,,,,,,"Enterprise, Ala","graduated Enterprise High School, 2000; B.S., political science, University of Alabama, 2004; J.D., University of Alabama School of Law, 2013",
B001313,Shontel,Brown,Shontel Brown,6/24/75,50,"50 years, 3 months",11/4/21,46,3.83,"3 years, 10 months",Shontel ,,Brown,,Shontel ,,Brown,,,,,,"Cleveland, Cuyahoga County, Ohio","graduated from John Adams High School, Cleveland, Ohio; A.B., Cuyahoga Community College, Cleveland, Ohio",
B001285,Julia,Brownley,Julia Brownley,8/28/52,73,"73 years, 1 months",1/3/13,152,12.67,"12 years, 8 months",Julia,,Brownley,,Julia,,Brownley,,,,,,"Aiken, Aiken County, S.C","B.A., Mount Vernon College (now the George Washington University), Washington, D.C., 1975; M.B.A., American University, Washington, D.C., 1979; member of the Santa Monica-Malibu school district board, 1994-2006",
B001260,Vern,Buchanan,Vern Buchanan,5/8/51,74,"74 years, 5 months",1/3/07,224,18.67,"18 years, 8 months",Vernon,G.,Buchanan,,Vernon,G.,Buchanan,,,,Michigan Air National Guard,Yes,"Detroit, Wayne County, Mich","B.B.A., Cleary University, Ann Arbor, Mich., 1975; M.B.A., University of Detroit, Detroit, Mich., 1986",
B001305,Ted,Budd,Ted Budd,10/21/71,53,"53 years, 11 months",1/3/23,32,2.67,"2 years, 8 months",Theodore,Paul,Budd,,Theodore,Paul,Budd,,,,,,"Davie County, N.C","graduated from Davie County High School, Mocksville, N.C., 1990; B.S., Appalachian State University, Boone, N.C., 1994; M.A., Dallas Theological Seminary, Dallas, Tex., 1998; M.B.A., Wake Forest University, Winston-Salem, N.C., 2007",
B001315,Nikki,Budzinski,Nikki Budzinski,3/11/77,48,"48 years, 7 months",1/3/23,32,2.67,"2 years, 8 months",Nikki,,Budzinski,,Nikki,,Budzinski,,,,,,"Peoria, Peoria County, Ill","B.A., University of Illinois, Urbana-Champaign, Ill., 1999",
B001309,Tim,Burchett,Tim Burchett,8/25/64,61,"61 years, 1 months",1/3/19,80,6.67,"6 years, 8 months",Timothy,,Burchett,,Timothy,,Burchett,,,,,,"Knoxville, Knox County, Tenn","graduated from Bearden High School, Knoxville, Tenn., 1982; B.S., University of Tennessee, Knoxville, Tenn., 1988",
B001316,Eric,Burlison,Eric Burlison,10/2/76,48,"49 years",1/3/23,32,2.67,"2 years, 8 months",Eric,,Burlison,,Eric,,Burlison,,,,,,"Springfield, Greene County, Mo","graduated from Parkview High School, Springfield, Mo., 1995; B.A., Missouri State University, Springfield, Mo.; M.B.A., Missouri State University, Springfield, Mo., 2002",
B001326,Janelle,Bynum,Janelle Bynum,1/31/75,50,"50 years, 8 months",1/3/25,8,0.67,8 months,Janelle,S.,Bynum,,Janelle,S.,Bynum,,,,,,"Washington, D.C","graduated from Madeira School, McLean, Va., 1992; B.S., Florida Agricultural and Mechanical University, Tallahassee, Fla., 1996; M.B.A., University of Michigan, Ann Arbor, Mich., 2000",
C000059,Ken,Calvert,Ken Calvert,6/8/53,72,"72 years, 4 months",1/3/93,392,32.67,"32 years, 8 months",Ken,,Calvert,,Ken,,Calvert,,,,,,"Corona, Riverside County, Calif","graduated from Corona High School, Corona, Calif., 1971; A.A., Chaffey College, Rancho Cucamonga, Calif., 1973; B.A., San Diego State University, San Diego, Calif., 1975",
C001039,Kat,Cammack,Kat Cammack,2/16/88,37,"37 years, 7 months",1/3/21,56,4.67,"4 years, 8 months",Kat,,Cammack,,Kat,,Cammack,Mrs.,,,,,"Denver, Denver County, Colo","graduated from Douglas County High School, Castle Rock, Colo., 2006; attended the Semester at Sea program, University of Virginia in 2009; B.A., Metropolitan State University of Denver, Denver, Colo., 2011; M.S., Naval War College, Newport, R.I., 2018",
C000127,Maria,Cantwell,Maria Cantwell,10/13/58,66,"67 years",1/3/01,296,24.67,"24 years, 8 months",Maria,E.,Cantwell,,Maria,E.,Cantwell,,,,,,"Indianapolis, Ind","attended public schools in Indianapolis; B.A., Miami University of Ohio 1980; pursued an academic course at the Miami University European Center, Luxembourg",
C001047,Shelley Moore,Capito,Shelley Moore Capito,11/26/53,71,"71 years, 10 months",1/3/15,128,10.67,"10 years, 8 months",Shelley,Moore,Capito,,Shelley,Moore,Capito,,,,,,"Glendale, Marshall County, W.Va","B.S., Duke University, Durham, N.C., 1975; M.Ed., University of Virginia, Charlottesville, Va., 1976; college counselor",
C001112,Salud,Carbajal,Salud Carbajal,11/18/64,60,"60 years, 10 months",1/3/17,104,8.67,"8 years, 8 months",Salud,,Carbajal,,Salud,,Carbajal,,,,Marine Corps Reserve,Yes,"Moroleon, Mexico","B.A., University of California, Santa Barbara, Calif., 1990; M.A., Fielding Graduate University, Santa Barbara, Calif., 1994",
C001126,Mike,Carey,Mike Carey,3/13/71,54,"54 years, 7 months",11/4/21,46,3.83,"3 years, 10 months",Mike,,Carey,,Mike,,Carey,,,,Army Reserve,Yes,"Sabina, Clinton County, Ohio","graduated from East Clinton High School, Sabina, Ohio, 1989; A.S., Marion Military Institute, Marion, Alabama, 1991; B.A., Ohio State University, Columbus, Ohio, 1993",
C001072,André,Carson,André Carson,10/16/74,50,"50 years, 11 months",3/11/08,210,17.5,"17 years, 6 months",Andre,,Carson,,Andre,,Carson,,,,,,"Indianapolis, Marion County, Ind","graduated from Arsenal Technical High School, Indianapolis, Ind., 1994; B.A., Concordia University Wisconsin, Mequon, Wis., 2003; M.S., Indiana Wesleyan University, Marion, Ind., 2005",
C001103,Buddy,Carter,Buddy Carter,9/6/57,68,"68 years, 1 months",1/3/15,128,10.67,"10 years, 8 months",Buddy,,Carter,,Buddy,,Carter,,,,,,"Port Wentworth, Chatham County, Ga","graduated from Robert W. Groves High School, Garden City, Ga., 1975; A.A., Young Harris College, Young Harris, Ga., 1977; B.S., University of Georgia, Athens, Ga., 1980",
C001125,Troy,Carter,Troy Carter,10/26/63,61,"61 years, 11 months",5/11/21,52,4.33,"4 years, 4 months",Troy,,Carter,,Troy,,Carter,,,,,,"New Orleans, Orleans Parish, La","graduated from O. Walker Perry High School, New Orleans, La., 1982; B.A., Xavier University, New Orleans, La., 1986; attended Carnegie Mellon University, Pittsburgh, Pa.",
C001051,John,Carter,John Carter,11/6/41,83,"83 years, 11 months",1/3/03,272,22.67,"22 years, 8 months",John,R.,Carter,,John,R.,Carter,,,,,,"Houston, Harris County, Tex","graduated from Bellaire High School, Houston, Tex., 1960; B.A., Texas Tech University, Lubbock, Tex., 1964; J.D., University of Texas Law School, Austin, Tex., 1969",
C001131,Greg,Casar,Greg Casar,5/4/89,36,"36 years, 5 months",1/3/23,32,2.67,"2 years, 8 months",Greg,,Casar,,Greg,,Casar,,,,,,"Houston, Harris County, Tex","graduated from Strake Jesuit College Preparatory, Houston, Tex., 2007; B.A., University of Virginia, Charlottesville, Va., 2011",
C001055,Ed,Case,Ed Case,9/27/52,73,"73 years",1/3/19,80,6.67,"6 years, 8 months",Ed,,Case,,Ed,,Case,,,,,,"Hilo, Territory of Hawai'i","graduated from Hawai'i Preparatory High School, Kamuela, Hawai'i, 1970; B.A., Williams College, Williamstown, Mass., 1975; J.D., University of California, San Francisco, Calif., 1981",
C001075,Bill,Cassidy,Bill Cassidy,9/28/57,68,"68 years",1/3/15,128,10.67,"10 years, 8 months",Bill,,Cassidy,,Bill,,Cassidy,,,,,,"Highland Park, Lake County, Ill","B.S., Louisiana State University, Baton Rouge, La., 1979; M.D., Louisiana State University Medical School, New Orleans, La., 1983; chair, Committee on Health, Education, Labor, and Pensions (One Hundred Nineteenth Congress).",
C001117,Sean,Casten,Sean Casten,11/23/71,53,"53 years, 10 months",1/3/19,80,6.67,"6 years, 8 months",Sean,,Casten,,Sean,,Casten,,,,,,"Dublin, Ireland","graduated from Woodlands High School, Hartsdale, NY, 1989; B.A., Middlebury College, Middlebury, Vt., 1993; M.S., Dartmouth College, Hanover, N.H., 1998; M.E.M., Dartmouth College, Hanover, N.H., 1998",
C001066,Kathy,Castor,Kathy Castor,8/20/66,59,"59 years, 1 months",1/3/07,224,18.67,"18 years, 8 months",Kathy,,Castor,,Kathy,,Castor,,,,,,"Miami, Miami-Dade County, Fla","graduated from Chamberlain High School, Tampa, Fla., 1984; B.A., Emory University, Atlanta, Ga., 1988; J.D., Florida State University, Tallahassee, Fla., 1991",
C001091,Joaquin,Castro,Joaquin Castro,9/16/74,51,"51 years",1/3/13,152,12.67,"12 years, 8 months",Joaquin,,Castro,,Joaquin,,Castro,,,,,,"San Antonio, Bexar County, Tex","graduated from Thomas Jefferson High School, San Antonio, Tex., 1992; B.A., Stanford University, Stanford, Calif., 1996; J.D., Harvard University, Cambridge, Mass., 2000",
