first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service
Josh,Brecheen,Josh Brecheen,6/19/79,46,1/3/23,32,2.67,"2 years, 8 months",House,B001317,,
Rob,Bresnahan,Rob Bresnahan,4/22/90,35,1/3/25,8,0.67,8 months,House,B001327,,
Katie,Britt,Katie Britt,2/2/82,43,1/3/23,32,2.67,"2 years, 8 months",Senate,B001319,,
Shontel,Brown,Shontel Brown,6/24/75,50,11/4/21,46,3.83,"3 years, 10 months",House,B001313,,
Julia,Brownley,Julia Brownley,8/28/52,73,1/3/13,152,12.67,"12 years, 8 months",House,B001285,,
Vern,Buchanan,Vern Buchanan,5/8/51,74,1/3/07,224,18.67,"18 years, 8 months",House,B001260,Michigan Air National Guard,Yes
Ted,Budd,Ted Budd,10/21/71,53,1/3/23,32,2.67,"2 years, 8 months",Senate,B001305,,
Nikki,Budzinski,Nikki Budzinski,3/11/77,48,1/3/23,32,2.67,"2 years, 8 months",House,B001315,,
Tim,Burchett,Tim Burchett,8/25/64,61,1/3/19,80,6.67,"6 years, 8 months",House,B001309,,
Eric,Burlison,Eric Burlison,10/2/76,48,1/3/23,32,2.67,"2 years, 8 months",House,B001316,,
Janelle,Bynum,Janelle Bynum,1/31/75,50,1/3/25,8,0.67,8 months,House,B001326,,
Ken,Calvert,Ken Calvert,6/8/53,72,1/3/93,392,32.67,"32 years, 8 months",House,C000059,,
Kat,Cammack,Kat Cammack,2/16/88,37,1/3/21,56,4.67,"4 years, 8 months",House,C001039,,
Maria,Cantwell,Maria Cantwell,10/13/58,66,1/3/01,296,24.67,"24 years, 8 months",Senate,C000127,,
Shelley Moore,Capito,Shelley Moore Capito,11/26/53,71,1/3/15,128,10.67,"10 years, 8 months",Senate,C001047,,
Salud,Carbajal,Salud Carbajal,11/18/64,60,1/3/17,104,8.67,"8 years, 8 months",House,C001112,Marine Corps Reserve,Yes
Mike,Carey,Mike Carey,3/13/71,54,11/4/21,46,3.83,"3 years, 10 months",House,C001126,Army Reserve,Yes
André,Carson,André Carson,10/16/74,50,3/11/08,210,17.5,"17 years, 6 months",House,C001072,,
Buddy,Carter,Buddy Carter,9/6/57,68,1/3/15,128,10.67,"10 years, 8 months",House,C001103,,
Troy,Carter,Troy Carter,10/26/63,61,5/11/21,52,4.33,"4 years, 4 months",House,C001125,,
John,Carter,John Carter,11/6/41,83,1/3/03,272,22.67,"22 years, 8 months",House,C001051,,
Greg,Casar,Greg Casar,5/4/89,36,1/3/23,32,2.67,"2 years, 8 months",House,C001131,,
Ed,Case,Ed Case,9/27/52,73,1/3/19,80,6.67,"6 years, 8 months",House,C001055,,
Bill,Cassidy,Bill Cassidy,9/28/57,68,1/3/15,128,10.67,"10 years, 8 months",Senate,C001075,,
Sean,Casten,Sean Casten,11/23/71,53,1/3/19,80,6.67,"6 years, 8 months",House,C001117,,
Kathy,Castor,Kathy Castor,8/20/66,59,1/3/07,224,18.67,"18 years, 8 months",House,C001066,,
Joaquin,Castro,Joaquin Castro,9/16/74,51,1/3/13,152,12.67,"12 years, 8 months",House,C001091,,
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1/25/79,46,1/18/22,44,3.67,"3 years, 8 months",House,C001127,,
Judy,Chu,Judy Chu,7/7/53,72,7/14/09,194,16.17,"16 years, 2 months",House,C001080,,
Juan,Ciscomani,Juan Ciscomani,8/31/82,43,1/3/23,32,2.67,"2 years, 8 months",House,C001133,,
Gil,Cisneros,Gil Cisneros,2/12/71,54,1/3/25,8,0.67,8 months,House,C001123,Navy,Yes
Katherine,Clark,Katherine Clark,7/17/63,62,12/12/13,141,11.75,"11 years, 9 months",House,C001101,,
Yvette,Clarke,Yvette Clarke,11/21/64,60,1/3/07,224,18.67,"18 years, 8 months",House,C001067,,
Emanuel,Cleaver,Emanuel Cleaver,10/26/44,80,1/3/05,248,20.67,"20 years, 8 months",House,C001061,,
Ben,Cline,Ben Cline,2/29/72,53,1/3/19,80,6.67,"6 years, 8 months",House,C001118,,
Michael,Cloud,Michael Cloud,5/13/75,50,7/10/18,86,7.17,"7 years, 2 months",House,C001115,,
Jim,Clyburn,Jim Clyburn,7/21/40,85,1/3/93,392,32.67,"32 years, 8 months",House,C000537,,
Andrew,Clyde,Andrew Clyde,11/22/63,61,1/3/21,56,4.67,"4 years, 8 months",House,C001116,Navy Navy Reserve,Yes
Steve,Cohen,Steve Cohen,5/24/49,76,1/3/07,224,18.67,"18 years, 8 months",House,C001068,,
Tom,Cole,Tom Cole,4/28/49,76,1/3/03,272,22.67,"22 years, 8 months",House,C001053,,
Bonnie Watson,Coleman,Bonnie Watson Coleman,2/6/45,80,1/3/15,128,10.67,"10 years, 8 months",House,W000822,,
Susan,Collins,Susan Collins,12/7/52,72,1/3/97,344,28.67,"28 years, 8 months",Senate,C001035,,
Mike,Collins,Mike Collins,7/2/67,58,1/3/23,32,2.67,"2 years, 8 months",House,C001129,,
James,Comer,James Comer,8/19/72,53,11/8/16,106,8.83,"8 years, 10 months",House,C001108,,
Herb,Conaway,Herb Conaway,1/30/63,62,1/3/25,8,0.67,8 months,House,C001136,Air Force,Yes
Chris,Coons,Chris Coons,9/9/63,62,11/15/10,178,14.83,"14 years, 10 months",Senate,C001088,,
John,Cornyn,John Cornyn,2/2/52,73,12/2/02,273,22.75,"22 years, 9 months",Senate,C001056,,
Lou,Correa,Lou Correa,1/24/58,67,1/3/17,104,8.67,"8 years, 8 months",House,C001110,,
Catherine,Cortez Masto,Catherine Cortez Masto,3/29/64,61,1/3/17,104,8.67,"8 years, 8 months",Senate,C001113,,
Jim,Costa,Jim Costa,4/13/52,73,1/3/05,248,20.67,"20 years, 8 months",House,C001059,,
Tom,Cotton,Tom Cotton,5/13/77,48,1/3/15,128,10.67,"10 years, 8 months",Senate,C001095,,
Joe,Courtney,Joe Courtney,4/6/53,72,1/3/07,224,18.67,"18 years, 8 months",House,C001069,,
Angie,Craig,Angie Craig,2/14/72,53,1/3/19,80,6.67,"6 years, 8 months",House,C001119,,
Kevin,Cramer,Kevin Cramer,1/21/61,64,1/3/19,80,6.67,"6 years, 8 months",Senate,C001096,,
Eli,Crane,Eli Crane,1/3/80,45,1/3/23,32,2.67,"2 years, 8 months",House,C001132,Navy,Yes
Jeff,Crank,Jeff Crank,1/28/67,58,1/3/25,8,0.67,8 months,House,C001137,,
Mike,Crapo,Mike Crapo,5/20/51,74,1/3/99,320,26.67,"26 years, 8 months",Senate,C000880,,
Rick,Crawford,Rick Crawford,1/22/66,59,1/3/11,176,14.67,"14 years, 8 months",House,C001087,Army,Yes
Dan,Crenshaw,Dan Crenshaw,3/14/84,41,1/3/19,80,6.67,"6 years, 8 months",House,C001120,Navy,Yes
Jasmine,Crockett,Jasmine Crockett,3/29/81,44,1/3/23,32,2.67,"2 years, 8 months",House,C001130,,
Jason,Crow,Jason Crow,3/15/79,46,1/3/19,80,6.67,"6 years, 8 months",House,C001121,Army Army National Guard,Yes
Ted,Cruz,Ted Cruz,12/22/70,54,1/3/13,152,12.67,"12 years, 8 months",Senate,C001098,,
Monica De La,Cruz,Monica De La Cruz,11/11/74,50,1/3/23,32,2.67,"2 years, 8 months",House,D000594,,
Henry,Cuellar,Henry Cuellar,9/19/55,70,1/3/05,248,20.67,"20 years, 8 months",House,C001063,,
John,Curtis,John Curtis,5/10/60,65,1/3/25,8,0.67,8 months,Senate,C001114,,
Mario,Díaz-Balart,Mario Díaz-Balart,9/25/61,64,1/3/03,272,22.67,"22 years, 8 months",House,D000600,,
Steve,Daines,Steve Daines,8/20/62,63,1/3/15,128,10.67,"10 years, 8 months",Senate,D000618,,
Sharice,Davids,Sharice Davids,5/22/80,45,1/3/19,80,6.67,"6 years, 8 months",House,D000629,,
Warren,Davidson,Warren Davidson,3/1/70,55,6/9/16,111,9.25,"9 years, 3 months",House,D000626,Army,Yes
Danny,Davis,Danny Davis,9/6/41,84,1/3/97,344,28.67,"28 years, 8 months",House,D000096,,
Don,Davis,Don Davis,8/29/71,54,1/3/23,32,2.67,"2 years, 8 months",House,D000230,Air Force,Yes
Madeleine,Dean,Madeleine Dean,6/6/59,66,1/3/19,80,6.67,"6 years, 8 months",House,D000631,,
Diana,DeGette,Diana DeGette,7/29/57,68,1/3/97,344,28.67,"28 years, 8 months",House,D000197,,
April McClain,Delaney,April McClain Delaney,5/28/64,61,1/3/25,8,0.67,8 months,House,M001232,,
Rosa,DeLauro,Rosa DeLauro,3/2/43,82,1/3/91,416,34.67,"34 years, 8 months",House,D000216,,
Suzan,DelBene,Suzan DelBene,2/17/62,63,11/13/12,154,12.83,"12 years, 10 months",House,D000617,,
Chris,Deluzio,Chris Deluzio,7/13/84,41,1/3/23,32,2.67,"2 years, 8 months",House,D000530,Navy,Yes
Mark,DeSaulnier,Mark DeSaulnier,3/31/52,73,1/3/15,128,10.67,"10 years, 8 months",House,D000623,,
Scott,DesJarlais,Scott DesJarlais,2/21/64,61,1/3/11,176,14.67,"14 years, 8 months",House,D000616,,
Maxine,Dexter,Maxine Dexter,12/5/72,52,1/3/25,8,0.67,8 months,House,D000635,,
Debbie,Dingell,Debbie Dingell,11/23/53,71,1/3/15,128,10.67,"10 years, 8 months",House,D000624,,
Lloyd,Doggett,Lloyd Doggett,10/6/46,78,1/3/95,368,30.67,"30 years, 8 months",House,D000399,,
Byron,Donalds,Byron Donalds,10/26/78,46,1/3/21,56,4.67,"4 years, 8 months",House,D000032,,
Troy,Downing,Troy Downing,3/4/67,58,1/3/25,8,0.67,8 months,House,D000634,Air Force Air National Guard,Yes
Jeff Van,Drew,Jeff Van Drew,2/23/53,72,1/3/19,80,6.67,"6 years, 8 months",House,V000133,,
Tammy,Duckworth,Tammy Duckworth,3/12/68,57,1/3/17,104,8.67,"8 years, 8 months",Senate,D000622,,
Neal,Dunn,Neal Dunn,2/16/53,72,1/3/17,104,8.67,"8 years, 8 months",House,D000628,Army,Yes
Dick,Durbin,Dick Durbin,11/21/44,80,1/3/97,344,28.67,"28 years, 8 months",Senate,D000563,,
Beth Van,Duyne,Beth Van Duyne,11/16/70,54,1/3/21,56,4.67,"4 years, 8 months",House,V000134,,
Chuck,Edwards,Chuck Edwards,9/13/60,65,1/3/23,32,2.67,"2 years, 8 months",House,E000246,,
Sarah,Elfreth,Sarah Elfreth,9/9/88,37,1/3/25,8,0.67,8 months,House,E000301,,
Jake,Ellzey,Jake Ellzey,1/24/70,55,7/30/21,49,4.08,"4 years, 1 month",House,E000071,Navy,Yes
Tom,Emmer,Tom Emmer,3/3/61,64,1/3/15,128,10.67,"10 years, 8 months",House,E000294,,
Joni,Ernst,Joni Ernst,7/1/70,55,1/3/15,128,10.67,"10 years, 8 months",Senate,E000295,,
Veronica,Escobar,Veronica Escobar,9/15/69,56,1/3/19,80,6.67,"6 years, 8 months",House,E000299,,
Adriano,Espaillat,Adriano Espaillat,9/27/54,71,1/3/17,104,8.67,"8 years, 8 months",House,E000297,,
Ron,Estes,Ron Estes,7/19/56,69,4/25/17,101,8.42,"8 years, 5 months",House,E000298,,
Gabe,Evans,Gabe Evans,7/28/86,39,1/3/25,8,0.67,8 months,House,E000300,Army Colorado Army National Guard Virginia Army National Guard,Yes
Dwight,Evans,Dwight Evans,5/16/54,71,11/14/16,106,8.83,"8 years, 10 months",House,E000296,,
Mike,Ezell,Mike Ezell,4/6/59,66,1/3/23,32,2.67,"2 years, 8 months",House,E000235,,
Pat,Fallon,Pat Fallon,12/19/67,57,1/3/21,56,4.67,"4 years, 8 months",House,F000246,Air Force,Yes
Julie,Fedorchak,Julie Fedorchak,9/28/68,57,1/3/25,8,0.67,8 months,House,F000482,,
Randy,Feenstra,Randy Feenstra,1/14/69,56,1/3/21,56,4.67,"4 years, 8 months",House,F000446,,
Teresa Leger,Fernandez,Teresa Leger Fernandez,7/1/59,66,1/3/21,56,4.67,"4 years, 8 months",House,L000273,,
John,Fetterman,John Fetterman,8/15/69,56,1/3/23,32,2.67,"2 years, 8 months",Senate,F000479,,
Cleo,Fields,Cleo Fields,11/22/62,62,1/3/25,8,0.67,8 months,House,F000110,,
Shomari,Figures,Shomari Figures,9/3/85,40,1/3/25,8,0.67,8 months,House,F000481,,
Randy,Fine,Randy Fine,4/20/74,51,4/2/25,5,0.42,5 months,House,F000484,,
Brad,Finstad,Brad Finstad,5/30/76,49,8/12/22,37,3.08,"3 years, 1 month",House,F000475,,
Michelle,Fischbach,Michelle Fischbach,11/3/65,59,1/3/21,56,4.67,"4 years, 8 months",House,F000470,,
Deb,Fischer,Deb Fischer,3/1/51,74,1/3/13,152,12.67,"12 years, 8 months",Senate,F000463,,
Scott,Fitzgerald,Scott Fitzgerald,11/16/63,61,1/3/21,56,4.67,"4 years, 8 months",House,F000471,Army Reserve,Yes
Brian,Fitzpatrick,Brian Fitzpatrick,12/17/73,51,1/3/17,104,8.67,"8 years, 8 months",House,F000466,,
Chuck,Fleischmann,Chuck Fleischmann,10/11/62,62,1/3/11,176,14.67,"14 years, 8 months",House,F000459,,
Lizzie,Fletcher,Lizzie Fletcher,2/13/75,50,1/3/19,80,6.67,"6 years, 8 months",House,F000468,,
Mike,Flood,Mike Flood,2/23/75,50,7/12/22,38,3.17,"3 years, 2 months",House,F000474,,
Vince,Fong,Vince Fong,10/24/79,45,6/3/24,15,1.25,"1 year, 3 months",House,F000480,,
Bill,Foster,Bill Foster,10/7/55,69,1/3/13,152,12.67,"12 years, 8 months",House,F000454,,
Valerie,Foushee,Valerie Foushee,5/7/56,69,1/3/23,32,2.67,"2 years, 8 months",House,F000477,,
Lois,Frankel,Lois Frankel,5/16/48,77,1/3/13,152,12.67,"12 years, 8 months",House,F000462,,
Scott,Franklin,Scott Franklin,8/23/64,61,1/3/21,56,4.67,"4 years, 8 months",House,F000472,Navy Navy Reserve,Yes
Laura,Friedman,Laura Friedman,12/3/66,58,1/3/25,8,0.67,8 months,House,F000483,,
Maxwell,Frost,Maxwell Frost,1/17/97,28,1/3/23,32,2.67,"2 years, 8 months",House,F000476,,
Russell,Fry,Russell Fry,1/31/85,40,1/3/23,32,2.67,"2 years, 8 months",House,F000478,,
Russ,Fulcher,Russ Fulcher,3/9/62,63,1/3/19,80,6.67,"6 years, 8 months",House,F000469,,
Ruben,Gallego,Ruben Gallego,11/20/79,45,1/3/25,8,0.67,8 months,Senate,G000574,,
John,Garamendi,John Garamendi,1/24/45,80,11/5/09,190,15.83,"15 years, 10 months",House,G000559,,
Andrew,Garbarino,Andrew Garbarino,9/27/84,41,1/3/21,56,4.67,"4 years, 8 months",House,G000597,,
Chuy,García,Chuy García,4/12/56,69,1/3/19,80,6.67,"6 years, 8 months",House,G000586,,
Robert,Garcia,Robert Garcia,12/2/77,47,1/3/23,32,2.67,"2 years, 8 months",House,G000598,,
Sylvia,Garcia,Sylvia Garcia,9/6/50,75,1/3/19,80,6.67,"6 years, 8 months",House,G000587,,
Brandon,Gill,Brandon Gill,2/26/94,31,1/3/25,8,0.67,8 months,House,G000603,,
Laura,Gillen,Laura Gillen,7/10/69,56,1/3/25,8,0.67,8 months,House,G000602,,
Kirsten,Gillibrand,Kirsten Gillibrand,12/9/66,58,1/26/09,200,16.67,"16 years, 8 months",Senate,G000555,,
Carlos,Giménez,Carlos Giménez,1/17/54,71,1/3/21,56,4.67,"4 years, 8 months",House,G000593,,
Jared,Golden,Jared Golden,7/25/82,43,1/3/19,80,6.67,"6 years, 8 months",House,G000592,Marine Corps,Yes
Dan,Goldman,Dan Goldman,2/26/76,49,1/3/23,32,2.67,"2 years, 8 months",House,G000599,,
Craig,Goldman,Craig Goldman,10/3/68,56,1/3/25,8,0.67,8 months,House,G000601,,
Jimmy,Gomez,Jimmy Gomez,11/25/74,50,7/11/17,98,8.17,"8 years, 2 months",House,G000585,,
Tony,Gonzales,Tony Gonzales,10/10/80,44,1/3/21,56,4.67,"4 years, 8 months",House,G000594,Navy,Yes
Vicente,Gonzalez,Vicente Gonzalez,9/4/67,58,1/3/17,104,8.67,"8 years, 8 months",House,G000581,,
Lance,Gooden,Lance Gooden,12/1/82,42,1/3/19,80,6.67,"6 years, 8 months",House,G000589,,
Maggie,Goodlander,Maggie Goodlander,11/4/86,38,1/3/25,8,0.67,8 months,House,G000604,Navy Reserve,Yes
Paul,Gosar,Paul Gosar,11/27/58,66,1/3/11,176,14.67,"14 years, 8 months",House,G000565,,
Josh,Gottheimer,Josh Gottheimer,3/8/75,50,1/3/17,104,8.67,"8 years, 8 months",House,G000583,,
Lindsey,Graham,Lindsey Graham,7/9/55,70,1/3/03,272,22.67,"22 years, 8 months",Senate,G000359,,
Chuck,Grassley,Chuck Grassley,9/17/33,92,1/3/81,536,44.67,"44 years, 8 months",Senate,G000386,,
Sam,Graves,Sam Graves,11/7/63,61,1/3/01,296,24.67,"24 years, 8 months",House,G000546,,
Adam,Gray,Adam Gray,9/23/77,48,1/3/25,8,0.67,8 months,House,G000605,,
Al,Green,Al Green,9/1/47,78,1/3/05,248,20.67,"20 years, 8 months",House,G000553,,
Marjorie Taylor,Greene,Marjorie Taylor Greene,5/27/74,51,1/3/21,56,4.67,"4 years, 8 months",House,G000596,,
Morgan,Griffith,Morgan Griffith,3/15/58,67,1/3/11,176,14.67,"14 years, 8 months",House,G000568,,
Glenn,Grothman,Glenn Grothman,7/3/55,70,1/3/15,128,10.67,"10 years, 8 months",House,G000576,,
Michael,Guest,Michael Guest,2/4/70,55,1/3/19,80,6.67,"6 years, 8 months",House,G000591,,
Brett,Guthrie,Brett Guthrie,2/18/64,61,1/3/09,200,16.67,"16 years, 8 months",House,G000558,Army Army Reserve,Yes
Harriet,Hageman,Harriet Hageman,10/18/62,62,1/3/23,32,2.67,"2 years, 8 months",House,H001096,,
Bill,Hagerty,Bill Hagerty,8/14/59,66,1/3/21,56,4.67,"4 years, 8 months",Senate,H000601,,
Abraham,Hamadeh,Abraham Hamadeh,5/15/91,34,1/3/25,8,0.67,8 months,House,H001098,Army Reserve,Yes
Josh,Harder,Josh Harder,8/1/86,39,1/3/19,80,6.67,"6 years, 8 months",House,H001090,,
Mike,Haridopolos,Mike Haridopolos,3/15/70,55,1/3/25,8,0.67,8 months,House,H001099,,
Pat,Harrigan,Pat Harrigan,6/21/87,38,1/3/25,8,0.67,8 months,House,H001101,Army,Yes
Andy,Harris,Andy Harris,1/25/57,68,1/3/11,176,14.67,"14 years, 8 months",House,H001052,Navy Reserve,Yes
Mark,Harris,Mark Harris,4/24/66,59,1/3/25,8,0.67,8 months,House,H001102,,
Diana,Harshbarger,Diana Harshbarger,1/1/60,65,1/3/21,56,4.67,"4 years, 8 months",House,H001086,,
Maggie,Hassan,Maggie Hassan,2/27/58,67,1/3/17,104,8.67,"8 years, 8 months",Senate,H001076,,
Josh,Hawley,Josh Hawley,12/31/79,45,1/3/19,80,6.67,"6 years, 8 months",Senate,H001089,,
Jahana,Hayes,Jahana Hayes,3/8/73,52,1/3/19,80,6.67,"6 years, 8 months",House,H001081,,
Martin,Heinrich,Martin Heinrich,10/17/71,53,1/3/13,152,12.67,"12 years, 8 months",Senate,H001046,,
Kevin,Hern,Kevin Hern,12/4/61,63,11/13/18,82,6.83,"6 years, 10 months",House,H001082,,
John,Hickenlooper,John Hickenlooper,2/7/52,73,1/3/21,56,4.67,"4 years, 8 months",Senate,H000273,,
Clay,Higgins,Clay Higgins,8/24/61,64,1/3/17,104,8.67,"8 years, 8 months",House,H001077,Army Louisiana National Guard,Yes
French,Hill,French Hill,12/5/56,68,1/3/15,128,10.67,"10 years, 8 months",House,H001072,,
Jim,Himes,Jim Himes,7/5/66,59,1/3/09,200,16.67,"16 years, 8 months",House,H001047,,
Ashley,Hinson,Ashley Hinson,6/27/83,42,1/3/21,56,4.67,"4 years, 8 months",House,H001091,,
Mazie,Hirono,Mazie Hirono,11/3/47,77,1/3/13,152,12.67,"12 years, 8 months",Senate,H001042,,
John,Hoeven,John Hoeven,3/13/57,68,1/3/11,176,14.67,"14 years, 8 months",Senate,H001061,,
Steven,Horsford,Steven Horsford,4/29/73,52,1/3/19,80,6.67,"6 years, 8 months",House,H001066,,
Erin,Houchin,Erin Houchin,9/24/76,49,1/3/23,32,2.67,"2 years, 8 months",House,H001093,,
Chrissy,Houlahan,Chrissy Houlahan,6/5/67,58,1/3/19,80,6.67,"6 years, 8 months",House,H001085,Air Force Air Force Reserve,Yes
Steny,Hoyer,Steny Hoyer,6/14/39,86,5/19/81,532,44.33,"44 years, 4 months",House,H000874,,
Val,Hoyle,Val Hoyle,2/14/64,61,1/3/23,32,2.67,"2 years, 8 months",House,H001094,,
Richard,Hudson,Richard Hudson,11/4/71,53,1/3/13,152,12.67,"12 years, 8 months",House,H001067,,
Jared,Huffman,Jared Huffman,2/18/64,61,1/3/13,152,12.67,"12 years, 8 months",House,H001068,,
Bill,Huizenga,Bill Huizenga,1/31/69,56,1/3/11,176,14.67,"14 years, 8 months",House,H001058,,
Wesley,Hunt,Wesley Hunt,11/13/81,43,1/3/23,32,2.67,"2 years, 8 months",House,H001095,Army,Yes
Jeff,Hurd,Jeff Hurd,8/15/79,46,1/3/25,8,0.67,8 months,House,H001100,,
Jon,Husted,Jon Husted,8/25/67,58,1/21/25,8,0.67,8 months,Senate,H001104,,
Cindy,Hyde-Smith,Cindy Hyde-Smith,5/10/59,66,4/9/18,89,7.42,"7 years, 5 months",Senate,H001079,,
Nick Begich,III,Nick Begich III,10/27/77,47,1/3/25,8,0.67,8 months,House,B001323,,
Darrell,Issa,Darrell Issa,11/1/53,71,1/3/21,56,4.67,"4 years, 8 months",House,I000056,Army,Yes
Glenn,Ivey,Glenn Ivey,2/27/61,64,1/3/23,32,2.67,"2 years, 8 months",House,I000058,,
Brian,Jack,Brian Jack,2/17/88,37,1/3/25,8,0.67,8 months,House,J000311,,
Jonathan,Jackson,Jonathan Jackson,1/7/66,59,1/3/23,32,2.67,"2 years, 8 months",House,J000309,,
Ronny,Jackson,Ronny Jackson,5/4/67,58,1/3/21,56,4.67,"4 years, 8 months",House,J000304,Navy Navy Reserve,Yes
Sara,Jacobs,Sara Jacobs,2/1/89,36,1/3/21,56,4.67,"4 years, 8 months",House,J000305,,
John,James,John James,6/8/81,44,1/3/23,32,2.67,"2 years, 8 months",House,J000307,Army,Yes
Pramila,Jayapal,Pramila Jayapal,9/21/65,60,1/3/17,104,8.67,"8 years, 8 months",House,J000298,,
Hakeem,Jeffries,Hakeem Jeffries,8/4/70,55,1/3/13,152,12.67,"12 years, 8 months",House,J000294,,
