first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber,bioguide_id,military_service,has_military_service,education
Lisa,Blunt Rochester,Lisa Blunt Rochester,2/10/62,63,1/3/25,8,0.67,8 months,Senate,B001303,,,
Lauren,Boebert,Lauren Boebert,12/15/86,38,1/3/21,56,4.67,"4 years, 8 months",House,B000825,,,–
Suzanne,Bonamici,Suzanne Bonamici,10/14/54,70,1/31/12,163,13.58,"13 years, 7 months",House,B001278,,,"Lane Community College University of Oregon ( BA , JD )"
Cory,Booker,Cory Booker,4/27/69,56,10/31/13,142,11.83,"11 years, 10 months",Senate,B001288,,,"Stanford University ( BA , MA ) The Queen's College, Oxford ( MA ) Yale University ( JD )"
John,Boozman,John Boozman,12/10/50,74,1/3/11,176,14.67,"14 years, 8 months",Senate,B001236,,,University of Arkansas Southern College of Optometry ( OD )
Mike,Bost,Mike Bost,12/30/60,64,1/3/15,128,10.67,"10 years, 8 months",House,B001295,Marine Corps,Yes,–
Brendan,Boyle,Brendan Boyle,2/6/77,48,1/3/15,128,10.67,"10 years, 8 months",House,B001296,,,University of Notre Dame ( BA ) Harvard University ( MPP )
Josh,Brecheen,Josh Brecheen,6/19/79,46,1/3/23,32,2.67,"2 years, 8 months",House,B001317,,,"Oklahoma State University, Stillwater Southeastern Oklahoma State University ( BS )"
Rob,Bresnahan,Rob Bresnahan,4/22/90,35,1/3/25,8,0.67,8 months,House,,,,University of Scranton ( BS )
Katie,Britt,Katie Britt,2/2/82,43,1/3/23,32,2.67,"2 years, 8 months",Senate,B001319,,,
Shontel,Brown,Shontel Brown,6/24/75,50,11/4/21,46,3.83,"3 years, 10 months",House,B001313,,,Cuyahoga Community College ( AS ) Wilberforce University ( BS )
Julia,Brownley,Julia Brownley,8/28/52,73,1/3/13,152,12.67,"12 years, 8 months",House,B001285,,,George Washington University ( BA ) American University ( MBA )
Vern,Buchanan,Vern Buchanan,5/8/51,74,1/3/07,224,18.67,"18 years, 8 months",House,B001260,Michigan Air National Guard,Yes,Cleary University ( BA ) University of Detroit Mercy ( MBA )
Ted,Budd,Ted Budd,10/21/71,53,1/3/23,32,2.67,"2 years, 8 months",Senate,B001305,,,
Nikki,Budzinski,Nikki Budzinski,3/11/77,48,1/3/23,32,2.67,"2 years, 8 months",House,B001315,,,"University of Illinois, Urbana-Champaign ( BA )"
Tim,Burchett,Tim Burchett,8/25/64,61,1/3/19,80,6.67,"6 years, 8 months",House,B001309,,,"University of Tennessee, Knoxville ( BS )"
Eric,Burlison,Eric Burlison,10/2/76,48,1/3/23,32,2.67,"2 years, 8 months",House,B001316,,,"Missouri State University ( BA , MBA )"
Janelle,Bynum,Janelle Bynum,1/31/75,50,1/3/25,8,0.67,8 months,House,B001326,,,Florida A&M University ( BA ) University of Michigan ( MBA )
Ken,Calvert,Ken Calvert,6/8/53,72,1/3/93,392,32.67,"32 years, 8 months",House,C000059,,,Chaffey College San Diego State University ( BA )
Kat,Cammack,Kat Cammack,2/16/88,37,1/3/21,56,4.67,"4 years, 8 months",House,C001039,,,Metropolitan State University of Denver ( BA ) Naval War College ( MS )
Maria,Cantwell,Maria Cantwell,10/13/58,66,1/3/01,296,24.67,"24 years, 8 months",Senate,C000127,,,
Shelley Moore,Capito,Shelley Moore Capito,11/26/53,71,1/3/15,128,10.67,"10 years, 8 months",Senate,,,,Duke University ( BA ) University of Virginia ( MEd )
Salud,Carbajal,Salud Carbajal,11/18/64,60,1/3/17,104,8.67,"8 years, 8 months",House,C001112,Marine Corps Reserve,Yes,"University of California, Santa Barbara ( BA ) Fielding Graduate University ( MA )"
Mike,Carey,Mike Carey,3/13/71,54,11/4/21,46,3.83,"3 years, 10 months",House,C001126,Army Reserve,Yes,Marion Military Institute ( AA ) Ohio State University ( BA )
André,Carson,André Carson,10/16/74,50,3/11/08,210,17.5,"17 years, 6 months",House,C001072,,,Concordia University Wisconsin ( BA ) Indiana Wesleyan University ( MS )
Buddy,Carter,Buddy Carter,9/6/57,68,1/3/15,128,10.67,"10 years, 8 months",House,,,,Young Harris College University of Georgia ( BS )
Troy,Carter,Troy Carter,10/26/63,61,5/11/21,52,4.33,"4 years, 4 months",House,C001125,,,Xavier University of Louisiana ( BA )
John,Carter,John Carter,11/6/41,83,1/3/03,272,22.67,"22 years, 8 months",House,C001051,,,Texas Tech University ( BA ) University of Texas at Austin ( JD )
Greg,Casar,Greg Casar,5/4/89,36,1/3/23,32,2.67,"2 years, 8 months",House,C001131,,,University of Virginia ( BA )
Ed,Case,Ed Case,9/27/52,73,1/3/19,80,6.67,"6 years, 8 months",House,C001055,,,"Williams College ( BA ) University of California, Hastings ( JD )"
Bill,Cassidy,Bill Cassidy,9/28/57,68,1/3/15,128,10.67,"10 years, 8 months",Senate,C001075,,,"Louisiana State University ( BS , MD )"
Sean,Casten,Sean Casten,11/23/71,53,1/3/19,80,6.67,"6 years, 8 months",House,C001117,,,"Middlebury College ( BA ) Dartmouth College ( MSEM , MS )"
Kathy,Castor,Kathy Castor,8/20/66,59,1/3/07,224,18.67,"18 years, 8 months",House,C001066,,,Emory University ( BA ) Florida State University ( JD )
Joaquin,Castro,Joaquin Castro,9/16/74,51,1/3/13,152,12.67,"12 years, 8 months",House,C001091,,,Stanford University ( BA ) Harvard University ( JD )
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1/25/79,46,1/18/22,44,3.67,"3 years, 8 months",House,C001127,,,Howard University ( BA ) St. Thomas University ( JD )
Judy,Chu,Judy Chu,7/7/53,72,7/14/09,194,16.17,"16 years, 2 months",House,C001080,,,"University of California, Los Angeles ( BA ) Alliant International University ( MA , PhD )"
Juan,Ciscomani,Juan Ciscomani,8/31/82,43,1/3/23,32,2.67,"2 years, 8 months",House,C001133,,,Pima Community College University of Arizona
Gil,Cisneros,Gil Cisneros,2/12/71,54,1/3/25,8,0.67,8 months,House,,Navy,Yes,George Washington University ( BA ) Regis University ( MBA ) Brown University ( MA )
Katherine,Clark,Katherine Clark,7/17/63,62,12/12/13,141,11.75,"11 years, 9 months",House,C001101,,,St. Lawrence University ( BA ) Cornell University ( JD ) Harvard University ( MPA )
Yvette,Clarke,Yvette Clarke,11/21/64,60,1/3/07,224,18.67,"18 years, 8 months",House,C001067,,,Oberlin College Medgar Evers College
Emanuel,Cleaver,Emanuel Cleaver,10/26/44,80,1/3/05,248,20.67,"20 years, 8 months",House,C001061,,,Prairie View A&M University ( BS ) Saint Paul School of Theology ( MDiv )
Ben,Cline,Ben Cline,2/29/72,53,1/3/19,80,6.67,"6 years, 8 months",House,C001118,,,Bates College ( BA ) University of Richmond ( JD )
Michael,Cloud,Michael Cloud,5/13/75,50,7/10/18,86,7.17,"7 years, 2 months",House,C001115,,,Oral Roberts University ( BS )
Jim,Clyburn,Jim Clyburn,7/21/40,85,1/3/93,392,32.67,"32 years, 8 months",House,,,,South Carolina State University ( BA )
Andrew,Clyde,Andrew Clyde,11/22/63,61,1/3/21,56,4.67,"4 years, 8 months",House,C001116,Navy Navy Reserve,Yes,University of Notre Dame ( BA ) Bethel University ( BBA ) University of Georgia ( MBA )
Steve,Cohen,Steve Cohen,5/24/49,76,1/3/07,224,18.67,"18 years, 8 months",House,C001068,,,Vanderbilt University ( BA ) University of Memphis ( JD )
Tom,Cole,Tom Cole,4/28/49,76,1/3/03,272,22.67,"22 years, 8 months",House,C001053,,,Grinnell College ( BA ) Yale University ( MA ) University of Oklahoma ( PhD )
Bonnie Watson,Coleman,Bonnie Watson Coleman,2/6/45,80,1/3/15,128,10.67,"10 years, 8 months",House,W000822,,,Rutgers University-Camden Thomas Edison State University ( BA )
Susan,Collins,Susan Collins,12/7/52,72,1/3/97,344,28.67,"28 years, 8 months",Senate,C001035,,,St. Lawrence University ( BA )
Mike,Collins,Mike Collins,7/2/67,58,1/3/23,32,2.67,"2 years, 8 months",House,C001129,,,Georgia State University ( BA )
James,Comer,James Comer,8/19/72,53,11/8/16,106,8.83,"8 years, 10 months",House,C001108,,,Western Kentucky University ( BS )
Herb,Conaway,Herb Conaway,1/30/63,62,1/3/25,8,0.67,8 months,House,,Air Force,Yes,Princeton University ( BA ) Thomas Jefferson University ( MD ) Rutgers University–Newark ( JD )
Chris,Coons,Chris Coons,9/9/63,62,11/15/10,178,14.83,"14 years, 10 months",Senate,,,,"Amherst College ( BA ) Yale University ( MAR , JD )"
John,Cornyn,John Cornyn,2/2/52,73,12/2/02,273,22.75,"22 years, 9 months",Senate,C001056,,,"Trinity University ( BA ) St. Mary's University, Texas ( JD ) University of Virginia ( LLM )"
Lou,Correa,Lou Correa,1/24/58,67,1/3/17,104,8.67,"8 years, 8 months",House,,,,"California State University, Fullerton ( BA ) University of California, Los Angeles ( JD , MBA )"
Catherine,Cortez Masto,Catherine Cortez Masto,3/29/64,61,1/3/17,104,8.67,"8 years, 8 months",Senate,C001113,,,"University of Nevada, Reno ( BS ) Gonzaga University ( JD )"
Jim,Costa,Jim Costa,4/13/52,73,1/3/05,248,20.67,"20 years, 8 months",House,C001059,,,"California State University, Fresno ( BA )"
Tom,Cotton,Tom Cotton,5/13/77,48,1/3/15,128,10.67,"10 years, 8 months",Senate,C001095,,,
Joe,Courtney,Joe Courtney,4/6/53,72,1/3/07,224,18.67,"18 years, 8 months",House,C001069,,,Tufts University ( BA ) University of Connecticut ( JD )
Angie,Craig,Angie Craig,2/14/72,53,1/3/19,80,6.67,"6 years, 8 months",House,C001119,,,University of Memphis ( BA )
Kevin,Cramer,Kevin Cramer,1/21/61,64,1/3/19,80,6.67,"6 years, 8 months",Senate,C001096,,,
Eli,Crane,Eli Crane,1/3/80,45,1/3/23,32,2.67,"2 years, 8 months",House,,Navy,Yes,Arizona Western College University of Arizona
Jeff,Crank,Jeff Crank,1/28/67,58,1/3/25,8,0.67,8 months,House,C001137,,,Colorado State University ( BA )
Mike,Crapo,Mike Crapo,5/20/51,74,1/3/99,320,26.67,"26 years, 8 months",Senate,C000880,,,Brigham Young University ( BA ) Harvard University ( JD )
Rick,Crawford,Rick Crawford,1/22/66,59,1/3/11,176,14.67,"14 years, 8 months",House,,Army,Yes,Arkansas State University ( BS )
Dan,Crenshaw,Dan Crenshaw,3/14/84,41,1/3/19,80,6.67,"6 years, 8 months",House,C001120,Navy,Yes,Tufts University ( BA ) Harvard University ( MPA )
Jasmine,Crockett,Jasmine Crockett,3/29/81,44,1/3/23,32,2.67,"2 years, 8 months",House,C001130,,,Rhodes College ( BA ) University of Houston ( JD )
Jason,Crow,Jason Crow,3/15/79,46,1/3/19,80,6.67,"6 years, 8 months",House,C001121,Army Army National Guard,Yes,"University of Wisconsin, Madison ( BA ) University of Denver ( JD )"
Ted,Cruz,Ted Cruz,12/22/70,54,1/3/13,152,12.67,"12 years, 8 months",Senate,C001098,,,
Monica De La,Cruz,Monica De La Cruz,11/11/74,50,1/3/23,32,2.67,"2 years, 8 months",House,D000594,,,University of Texas at San Antonio ( BBS ) National Autonomous University of Mexico
Henry,Cuellar,Henry Cuellar,9/19/55,70,1/3/05,248,20.67,"20 years, 8 months",House,C001063,,,"Laredo Community College Georgetown University ( BA ) University of Texas at Austin ( JD , PhD ) Texas A&M International University ( MA ) Naval War College"
John,Curtis,John Curtis,5/10/60,65,1/3/25,8,0.67,8 months,Senate,C001114,,,
Mario,Díaz-Balart,Mario Díaz-Balart,9/25/61,64,1/3/03,272,22.67,"22 years, 8 months",House,D000600,,,University of South Florida ( BA )
Steve,Daines,Steve Daines,8/20/62,63,1/3/15,128,10.67,"10 years, 8 months",Senate,D000618,,,Montana State University ( BS )
Sharice,Davids,Sharice Davids,5/22/80,45,1/3/19,80,6.67,"6 years, 8 months",House,D000629,,,Haskell Indian Nations University University of Kansas Johnson County Community College University of Missouri–Kansas City ( BA ) Cornell University ( JD )
Warren,Davidson,Warren Davidson,3/1/70,55,6/9/16,111,9.25,"9 years, 3 months",House,D000626,Army,Yes,United States Military Academy ( BS ) University of Notre Dame ( MBA )
Danny,Davis,Danny Davis,9/6/41,84,1/3/97,344,28.67,"28 years, 8 months",House,D000096,,,University of Arkansas at Pine Bluff ( BA ) Chicago State University ( MS ) Union Institute & University ( PhD )
Don,Davis,Don Davis,8/29/71,54,1/3/23,32,2.67,"2 years, 8 months",House,,Air Force,Yes,"United States Air Force Academy ( BS ) Central Michigan University ( MS ) East Carolina University ( MA , EdD )"
Madeleine,Dean,Madeleine Dean,6/6/59,66,1/3/19,80,6.67,"6 years, 8 months",House,D000631,,,La Salle University ( BA ) Widener University ( JD )
Diana,DeGette,Diana DeGette,7/29/57,68,1/3/97,344,28.67,"28 years, 8 months",House,D000197,,,Colorado College ( BA ) New York University ( JD )
April McClain,Delaney,April McClain Delaney,5/28/64,61,1/3/25,8,0.67,8 months,House,M001232,,,Northwestern University ( BS ) Georgetown University ( JD )
Rosa,DeLauro,Rosa DeLauro,3/2/43,82,1/3/91,416,34.67,"34 years, 8 months",House,D000216,,,"Marymount College, Tarrytown ( BA ) London School of Economics ( MA ) Columbia University ( MA )"
Suzan,DelBene,Suzan DelBene,2/17/62,63,11/13/12,154,12.83,"12 years, 10 months",House,D000617,,,Reed College ( BS ) University of Washington ( MBA )
Chris,Deluzio,Chris Deluzio,7/13/84,41,1/3/23,32,2.67,"2 years, 8 months",House,,Navy,Yes,United States Naval Academy ( BS ) Georgetown University ( JD )
Mark,DeSaulnier,Mark DeSaulnier,3/31/52,73,1/3/15,128,10.67,"10 years, 8 months",House,D000623,,,College of the Holy Cross ( BA )
Scott,DesJarlais,Scott DesJarlais,2/21/64,61,1/3/11,176,14.67,"14 years, 8 months",House,D000616,,,"University of South Dakota ( BS , MD )"
Maxine,Dexter,Maxine Dexter,12/5/72,52,1/3/25,8,0.67,8 months,House,D000635,,,"University of Washington ( BA , MD )"
Debbie,Dingell,Debbie Dingell,11/23/53,71,1/3/15,128,10.67,"10 years, 8 months",House,D000624,,,"Georgetown University ( BS , MS )"
Lloyd,Doggett,Lloyd Doggett,10/6/46,78,1/3/95,368,30.67,"30 years, 8 months",House,D000399,,,"University of Texas at Austin ( BA , JD )"
Byron,Donalds,Byron Donalds,10/26/78,46,1/3/21,56,4.67,"4 years, 8 months",House,D000032,,,Florida State University ( BS )
Troy,Downing,Troy Downing,3/4/67,58,1/3/25,8,0.67,8 months,House,D000634,Air Force Air National Guard,Yes,New York University
Jeff Van,Drew,Jeff Van Drew,2/23/53,72,1/3/19,80,6.67,"6 years, 8 months",House,,,,Rutgers University–New Brunswick ( BS ) Fairleigh Dickinson University ( DMD )
Tammy,Duckworth,Tammy Duckworth,3/12/68,57,1/3/17,104,8.67,"8 years, 8 months",Senate,D000622,,,
Neal,Dunn,Neal Dunn,2/16/53,72,1/3/17,104,8.67,"8 years, 8 months",House,D000628,Army,Yes,Washington and Lee University ( BS ) George Washington University ( MD )
Dick,Durbin,Dick Durbin,11/21/44,80,1/3/97,344,28.67,"28 years, 8 months",Senate,,,,"Georgetown University ( BS , JD )"
Beth Van,Duyne,Beth Van Duyne,11/16/70,54,1/3/21,56,4.67,"4 years, 8 months",House,V000134,,,Cornell University ( BA )
Chuck,Edwards,Chuck Edwards,9/13/60,65,1/3/23,32,2.67,"2 years, 8 months",House,E000246,,,Blue Ridge Community College
Sarah,Elfreth,Sarah Elfreth,9/9/88,37,1/3/25,8,0.67,8 months,House,E000301,,,Towson University ( BA ) Johns Hopkins University ( MPP )
Jake,Ellzey,Jake Ellzey,1/24/70,55,7/30/21,49,4.08,"4 years, 1 month",House,E000071,Navy,Yes,United States Naval Academy ( BS )
Tom,Emmer,Tom Emmer,3/3/61,64,1/3/15,128,10.67,"10 years, 8 months",House,E000294,,,Boston College University of Alaska Fairbanks ( BA ) William Mitchell College of Law ( JD )
Joni,Ernst,Joni Ernst,7/1/70,55,1/3/15,128,10.67,"10 years, 8 months",Senate,E000295,,,
Veronica,Escobar,Veronica Escobar,9/15/69,56,1/3/19,80,6.67,"6 years, 8 months",House,E000299,,,"University of Texas, El Paso ( BA ) New York University ( MA )"
Adriano,Espaillat,Adriano Espaillat,9/27/54,71,1/3/17,104,8.67,"8 years, 8 months",House,E000297,,,"Queens College, City University of New York ( BA )"
Ron,Estes,Ron Estes,7/19/56,69,4/25/17,101,8.42,"8 years, 5 months",House,E000298,,,"Tennessee Technological University ( BS , MBA )"
Gabe,Evans,Gabe Evans,7/28/86,39,1/3/25,8,0.67,8 months,House,E000300,Army Colorado Army National Guard Virginia Army National Guard,Yes,Patrick Henry College ( BA )
Dwight,Evans,Dwight Evans,5/16/54,71,11/14/16,106,8.83,"8 years, 10 months",House,E000296,,,Community College of Philadelphia ( AA ) La Salle University ( BA )
Mike,Ezell,Mike Ezell,4/6/59,66,1/3/23,32,2.67,"2 years, 8 months",House,E000235,,,University of Southern Mississippi ( BA )
Pat,Fallon,Pat Fallon,12/19/67,57,1/3/21,56,4.67,"4 years, 8 months",House,F000246,Air Force,Yes,University of Notre Dame ( BA )
Julie,Fedorchak,Julie Fedorchak,9/28/68,57,1/3/25,8,0.67,8 months,House,F000482,,,University of North Dakota ( BA )
Randy,Feenstra,Randy Feenstra,1/14/69,56,1/3/21,56,4.67,"4 years, 8 months",House,F000446,,,Dordt University ( BA ) Iowa State University ( MPA )
Teresa Leger,Fernandez,Teresa Leger Fernandez,7/1/59,66,1/3/21,56,4.67,"4 years, 8 months",House,L000273,,,Yale University ( BA ) Stanford University ( JD )
John,Fetterman,John Fetterman,8/15/69,56,1/3/23,32,2.67,"2 years, 8 months",Senate,F000479,,,Albright College ( BA ) University of Connecticut ( MBA ) Harvard University ( MPP )
Cleo,Fields,Cleo Fields,11/22/62,62,1/3/25,8,0.67,8 months,House,F000110,,,"Southern University ( BA , JD )"
Shomari,Figures,Shomari Figures,9/3/85,40,1/3/25,8,0.67,8 months,House,F000481,,,"University of Alabama ( BA , JD )"
Randy,Fine,Randy Fine,4/20/74,51,4/2/25,5,0.42,5 months,House,F000484,,,"Harvard University ( BA , MBA )"
Brad,Finstad,Brad Finstad,5/30/76,49,8/12/22,37,3.08,"3 years, 1 month",House,F000475,,,University of Minnesota ( BS )
Michelle,Fischbach,Michelle Fischbach,11/3/65,59,1/3/21,56,4.67,"4 years, 8 months",House,F000470,,,St. Cloud State University ( BA ) William Mitchell College of Law ( JD )
Deb,Fischer,Deb Fischer,3/1/51,74,1/3/13,152,12.67,"12 years, 8 months",Senate,F000463,,,University of Nebraska–Lincoln ( BS )
Scott,Fitzgerald,Scott Fitzgerald,11/16/63,61,1/3/21,56,4.67,"4 years, 8 months",House,F000471,Army Reserve,Yes,University of Wisconsin–Oshkosh ( BS )
Brian,Fitzpatrick,Brian Fitzpatrick,12/17/73,51,1/3/17,104,8.67,"8 years, 8 months",House,F000466,,,"La Salle University ( BS ) Pennsylvania State University ( MBA ) Pennsylvania State University, Carlisle ( JD )"
Chuck,Fleischmann,Chuck Fleischmann,10/11/62,62,1/3/11,176,14.67,"14 years, 8 months",House,,,,University of Illinois Urbana-Champaign ( BA ) University of Tennessee ( JD )
Lizzie,Fletcher,Lizzie Fletcher,2/13/75,50,1/3/19,80,6.67,"6 years, 8 months",House,F000468,,,Kenyon College ( BA ) College of William and Mary ( JD )
Mike,Flood,Mike Flood,2/23/75,50,7/12/22,38,3.17,"3 years, 2 months",House,F000474,,,University of Notre Dame ( BA ) University of Nebraska–Lincoln ( JD )
Vince,Fong,Vince Fong,10/24/79,45,6/3/24,15,1.25,"1 year, 3 months",House,F000480,,,"University of California, Los Angeles ( BA ) Princeton University ( MPA )"
Bill,Foster,Bill Foster,10/7/55,69,1/3/13,152,12.67,"12 years, 8 months",House,F000454,,,"University of Wisconsin–Madison ( BS ) Harvard University ( MS , PhD )"
Valerie,Foushee,Valerie Foushee,5/7/56,69,1/3/23,32,2.67,"2 years, 8 months",House,F000477,,,University of North Carolina at Chapel Hill ( BA )
Lois,Frankel,Lois Frankel,5/16/48,77,1/3/13,152,12.67,"12 years, 8 months",House,F000462,,,Boston University ( BA ) Georgetown University ( JD )
Scott,Franklin,Scott Franklin,8/23/64,61,1/3/21,56,4.67,"4 years, 8 months",House,F000472,Navy Navy Reserve,Yes,United States Naval Academy ( BA ) Embry–Riddle Aeronautical University ( MBA )
Laura,Friedman,Laura Friedman,12/3/66,58,1/3/25,8,0.67,8 months,House,F000483,,,University of Rochester ( BA )
Maxwell,Frost,Maxwell Frost,1/17/97,28,1/3/23,32,2.67,"2 years, 8 months",House,F000476,,,Valencia College
Russell,Fry,Russell Fry,1/31/85,40,1/3/23,32,2.67,"2 years, 8 months",House,F000478,,,University of South Carolina ( BA ) Charleston School of Law ( JD )
Russ,Fulcher,Russ Fulcher,3/9/62,63,1/3/19,80,6.67,"6 years, 8 months",House,F000469,,,"Boise State University ( BA , MBA )"
Ruben,Gallego,Ruben Gallego,11/20/79,45,1/3/25,8,0.67,8 months,Senate,G000574,,,
John,Garamendi,John Garamendi,1/24/45,80,11/5/09,190,15.83,"15 years, 10 months",House,G000559,,,"University of California, Berkeley ( BA ) Harvard University ( MBA )"
Andrew,Garbarino,Andrew Garbarino,9/27/84,41,1/3/21,56,4.67,"4 years, 8 months",House,G000597,,,George Washington University ( BA ) Hofstra University ( JD )
Chuy,García,Chuy García,4/12/56,69,1/3/19,80,6.67,"6 years, 8 months",House,,,,"University of Illinois Chicago ( BA , MUP )"
Robert,Garcia,Robert Garcia,12/2/77,47,1/3/23,32,2.67,"2 years, 8 months",House,G000598,,,"California State University, Long Beach ( BA , EdD ) University of Southern California ( MA )"
