first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty,chamber
Mike,Bost,Mike Bost,12/30/60,64,1/3/15,128,10.67,"10 years, 8 months",House
Brendan,Boyle,Brendan Boyle,2/6/77,48,1/3/15,128,10.67,"10 years, 8 months",House
Josh,Brecheen,Josh Brecheen,6/19/79,46,1/3/23,32,2.67,"2 years, 8 months",House
Rob,Bresnahan,Rob Bresnahan,4/22/90,35,1/3/25,8,0.67,8 months,House
Katie,Britt,Katie Britt,2/2/82,43,1/3/23,32,2.67,"2 years, 8 months",Senate
Shontel,Brown,Shontel Brown,6/24/75,50,11/4/21,46,3.83,"3 years, 10 months",House
Julia,Brownley,Julia Brownley,8/28/52,73,1/3/13,152,12.67,"12 years, 8 months",House
Vern,Buchanan,Vern Buchanan,5/8/51,74,1/3/07,224,18.67,"18 years, 8 months",House
Ted,Budd,Ted Budd,10/21/71,53,1/3/23,32,2.67,"2 years, 8 months",Senate
Nikki,Budzinski,Nikki Budzinski,3/11/77,48,1/3/23,32,2.67,"2 years, 8 months",House
Tim,Burchett,Tim Burchett,8/25/64,61,1/3/19,80,6.67,"6 years, 8 months",House
Eric,Burlison,Eric Burlison,10/2/76,48,1/3/23,32,2.67,"2 years, 8 months",House
Janelle,Bynum,Janelle Bynum,1/31/75,50,1/3/25,8,0.67,8 months,House
Ken,Calvert,Ken Calvert,6/8/53,72,1/3/93,392,32.67,"32 years, 8 months",House
Kat,Cammack,Kat Cammack,2/16/88,37,1/3/21,56,4.67,"4 years, 8 months",House
Maria,Cantwell,Maria Cantwell,10/13/58,66,1/3/01,296,24.67,"24 years, 8 months",Senate
Shelley Moore,Capito,Shelley Moore Capito,11/26/53,71,1/3/15,128,10.67,"10 years, 8 months",Senate
Salud,Carbajal,Salud Carbajal,11/18/64,60,1/3/17,104,8.67,"8 years, 8 months",House
Mike,Carey,Mike Carey,3/13/71,54,11/4/21,46,3.83,"3 years, 10 months",House
André,Carson,André Carson,10/16/74,50,3/11/08,210,17.5,"17 years, 6 months",House
Buddy,Carter,Buddy Carter,9/6/57,68,1/3/15,128,10.67,"10 years, 8 months",House
Troy,Carter,Troy Carter,10/26/63,61,5/11/21,52,4.33,"4 years, 4 months",House
John,Carter,John Carter,11/6/41,83,1/3/03,272,22.67,"22 years, 8 months",House
Greg,Casar,Greg Casar,5/4/89,36,1/3/23,32,2.67,"2 years, 8 months",House
Ed,Case,Ed Case,9/27/52,73,1/3/19,80,6.67,"6 years, 8 months",House
Bill,Cassidy,Bill Cassidy,9/28/57,68,1/3/15,128,10.67,"10 years, 8 months",Senate
Sean,Casten,Sean Casten,11/23/71,53,1/3/19,80,6.67,"6 years, 8 months",House
Kathy,Castor,Kathy Castor,8/20/66,59,1/3/07,224,18.67,"18 years, 8 months",House
Joaquin,Castro,Joaquin Castro,9/16/74,51,1/3/13,152,12.67,"12 years, 8 months",House
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1/25/79,46,1/18/22,44,3.67,"3 years, 8 months",House
Judy,Chu,Judy Chu,7/7/53,72,7/14/09,194,16.17,"16 years, 2 months",House
Juan,Ciscomani,Juan Ciscomani,8/31/82,43,1/3/23,32,2.67,"2 years, 8 months",House
Gil,Cisneros,Gil Cisneros,2/12/71,54,1/3/25,8,0.67,8 months,House
Katherine,Clark,Katherine Clark,7/17/63,62,12/12/13,141,11.75,"11 years, 9 months",House
Yvette,Clarke,Yvette Clarke,11/21/64,60,1/3/07,224,18.67,"18 years, 8 months",House
Emanuel,Cleaver,Emanuel Cleaver,10/26/44,80,1/3/05,248,20.67,"20 years, 8 months",House
Ben,Cline,Ben Cline,2/29/72,53,1/3/19,80,6.67,"6 years, 8 months",House
Michael,Cloud,Michael Cloud,5/13/75,50,7/10/18,86,7.17,"7 years, 2 months",House
Jim,Clyburn,Jim Clyburn,7/21/40,85,1/3/93,392,32.67,"32 years, 8 months",House
Andrew,Clyde,Andrew Clyde,11/22/63,61,1/3/21,56,4.67,"4 years, 8 months",House
Steve,Cohen,Steve Cohen,5/24/49,76,1/3/07,224,18.67,"18 years, 8 months",House
Tom,Cole,Tom Cole,4/28/49,76,1/3/03,272,22.67,"22 years, 8 months",House
Bonnie Watson,Coleman,Bonnie Watson Coleman,2/6/45,80,1/3/15,128,10.67,"10 years, 8 months",House
Susan,Collins,Susan Collins,12/7/52,72,1/3/97,344,28.67,"28 years, 8 months",Senate
Mike,Collins,Mike Collins,7/2/67,58,1/3/23,32,2.67,"2 years, 8 months",House
James,Comer,James Comer,8/19/72,53,11/8/16,106,8.83,"8 years, 10 months",House
Herb,Conaway,Herb Conaway,1/30/63,62,1/3/25,8,0.67,8 months,House
Chris,Coons,Chris Coons,9/9/63,62,11/15/10,178,14.83,"14 years, 10 months",Senate
John,Cornyn,John Cornyn,2/2/52,73,12/2/02,273,22.75,"22 years, 9 months",Senate
Lou,Correa,Lou Correa,1/24/58,67,1/3/17,104,8.67,"8 years, 8 months",House
Catherine,Cortez Masto,Catherine Cortez Masto,3/29/64,61,1/3/17,104,8.67,"8 years, 8 months",Senate
Jim,Costa,Jim Costa,4/13/52,73,1/3/05,248,20.67,"20 years, 8 months",House
Tom,Cotton,Tom Cotton,5/13/77,48,1/3/15,128,10.67,"10 years, 8 months",Senate
Joe,Courtney,Joe Courtney,4/6/53,72,1/3/07,224,18.67,"18 years, 8 months",House
Angie,Craig,Angie Craig,2/14/72,53,1/3/19,80,6.67,"6 years, 8 months",House
Kevin,Cramer,Kevin Cramer,1/21/61,64,1/3/19,80,6.67,"6 years, 8 months",Senate
Eli,Crane,Eli Crane,1/3/80,45,1/3/23,32,2.67,"2 years, 8 months",House
Jeff,Crank,Jeff Crank,1/28/67,58,1/3/25,8,0.67,8 months,House
Mike,Crapo,Mike Crapo,5/20/51,74,1/3/99,320,26.67,"26 years, 8 months",Senate
Rick,Crawford,Rick Crawford,1/22/66,59,1/3/11,176,14.67,"14 years, 8 months",House
Dan,Crenshaw,Dan Crenshaw,3/14/84,41,1/3/19,80,6.67,"6 years, 8 months",House
Jasmine,Crockett,Jasmine Crockett,3/29/81,44,1/3/23,32,2.67,"2 years, 8 months",House
Jason,Crow,Jason Crow,3/15/79,46,1/3/19,80,6.67,"6 years, 8 months",House
Ted,Cruz,Ted Cruz,12/22/70,54,1/3/13,152,12.67,"12 years, 8 months",Senate
Monica De La,Cruz,Monica De La Cruz,11/11/74,50,1/3/23,32,2.67,"2 years, 8 months",House
Henry,Cuellar,Henry Cuellar,9/19/55,70,1/3/05,248,20.67,"20 years, 8 months",House
John,Curtis,John Curtis,5/10/60,65,1/3/25,8,0.67,8 months,Senate
Mario,Díaz-Balart,Mario Díaz-Balart,9/25/61,64,1/3/03,272,22.67,"22 years, 8 months",House
Steve,Daines,Steve Daines,8/20/62,63,1/3/15,128,10.67,"10 years, 8 months",Senate
Sharice,Davids,Sharice Davids,5/22/80,45,1/3/19,80,6.67,"6 years, 8 months",House
Warren,Davidson,Warren Davidson,3/1/70,55,6/9/16,111,9.25,"9 years, 3 months",House
Danny,Davis,Danny Davis,9/6/41,84,1/3/97,344,28.67,"28 years, 8 months",House
Don,Davis,Don Davis,8/29/71,54,1/3/23,32,2.67,"2 years, 8 months",House
Madeleine,Dean,Madeleine Dean,6/6/59,66,1/3/19,80,6.67,"6 years, 8 months",House
Diana,DeGette,Diana DeGette,7/29/57,68,1/3/97,344,28.67,"28 years, 8 months",House
April McClain,Delaney,April McClain Delaney,5/28/64,61,1/3/25,8,0.67,8 months,House
Rosa,DeLauro,Rosa DeLauro,3/2/43,82,1/3/91,416,34.67,"34 years, 8 months",House
Suzan,DelBene,Suzan DelBene,2/17/62,63,11/13/12,154,12.83,"12 years, 10 months",House
Chris,Deluzio,Chris Deluzio,7/13/84,41,1/3/23,32,2.67,"2 years, 8 months",House
Mark,DeSaulnier,Mark DeSaulnier,3/31/52,73,1/3/15,128,10.67,"10 years, 8 months",House
Scott,DesJarlais,Scott DesJarlais,2/21/64,61,1/3/11,176,14.67,"14 years, 8 months",House
Maxine,Dexter,Maxine Dexter,12/5/72,52,1/3/25,8,0.67,8 months,House
Debbie,Dingell,Debbie Dingell,11/23/53,71,1/3/15,128,10.67,"10 years, 8 months",House
Lloyd,Doggett,Lloyd Doggett,10/6/46,78,1/3/95,368,30.67,"30 years, 8 months",House
Byron,Donalds,Byron Donalds,10/26/78,46,1/3/21,56,4.67,"4 years, 8 months",House
Troy,Downing,Troy Downing,3/4/67,58,1/3/25,8,0.67,8 months,House
Jeff Van,Drew,Jeff Van Drew,2/23/53,72,1/3/19,80,6.67,"6 years, 8 months",House
Tammy,Duckworth,Tammy Duckworth,3/12/68,57,1/3/17,104,8.67,"8 years, 8 months",Senate
Neal,Dunn,Neal Dunn,2/16/53,72,1/3/17,104,8.67,"8 years, 8 months",House
Dick,Durbin,Dick Durbin,11/21/44,80,1/3/97,344,28.67,"28 years, 8 months",Senate
Beth Van,Duyne,Beth Van Duyne,11/16/70,54,1/3/21,56,4.67,"4 years, 8 months",House
Chuck,Edwards,Chuck Edwards,9/13/60,65,1/3/23,32,2.67,"2 years, 8 months",House
Sarah,Elfreth,Sarah Elfreth,9/9/88,37,1/3/25,8,0.67,8 months,House
Jake,Ellzey,Jake Ellzey,1/24/70,55,7/30/21,49,4.08,"4 years, 1 month",House
Tom,Emmer,Tom Emmer,3/3/61,64,1/3/15,128,10.67,"10 years, 8 months",House
Joni,Ernst,Joni Ernst,7/1/70,55,1/3/15,128,10.67,"10 years, 8 months",Senate
Veronica,Escobar,Veronica Escobar,9/15/69,56,1/3/19,80,6.67,"6 years, 8 months",House
Adriano,Espaillat,Adriano Espaillat,9/27/54,71,1/3/17,104,8.67,"8 years, 8 months",House
Ron,Estes,Ron Estes,7/19/56,69,4/25/17,101,8.42,"8 years, 5 months",House
Gabe,Evans,Gabe Evans,7/28/86,39,1/3/25,8,0.67,8 months,House
Dwight,Evans,Dwight Evans,5/16/54,71,11/14/16,106,8.83,"8 years, 10 months",House
Mike,Ezell,Mike Ezell,4/6/59,66,1/3/23,32,2.67,"2 years, 8 months",House
Pat,Fallon,Pat Fallon,12/19/67,57,1/3/21,56,4.67,"4 years, 8 months",House
Julie,Fedorchak,Julie Fedorchak,9/28/68,57,1/3/25,8,0.67,8 months,House
Randy,Feenstra,Randy Feenstra,1/14/69,56,1/3/21,56,4.67,"4 years, 8 months",House
Teresa Leger,Fernandez,Teresa Leger Fernandez,7/1/59,66,1/3/21,56,4.67,"4 years, 8 months",House
John,Fetterman,John Fetterman,8/15/69,56,1/3/23,32,2.67,"2 years, 8 months",Senate
Cleo,Fields,Cleo Fields,11/22/62,62,1/3/25,8,0.67,8 months,House
Shomari,Figures,Shomari Figures,9/3/85,40,1/3/25,8,0.67,8 months,House
Randy,Fine,Randy Fine,4/20/74,51,4/2/25,5,0.42,5 months,House
Brad,Finstad,Brad Finstad,5/30/76,49,8/12/22,37,3.08,"3 years, 1 month",House
Michelle,Fischbach,Michelle Fischbach,11/3/65,59,1/3/21,56,4.67,"4 years, 8 months",House
Deb,Fischer,Deb Fischer,3/1/51,74,1/3/13,152,12.67,"12 years, 8 months",Senate
Scott,Fitzgerald,Scott Fitzgerald,11/16/63,61,1/3/21,56,4.67,"4 years, 8 months",House
Brian,Fitzpatrick,Brian Fitzpatrick,12/17/73,51,1/3/17,104,8.67,"8 years, 8 months",House
Chuck,Fleischmann,Chuck Fleischmann,10/11/62,62,1/3/11,176,14.67,"14 years, 8 months",House
Lizzie,Fletcher,Lizzie Fletcher,2/13/75,50,1/3/19,80,6.67,"6 years, 8 months",House
Mike,Flood,Mike Flood,2/23/75,50,7/12/22,38,3.17,"3 years, 2 months",House
Vince,Fong,Vince Fong,10/24/79,45,6/3/24,15,1.25,"1 year, 3 months",House
Bill,Foster,Bill Foster,10/7/55,69,1/3/13,152,12.67,"12 years, 8 months",House
Valerie,Foushee,Valerie Foushee,5/7/56,69,1/3/23,32,2.67,"2 years, 8 months",House
Lois,Frankel,Lois Frankel,5/16/48,77,1/3/13,152,12.67,"12 years, 8 months",House
Scott,Franklin,Scott Franklin,8/23/64,61,1/3/21,56,4.67,"4 years, 8 months",House
Laura,Friedman,Laura Friedman,12/3/66,58,1/3/25,8,0.67,8 months,House
Maxwell,Frost,Maxwell Frost,1/17/97,28,1/3/23,32,2.67,"2 years, 8 months",House
Russell,Fry,Russell Fry,1/31/85,40,1/3/23,32,2.67,"2 years, 8 months",House
Russ,Fulcher,Russ Fulcher,3/9/62,63,1/3/19,80,6.67,"6 years, 8 months",House
Ruben,Gallego,Ruben Gallego,11/20/79,45,1/3/25,8,0.67,8 months,Senate
John,Garamendi,John Garamendi,1/24/45,80,11/5/09,190,15.83,"15 years, 10 months",House
Andrew,Garbarino,Andrew Garbarino,9/27/84,41,1/3/21,56,4.67,"4 years, 8 months",House
Chuy,García,Chuy García,4/12/56,69,1/3/19,80,6.67,"6 years, 8 months",House
Robert,Garcia,Robert Garcia,12/2/77,47,1/3/23,32,2.67,"2 years, 8 months",House
Sylvia,Garcia,Sylvia Garcia,9/6/50,75,1/3/19,80,6.67,"6 years, 8 months",House
Brandon,Gill,Brandon Gill,2/26/94,31,1/3/25,8,0.67,8 months,House
Laura,Gillen,Laura Gillen,7/10/69,56,1/3/25,8,0.67,8 months,House
Kirsten,Gillibrand,Kirsten Gillibrand,12/9/66,58,1/26/09,200,16.67,"16 years, 8 months",Senate
Carlos,Giménez,Carlos Giménez,1/17/54,71,1/3/21,56,4.67,"4 years, 8 months",House
Jared,Golden,Jared Golden,7/25/82,43,1/3/19,80,6.67,"6 years, 8 months",House
Dan,Goldman,Dan Goldman,2/26/76,49,1/3/23,32,2.67,"2 years, 8 months",House
Craig,Goldman,Craig Goldman,10/3/68,56,1/3/25,8,0.67,8 months,House
Jimmy,Gomez,Jimmy Gomez,11/25/74,50,7/11/17,98,8.17,"8 years, 2 months",House
Tony,Gonzales,Tony Gonzales,10/10/80,44,1/3/21,56,4.67,"4 years, 8 months",House
Vicente,Gonzalez,Vicente Gonzalez,9/4/67,58,1/3/17,104,8.67,"8 years, 8 months",House
Lance,Gooden,Lance Gooden,12/1/82,42,1/3/19,80,6.67,"6 years, 8 months",House
Maggie,Goodlander,Maggie Goodlander,11/4/86,38,1/3/25,8,0.67,8 months,House
Paul,Gosar,Paul Gosar,11/27/58,66,1/3/11,176,14.67,"14 years, 8 months",House
Josh,Gottheimer,Josh Gottheimer,3/8/75,50,1/3/17,104,8.67,"8 years, 8 months",House
Lindsey,Graham,Lindsey Graham,7/9/55,70,1/3/03,272,22.67,"22 years, 8 months",Senate
Chuck,Grassley,Chuck Grassley,9/17/33,92,1/3/81,536,44.67,"44 years, 8 months",Senate
Sam,Graves,Sam Graves,11/7/63,61,1/3/01,296,24.67,"24 years, 8 months",House
Adam,Gray,Adam Gray,9/23/77,48,1/3/25,8,0.67,8 months,House
Al,Green,Al Green,9/1/47,78,1/3/05,248,20.67,"20 years, 8 months",House
Marjorie Taylor,Greene,Marjorie Taylor Greene,5/27/74,51,1/3/21,56,4.67,"4 years, 8 months",House
Morgan,Griffith,Morgan Griffith,3/15/58,67,1/3/11,176,14.67,"14 years, 8 months",House
Glenn,Grothman,Glenn Grothman,7/3/55,70,1/3/15,128,10.67,"10 years, 8 months",House
Michael,Guest,Michael Guest,2/4/70,55,1/3/19,80,6.67,"6 years, 8 months",House
Brett,Guthrie,Brett Guthrie,2/18/64,61,1/3/09,200,16.67,"16 years, 8 months",House
Harriet,Hageman,Harriet Hageman,10/18/62,62,1/3/23,32,2.67,"2 years, 8 months",House
Bill,Hagerty,Bill Hagerty,8/14/59,66,1/3/21,56,4.67,"4 years, 8 months",Senate
Abraham,Hamadeh,Abraham Hamadeh,5/15/91,34,1/3/25,8,0.67,8 months,House
Josh,Harder,Josh Harder,8/1/86,39,1/3/19,80,6.67,"6 years, 8 months",House
Mike,Haridopolos,Mike Haridopolos,3/15/70,55,1/3/25,8,0.67,8 months,House
Pat,Harrigan,Pat Harrigan,6/21/87,38,1/3/25,8,0.67,8 months,House
Andy,Harris,Andy Harris,1/25/57,68,1/3/11,176,14.67,"14 years, 8 months",House
Mark,Harris,Mark Harris,4/24/66,59,1/3/25,8,0.67,8 months,House
Diana,Harshbarger,Diana Harshbarger,1/1/60,65,1/3/21,56,4.67,"4 years, 8 months",House
Maggie,Hassan,Maggie Hassan,2/27/58,67,1/3/17,104,8.67,"8 years, 8 months",Senate
Josh,Hawley,Josh Hawley,12/31/79,45,1/3/19,80,6.67,"6 years, 8 months",Senate
Jahana,Hayes,Jahana Hayes,3/8/73,52,1/3/19,80,6.67,"6 years, 8 months",House
Martin,Heinrich,Martin Heinrich,10/17/71,53,1/3/13,152,12.67,"12 years, 8 months",Senate
Kevin,Hern,Kevin Hern,12/4/61,63,11/13/18,82,6.83,"6 years, 10 months",House
John,Hickenlooper,John Hickenlooper,2/7/52,73,1/3/21,56,4.67,"4 years, 8 months",Senate
Clay,Higgins,Clay Higgins,8/24/61,64,1/3/17,104,8.67,"8 years, 8 months",House
French,Hill,French Hill,12/5/56,68,1/3/15,128,10.67,"10 years, 8 months",House
Jim,Himes,Jim Himes,7/5/66,59,1/3/09,200,16.67,"16 years, 8 months",House
Ashley,Hinson,Ashley Hinson,6/27/83,42,1/3/21,56,4.67,"4 years, 8 months",House
Mazie,Hirono,Mazie Hirono,11/3/47,77,1/3/13,152,12.67,"12 years, 8 months",Senate
John,Hoeven,John Hoeven,3/13/57,68,1/3/11,176,14.67,"14 years, 8 months",Senate
Steven,Horsford,Steven Horsford,4/29/73,52,1/3/19,80,6.67,"6 years, 8 months",House
Erin,Houchin,Erin Houchin,9/24/76,49,1/3/23,32,2.67,"2 years, 8 months",House
Chrissy,Houlahan,Chrissy Houlahan,6/5/67,58,1/3/19,80,6.67,"6 years, 8 months",House
Steny,Hoyer,Steny Hoyer,6/14/39,86,5/19/81,532,44.33,"44 years, 4 months",House
Val,Hoyle,Val Hoyle,2/14/64,61,1/3/23,32,2.67,"2 years, 8 months",House
Richard,Hudson,Richard Hudson,11/4/71,53,1/3/13,152,12.67,"12 years, 8 months",House
Jared,Huffman,Jared Huffman,2/18/64,61,1/3/13,152,12.67,"12 years, 8 months",House
Bill,Huizenga,Bill Huizenga,1/31/69,56,1/3/11,176,14.67,"14 years, 8 months",House
Wesley,Hunt,Wesley Hunt,11/13/81,43,1/3/23,32,2.67,"2 years, 8 months",House
Jeff,Hurd,Jeff Hurd,8/15/79,46,1/3/25,8,0.67,8 months,House
Jon,Husted,Jon Husted,8/25/67,58,1/21/25,8,0.67,8 months,Senate
Cindy,Hyde-Smith,Cindy Hyde-Smith,5/10/59,66,4/9/18,89,7.42,"7 years, 5 months",Senate
Nick Begich,III,Nick Begich III,10/27/77,47,1/3/25,8,0.67,8 months,House
Darrell,Issa,Darrell Issa,11/1/53,71,1/3/21,56,4.67,"4 years, 8 months",House
Glenn,Ivey,Glenn Ivey,2/27/61,64,1/3/23,32,2.67,"2 years, 8 months",House
Brian,Jack,Brian Jack,2/17/88,37,1/3/25,8,0.67,8 months,House
Jonathan,Jackson,Jonathan Jackson,1/7/66,59,1/3/23,32,2.67,"2 years, 8 months",House
Ronny,Jackson,Ronny Jackson,5/4/67,58,1/3/21,56,4.67,"4 years, 8 months",House
Sara,Jacobs,Sara Jacobs,2/1/89,36,1/3/21,56,4.67,"4 years, 8 months",House
John,James,John James,6/8/81,44,1/3/23,32,2.67,"2 years, 8 months",House
Pramila,Jayapal,Pramila Jayapal,9/21/65,60,1/3/17,104,8.67,"8 years, 8 months",House
Hakeem,Jeffries,Hakeem Jeffries,8/4/70,55,1/3/13,152,12.67,"12 years, 8 months",House
Ron,Johnson,Ron Johnson,4/8/55,70,1/3/11,176,14.67,"14 years, 8 months",Senate
Hank,Johnson,Hank Johnson,10/2/54,70,1/3/07,224,18.67,"18 years, 8 months",House
Mike,Johnson,Mike Johnson,1/30/72,53,1/3/17,104,8.67,"8 years, 8 months",House
Dusty,Johnson,Dusty Johnson,9/30/76,48,1/3/19,80,6.67,"6 years, 8 months",House
Julie,Johnson,Julie Johnson,5/2/66,59,1/3/25,8,0.67,8 months,House
Jim,Jordan,Jim Jordan,2/17/64,61,1/3/07,224,18.67,"18 years, 8 months",House
David,Joyce,David Joyce,3/17/57,68,1/3/13,152,12.67,"12 years, 8 months",House
John,Joyce,John Joyce,2/8/57,68,1/3/19,80,6.67,"6 years, 8 months",House
Thomas Kean,Jr.,Thomas Kean Jr.,9/5/68,57,1/3/23,32,2.67,"2 years, 8 months",House
Jim,Justice,Jim Justice,4/27/51,74,1/14/25,8,0.67,8 months,Senate
Tim,Kaine,Tim Kaine,2/26/58,67,1/3/13,152,12.67,"12 years, 8 months",Senate
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,7/20/72,53,1/3/23,32,2.67,"2 years, 8 months",House
Marcy,Kaptur,Marcy Kaptur,6/17/46,79,1/3/83,512,42.67,"42 years, 8 months",House
Bill,Keating,Bill Keating,9/6/52,73,1/3/11,176,14.67,"14 years, 8 months",House
Mark,Kelly,Mark Kelly,2/21/64,61,12/2/20,57,4.75,"4 years, 9 months",Senate
Robin,Kelly,Robin Kelly,4/30/56,69,4/11/13,149,12.42,"12 years, 5 months",House
Trent,Kelly,Trent Kelly,3/1/66,59,6/2/15,123,10.25,"10 years, 3 months",House
Mike,Kelly,Mike Kelly,5/10/48,77,1/3/11,176,14.67,"14 years, 8 months",House
John,Kennedy,John Kennedy,11/21/51,73,1/3/17,104,8.67,"8 years, 8 months",Senate
Tim,Kennedy,Tim Kennedy,10/20/76,48,5/6/24,16,1.33,"1 year, 4 months",House
Mike,Kennedy,Mike Kennedy,2/2/69,56,1/3/25,8,0.67,8 months,House
Ro,Khanna,Ro Khanna,9/13/76,49,1/3/17,104,8.67,"8 years, 8 months",House
Jen,Kiggans,Jen Kiggans,6/18/71,54,1/3/23,32,2.67,"2 years, 8 months",House
Kevin,Kiley,Kevin Kiley,1/30/85,40,1/3/23,32,2.67,"2 years, 8 months",House
Andy,Kim,Andy Kim,7/12/82,43,12/8/24,9,0.75,9 months,Senate
Young,Kim,Young Kim,10/18/62,62,1/3/21,56,4.67,"4 years, 8 months",House
Angus,King,Angus King,3/31/44,81,1/3/13,152,12.67,"12 years, 8 months",Senate
Amy,Klobuchar,Amy Klobuchar,5/25/60,65,1/3/07,224,18.67,"18 years, 8 months",Senate
Brad,Knott,Brad Knott,4/17/86,39,1/3/25,8,0.67,8 months,House
Raja,Krishnamoorthi,Raja Krishnamoorthi,7/19/73,52,1/3/17,104,8.67,"8 years, 8 months",House
David,Kustoff,David Kustoff,10/8/66,58,1/3/17,104,8.67,"8 years, 8 months",House
Darin,LaHood,Darin LaHood,7/5/68,57,9/17/15,120,10,10 years,House
Nick,LaLota,Nick LaLota,6/23/78,47,1/3/23,32,2.67,"2 years, 8 months",House
Doug,LaMalfa,Doug LaMalfa,7/2/60,65,1/3/13,152,12.67,"12 years, 8 months",House
Greg,Landsman,Greg Landsman,12/4/76,48,1/3/23,32,2.67,"2 years, 8 months",House
Nick,Langworthy,Nick Langworthy,2/27/81,44,1/3/23,32,2.67,"2 years, 8 months",House
James,Lankford,James Lankford,3/4/68,57,1/3/15,128,10.67,"10 years, 8 months",Senate
Rick,Larsen,Rick Larsen,6/15/65,60,1/3/01,296,24.67,"24 years, 8 months",House
