bioguide_id,first_name,last_name,middle_name,net_worth_estimate,normalized_net_worth,top_holdings,top_traded_sectors,strategy_return,spy_return,strategy_start_date
B001299,Jim,Banks,,3405020.94,"$3,405,000","Real Estate, Residential: $3.0M; Life Insurance, Universal: $175.0K; Mutual Fund: $107.0K; Mutual Funds, ETF/Note: $73.0K; Corporate Securities, Stock: $24.0K",Consumer Discretionary: 22; Communication Services: 13; Consumer Staples: 12,,,
B001282,Andy,Barr,,1915055.89,"$1,915,000","Exchange Traded Funds (ETF): $771.0K; Bank Accts, Money Market Accts & CDs: $598.0K; Mutual Funds: $396.0K; Defined Benefit Pension: $32.5K; Whole/Universal Insurance: $24.0K",,,,
B001300,Nanette Diaz,Barragán,,3508795.59,"$3,509,000","Real Property: $3.0M; Bank Accts, Money Market Accts & CDs: $183.0K; Exchange Traded Funds (ETF): $121.0K; Mutual Funds: $99.0K; IRA (Held in Cash): $40.5K",Other: 3,,,
B001261,John,Barrasso,,10274000.00,"$10,274,000","Mutual Fund: $9.1M; Corporate Securities, Stock: $750.0K; Bank Deposit: $433.0K",Other: 1,,,
B001321,Tom,Barrett,,423756.74,"$424,000","Exchange Traded Funds (ETF): $390.0K; Mutual Funds: $16.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
B001322,Michael,Baumgartner,,1448000.00,"$1,448,000","Mutual Funds: $1.1M; 5F: $175.0K; Defined Benefit Pension: $75.0K; Pensions: $75.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
B001314,Aaron,Bean,,2012450.84,"$2,012,000","Real Property: $750.0K; Mutual Funds: $505.0K; Stock: $407.5K; Other: $375.0K; Bank Accts, Money Market Accts & CDs: $33.0K",,,,
B001281,Joyce,Beatty,,4115415.78,"$4,115,000","Bank Accts, Money Market Accts & CDs: $3.8M; Stock: $213.5K; Mutual Funds: $49.0K",,,,
B001323,Nicholas,Begich,J.,21334291.10,"$21,334,000",Ownership Interest (Trade or Business): $16.7M; Corporate Securities (Bonds & Notes): $3.0M; Other: $1.1M; Govt Securities & Agency Debt: $175.0K; Stock: $137.5K,,,,
B001324,Wesley,Bell,,,,,,,,
B001267,Michael,Bennet,F.,18027230.29,"$18,027,000","Mutual Fund: $9.3M; Investment Fund, Hedge Fund: $3.8M; Mutual Funds, ETF/Note: $3.0M; Real Estate, Commercial: $765.0K; Other Securities: $375.0K",Communication Services: 1,,,
B000668,Cliff,Bentz,,6939947.53,"$6,940,000","Real Property: $2.8M; Mutual Funds: $1.7M; Exchange Traded Funds (ETF): $828.0K; Stock: $722.0K; Bank Accts, Money Market Accts & CDs: $290.5K",Health Care: 1; Consumer Staples: 1,,,
B001287,Ami,Bera,,13662900.24,"$13,663,000","Real Property: $9.8M; Mutual Funds: $2.6M; Exchange Traded Funds (ETF): $917.5K; Bank Accts, Money Market Accts & CDs: $180.5K; Stock: $175.0K",,,,
B001301,Jack,Bergman,,1014000.00,"$1,014,000",Mutual Funds: $931.0K; Pensions: $83.0K,,,,
B001292,Donald,Beyer,S.,106903710.02,"$106,904,000","Real Property: $98.5M; Mutual Funds: $2.4M; Govt Securities & Agency Debt: $970.5K; Bank Accts, Money Market Accts & CDs: $864.0K; Stock: $758.0K",Health Care: 124; Information Technology: 114; Financials: 83; Consumer Staples: 56; Consumer Discretionary: 40,,,
B000740,Stephanie,Bice,I.,1695596.05,"$1,696,000","Exchange Traded Funds (ETF): $977.0K; Mutual Funds: $318.0K; Bank Accts, Money Market Accts & CDs: $239.5K",Financials: 1,,,
B001302,Andy,Biggs,,6065000.00,"$6,065,000","Real Property: $6.0M; Bank Accts, Money Market Accts & CDs: $57.0K; Ownership Interest (Trade or Business): $8.0K",,,,
B001325,Sheri,Biggs,,15315788.92,"$15,316,000","Bank Accts, Money Market Accts & CDs: $3.5M; Other: $3.0M; Ownership Interest (Trade or Business): $2.2M; Stock: $2.0M; Hedge Funds & Private Equity Funds (EIF): $1.5M",Information Technology: 9; Financials: 7; Communication Services: 5; Industrials: 5; Materials: 5,,,
B001257,Gus,Bilirakis,M.,,,,Other: 4,,,
B000490,Sanford,Bishop,D.,198500.00,"$198,000","Whole/Universal Insurance: $75.0K; Mutual Funds: $75.0K; Bank Accts, Money Market Accts & CDs: $40.5K; Real Property: $8.0K",,,,
B001243,Marsha,Blackburn,,1136500.00,"$1,136,000","Mutual Fund: $1.5M; Bank Deposit: $781.0K; Corporate Securities, Non-Public Stock: $16.0K",,,,
B001277,Richard,Blumenthal,,,,,,,,
B001303,Lisa,Blunt Rochester,,12220626.46,"$12,221,000","Mutual Funds, ETF/Note: $9.8M; Equity Index-Linked Note: $375.0K; Real Estate, Residential: $375.0K; Bank Deposit: $314.5K; Mutual Fund: $105.5K",Other: 75,,,
B000825,Lauren,Boebert,,83124.66,"$83,000","Intellectual Property & Royalties: $32.5K; Mutual Funds: $16.0K; Stock: $10.5K; Other: $8.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
B001278,Suzanne,Bonamici,,10337076.02,"$10,337,000","Mutual Funds: $8.8M; Bank Accts, Money Market Accts & CDs: $758.0K; Exchange Traded Funds (ETF): $282.5K; Other: $175.0K; Collectibles: $175.0K",,,,
B001288,Cory,Booker,A.,1119490.09,"$1,119,000","Mutual Fund: $900.5K; Retirement Plans, Benefit Pension: $75.0K; Mutual Funds, ETF/Note: $65.0K; Bank Deposit: $65.0K",Real Estate: 4; Consumer Discretionary: 3; Communication Services: 3; Information Technology: 2,,,
B001236,John,Boozman,,3476936.30,"$3,477,000","Mutual Fund: $852.0K; Mutual Funds, ETF/Note: $775.0K; Corporate Securities, Stock: $544.0K; Real Estate, Commercial: $375.0K; Real Estate, Unimproved Land: $292.5K",Information Technology: 35; Health Care: 10; Communication Services: 9; Financials: 9; Consumer Discretionary: 8,,,
B001295,Mike,Bost,,480196.99,"$480,000","Mutual Funds: $172.5K; Bank Accts, Money Market Accts & CDs: $158.0K; Stock (Not Publicly Traded): $75.5K; Stock: $67.0K; IRA (Held in Cash): $8.5K",,,,
B001296,Brendan,Boyle,F.,1332500.00,"$1,332,000","Real Property: $750.0K; Mutual Funds: $550.0K; Bank Accts, Money Market Accts & CDs: $32.5K",,,,
B001317,Josh,Brecheen,,207500.00,"$208,000",Farms: $175.0K; Other: $32.5K,,,,
B001327,Robert,Bresnahan,P.,36882557.48,"$36,883,000",Ownership Interest (Trade or Business): $15.0M; Stock: $9.4M; Real Property: $3.6M; Govt Securities & Agency Debt: $3.2M; Exchange Traded Funds (ETF): $2.3M,Information Technology: 175; Health Care: 96; Industrials: 71; Consumer Discretionary: 52; Communication Services: 39,,,
B001319,Katie Boyd,Britt,,7007905.97,"$7,008,000","Corporate Securities, Stock: $3.3M; Real Estate, Commercial: $1.3M; Mutual Fund: $1.2M; Mutual Funds, ETF/Note: $232.0K; Business Entity, Limited Liability Company (LLC): $207.5K",Consumer Discretionary: 1,,,
B001313,Shontel,Brown,M.,32000.00,"$32,000",Mutual Funds: $24.0K; Other: $8.0K,,,,
B001285,Julia,Brownley,,2985382.38,"$2,985,000",Mutual Funds: $2.0M; Real Property: $750.0K; Exchange Traded Funds (ETF): $188.5K; Other: $32.5K; Stock: $8.0K,,,,
B001260,Vern,Buchanan,,261693175.64,"$261,693,000",Real Property: $79.3M; Other: $78.7M; Ownership Interest (Trade or Business): $60.5M; Exchange Traded Funds (ETF): $14.3M; Mutual Funds: $4.0M,Other: 228,,,
B001305,Ted,Budd,,6208335.29,"$6,208,000","Business Entity, Sole Proprietorship: $3.0M; Real Estate, Commercial: $1.1M; Mutual Fund: $819.0K; Real Estate, Residential: $375.0K; Farm: $375.0K",,,,
B001315,Nikki,Budzinski,,952000.00,"$952,000","Mutual Funds: $828.0K; Bank Accts, Money Market Accts & CDs: $75.5K; Defined Benefit Pension: $40.5K; Govt Securities & Agency Debt: $8.0K",,,,
B001309,Tim,Burchett,,41839.42,"$42,000","Bank Accts, Money Market Accts & CDs: $16.5K; Mutual Funds: $16.0K; Exchange Traded Funds (ETF): $8.0K",Consumer Discretionary: 1,,,
B001316,Eric,Burlison,,1048363.35,"$1,048,000",Exchange Traded Funds (ETF): $796.5K; Real Property: $175.0K,Consumer Discretionary: 1,,,
B001326,Janelle,Bynum,S.,16144015.40,"$16,144,000","Ownership Interest (Trade or Business): $30.0M; Exchange Traded Funds (ETF): $776.0K; Mutual Funds: $760.0K; Other: $211.0K; Bank Accts, Money Market Accts & CDs: $194.0K",,,,
C000059,Ken,Calvert,,22850000.00,"$22,850,000","Real Property: $19.5M; Bank Accts, Money Market Accts & CDs: $3.0M; Stock (Not Publicly Traded): $375.0K",,,,
C001039,Kat,Cammack,,596364.51,"$596,000","Mutual Funds: $258.0K; Real Property: $175.0K; Exchange Traded Funds (ETF): $111.0K; Bank Accts, Money Market Accts & CDs: $32.5K",,,,
C000127,Maria,Cantwell,,3337000.00,"$3,337,000","Accounts Receivable, From a Business: $3.0M; Mutual Fund: $288.5K; Bank Deposit: $40.5K; Mutual Funds, Stable Value Fund: $8.0K",Information Technology: 6,,,
C001047,Shelley Moore,Capito,,4758298.77,"$4,758,000","Corporate Securities, Stock: $2.4M; Business Entity, Limited Partnership (LP): $750.0K; Mutual Fund: $175.0K; Bank Deposit: $91.0K; Life Insurance, Whole: $16.0K",Information Technology: 97; Financials: 93; Health Care: 55; Industrials: 55; Consumer Staples: 43,,,
C001112,Salud,Carbajal,O.,973500.00,"$974,000","Real Property: $750.0K; Pensions: $175.0K; Bank Accts, Money Market Accts & CDs: $48.5K",,,,
C001126,Mike,Carey,,1284266.65,"$1,284,000",Exchange Traded Funds (ETF): $442.0K; Mutual Funds: $192.5K; Ownership Interest (Trade or Business): $175.0K; IRA (Held in Cash): $175.0K; Other: $175.0K,,,,
C001072,André,Carson,,32500.00,"$32,000","Bank Accts, Money Market Accts & CDs: $32.5K",,,,
C001103,Earl,Carter,L.,28281138.48,"$28,281,000","Hedge Funds & Private Equity Funds (EIF): $15.0M; Bank Accts, Money Market Accts & CDs: $3.7M; Mutual Funds: $3.2M; Stock: $3.0M; Other: $1.6M",Financials: 4; Health Care: 1,,,
C001051,John,Carter,R.,3450000.00,"$3,450,000","Stock: $3.0M; Bank Accts, Money Market Accts & CDs: $450.0K",,,,
C001125,Troy,Carter,A.,,,,,,,
C001131,Greg,Casar,,,,,,,,
C001055,Ed,Case,,5948184.04,"$5,948,000","Stock: $3.6M; Mutual Funds: $1.2M; Bank Accts, Money Market Accts & CDs: $383.0K; Exchange Traded Funds (ETF): $315.0K",Information Technology: 2; Industrials: 1; Energy: 1; Consumer Staples: 1,,,
C001075,Bill,Cassidy,,431500.00,"$432,000","Mutual Fund: $383.0K; Corporate Securities, Corporate Bond: $40.5K; Bank Deposit: $8.0K",Information Technology: 31; Health Care: 25; Energy: 18; Consumer Discretionary: 17; Communication Services: 15,,,
C001117,Sean,Casten,,4010379.76,"$4,010,000","Mutual Funds: $2.7M; Ownership Interest (Trade or Business): $415.5K; Exchange Traded Funds (ETF): $382.5K; Corporate Securities (Bonds & Notes): $175.0K; Bank Accts, Money Market Accts & CDs: $91.0K",Other: 12,,,
C001066,Kathy,Castor,,15257692.49,"$15,258,000","Mutual Funds: $7.4M; Other: $3.7M; Exchange Traded Funds (ETF): $3.2M; Stock: $375.0K; Bank Accts, Money Market Accts & CDs: $81.0K",Industrials: 14; Financials: 8; Communication Services: 6; Information Technology: 5; Health Care: 4,,,
C001091,Joaquin,Castro,,,,,,,,
C001127,Sheila,Cherfilus-McCormick,,115500.00,"$116,000","Ownership Interest (Trade or Business): $75.0K; Whole/Universal Insurance: $32.5K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
C001080,Judy,Chu,,14765463.57,"$14,765,000","Exchange Traded Funds (ETF): $5.3M; Real Property: $3.0M; Mutual Funds: $2.0M; Bank Accts, Money Market Accts & CDs: $2.0M; Pensions: $891.5K",Financials: 5; Health Care: 2; Industrials: 1; Information Technology: 1,,,
C001133,Juan,Ciscomani,,609587.66,"$610,000","Pensions: $375.0K; Bank Accts, Money Market Accts & CDs: $150.0K; Exchange Traded Funds (ETF): $35.5K; Mutual Funds: $33.0K; Govt Securities & Agency Debt: $8.0K",,,,
C001123,Gilbert,Cisneros,Ray,78490382.37,"$78,490,000",Govt Securities & Agency Debt: $17.4M; Hedge Funds & Private Equity Funds (EIF): $15.8M; Stock: $15.4M; Exchange Traded Funds (ETF): $9.2M; Mutual Funds: $8.1M,Health Care: 333; Information Technology: 254; Industrials: 190; Financials: 163; Consumer Discretionary: 154,,,
C001101,Katherine,Clark,M.,14974946.56,"$14,975,000","Exchange Traded Funds (ETF): $4.1M; Real Property: $3.8M; Mutual Funds: $2.8M; Stock: $2.2M; Bank Accts, Money Market Accts & CDs: $440.0K",Information Technology: 96; Financials: 91; Health Care: 88; Industrials: 67; Consumer Discretionary: 65,,,
C001067,Yvette,Clarke,D.,207500.00,"$208,000",Mutual Funds: $207.5K,,,,
C001061,Emanuel,Cleaver,,688500.00,"$688,000",Other: $408.0K; Fixed Annuity: $175.0K; Mutual Funds: $73.0K; IRA (Held in Cash): $32.5K,,,,
C001118,Ben,Cline,,715500.00,"$716,000","Bank Accts, Money Market Accts & CDs: $358.0K; Mutual Funds: $325.0K; Defined Benefit Pension: $32.5K",,,,
C001115,Michael,Cloud,,450500.00,"$450,000","Mutual Funds: $235.5K; Bank Accts, Money Market Accts & CDs: $107.5K; Pensions: $75.0K; Collectibles: $32.5K",,,,
C000537,James,Clyburn,E.,267269.67,"$267,000","Stock: $272.5K; Bank Accts, Money Market Accts & CDs: $1.0K",,,,
C001116,Andrew,Clyde,S.,19175000.00,"$19,175,000","Real Property: $18.4M; Mutual Funds: $550.0K; Bank Accts, Money Market Accts & CDs: $250.0K",,,,
C001068,Steve,Cohen,,9228722.68,"$9,229,000","Stock: $3.4M; Mutual Funds: $2.7M; Bank Accts, Money Market Accts & CDs: $1.6M; Exchange Traded Funds (ETF): $465.0K; Govt Securities & Agency Debt: $389.0K",Financials: 11; Energy: 10; Consumer Discretionary: 10; Communication Services: 9; Health Care: 8,,,
C001053,Tom,Cole,,8403328.51,"$8,403,000","Mutual Funds: $5.8M; IRA (Held in Cash): $625.0K; Stock: $616.0K; Bank Accts, Money Market Accts & CDs: $425.0K; Real Property: $407.5K",,,,
C001129,Mike,Collins,,18750000.00,"$18,750,000","Ownership Interest (Trade or Business): $18.0M; CT: $375.0K; Other: $203.5K; Mutual Funds: $139.5K; Bank Accts, Money Market Accts & CDs: $32.0K",Other: 38,,,
C001035,Susan,Collins,M.,6758965.51,"$6,759,000","Corporate Securities, Stock: $2.8M; Bank Deposit: $1.1M; Mutual Fund: $880.5K; Mutual Funds, ETF/Note: $657.5K; Govt Securities, Municipal Security: $430.0K",Industrials: 54; Financials: 52; Health Care: 43; Information Technology: 34; Consumer Discretionary: 33,,,
C001108,James,Comer,,6957692.93,"$6,958,000","Farms: $4.7M; Real Property: $750.0K; Bank Accts, Money Market Accts & CDs: $415.5K; Ownership Interest (Trade or Business): $383.0K; Stock: $290.0K",Information Technology: 17; Consumer Discretionary: 8; Financials: 7; Communication Services: 4; Industrials: 3,,,
C001136,Herbert,Conaway,C.,415000.00,"$415,000","Ownership Interest (Trade or Business): $207.5K; Real Property: $175.0K; Bank Accts, Money Market Accts & CDs: $32.5K",,,,
C001078,Gerald,Connolly,E.,4057175.09,"$4,057,000","Mutual Funds: $2.5M; Stock: $522.0K; Exchange Traded Funds (ETF): $369.5K; Bank Accts, Money Market Accts & CDs: $314.0K; Fixed Annuity: $175.0K",Utilities: 37; Information Technology: 28; Health Care: 2; Communication Services: 1; Consumer Staples: 1,,,
C001088,Christopher,Coons,A.,16340715.22,"$16,341,000","Real Estate, Residential: $6.0M; Corporate Securities, Non-Public Stock: $3.0M; Corporate Securities, Stock: $3.0M; Mutual Fund: $2.1M; Bank Deposit: $1.2M",Communication Services: 4; Information Technology: 3,,,
C001056,John,Cornyn,,1499000.00,"$1,499,000","Mutual Fund: $1.2M; Retirement Plans, Benefit Pension: $215.0K; Bank Deposit: $89.0K; Annuity, Fixed: $16.0K",Information Technology: 2,,,
C001110,J. Luis,Correa,,6442500.00,"$6,442,000","Real Property: $2.8M; Pensions: $2.5M; Bank Accts, Money Market Accts & CDs: $1.1M",,,,
C001113,Catherine,Cortez Masto,,4363000.00,"$4,363,000","Bank Deposit: $3.2M; Mutual Fund: $805.0K; Retirement Plans, Benefit Pension: $375.0K",,,,
C001059,Jim,Costa,,4445500.00,"$4,446,000","Farms: $3.0M; Real Property: $750.0K; Mutual Funds: $572.0K; Bank Accts, Money Market Accts & CDs: $83.0K; Stock: $32.5K",Financials: 1,,,
C001095,Tom,Cotton,,674975.26,"$675,000","Bank Deposit: $422.5K; Mutual Funds, ETF/Note: $156.0K; Business Entity, Limited Liability Company (LLC): $40.5K; Mutual Fund: $32.5K",,,,
C001069,Joe,Courtney,,2037801.10,"$2,038,000","Exchange Traded Funds (ETF): $1.1M; Mutual Funds: $647.0K; Bank Accts, Money Market Accts & CDs: $123.5K; Whole/Universal Insurance: $33.0K; IRA (Held in Cash): $8.0K",Financials: 21; Consumer Staples: 13; Consumer Discretionary: 10; Information Technology: 9; Health Care: 8,,,
C001119,Angie,Craig,,,,Mutual Funds: $1.0M; Exchange Traded Funds (ETF): $274.0K; Defined Benefit Pension: $75.0K,,,,
C001096,Kevin,Cramer,,896000.00,"$896,000",Mutual Fund: $863.5K; Bank Deposit: $32.5K,,,,
C001132,Elijah,Crane,,1396500.00,"$1,396,000","Bank Accts, Money Market Accts & CDs: $1.2M; Debts Owed to the Filer: $207.5K; Whole/Universal Insurance: $16.0K",,,,
C001137,Jeff,Crank,,2348500.00,"$2,348,000","Real Property: $1.7M; Stock (Not Publicly Traded): $382.5K; Debts Owed to the Filer: $175.0K; Mutual Funds: $75.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
C000880,Mike,Crapo,,3873500.00,"$3,874,000","Real Estate, Residential: $3.0M; Bank Deposit: $857.5K",Other: 1,,,
C001087,Eric,Crawford,A.,,,,,,,
C001120,Dan,Crenshaw,,1325519.37,"$1,326,000",Real Property: $750.0K; Delaware Statutory Trust: $375.0K; Ownership Interest (Trade or Business): $107.5K; Stock: $56.0K; Exchange Traded Funds (ETF): $24.0K,Consumer Discretionary: 12; Industrials: 6; Communication Services: 2; Energy: 2; Information Technology: 1,,,
C001130,Jasmine,Crockett,,23535.08,"$24,000",Stock: $48.0K,,,,
C001121,Jason,Crow,,322701.34,"$323,000","Exchange Traded Funds (ETF): $269.0K; Bank Accts, Money Market Accts & CDs: $16.5K; IRA (Held in Cash): $8.0K; Mutual Funds: $2.0K",,,,
C001098,Ted,Cruz,,11060157.21,"$11,060,000","Mutual Fund: $4.5M; Corporate Securities, Stock: $3.4M; Retirement Plans, Benefit Pension: $825.0K; Bank Deposit: $288.0K; Cryptocurrency: $175.0K",Energy: 5; Financials: 4,,,
C001063,Henry,Cuellar,,1230500.00,"$1,230,000",Real Property: $908.0K; Mutual Funds: $248.0K; Whole/Universal Insurance: $40.5K; 529 Prepaid Tuition Plan: $32.5K; Ownership Interest (Trade or Business): $1.5K,,,,
C001114,John,Curtis,R.,18055355.79,"$18,055,000","Investment Fund, Private Equity Fund: $6.0M; Real Estate, Commercial: $3.4M; Mutual Funds, ETF/Note: $3.0M; Real Estate, Residential: $1.7M; Business Entity, Limited Partnership (LP): $1.1M",Information Technology: 56; Financials: 48; Health Care: 46; Consumer Discretionary: 36; Industrials: 28,,,
D000618,Steve,Daines,,21372500.00,"$21,372,000","Real Estate, Commercial: $9.8M; Real Estate, Residential: $3.8M; Real Estate, Unimproved Land: $3.8M; Bank Deposit: $3.5M; Mutual Fund: $422.5K",Other: 1,,,
D000629,Sharice,Davids,,431000.00,"$431,000","Real Property: $375.0K; Mutual Funds: $24.0K; Bank Accts, Money Market Accts & CDs: $16.0K; IRA (Held in Cash): $8.0K; Whole/Universal Insurance: $8.0K",,,,
D000626,Warren,Davidson,,6519872.21,"$6,520,000","Ownership Interest (Trade or Business): $6.1M; Mutual Funds: $138.0K; Bank Accts, Money Market Accts & CDs: $113.5K; Stock: $106.0K; IRA (Held in Cash): $9.0K",Consumer Discretionary: 3; Materials: 2; Energy: 1; Industrials: 1,,,
D000096,Danny,Davis,K.,513114.32,"$513,000",Stock: $449.0K,,,,
D000230,Donald,Davis,G.,40500.00,"$40,000",Other: $32.5K; Fixed Annuity: $8.0K,,,,
D000594,Monica,De La Cruz,,1121500.00,"$1,122,000","Real Property: $550.0K; Bank Accts, Money Market Accts & CDs: $223.5K; Whole/Universal Insurance: $186.5K; 529 Prepaid Tuition Plan: $65.0K; Other: $56.5K",,,,
D000631,Madeleine,Dean,,1905804.32,"$1,906,000",Exchange Traded Funds (ETF): $575.5K; Mutual Funds: $537.5K; Pensions: $175.0K; Other: $164.0K; Whole/Universal Insurance: $107.5K,,,,
D000197,Diana,DeGette,,2840500.00,"$2,840,000","Mutual Funds: $2.4M; Bank Accts, Money Market Accts & CDs: $223.5K; Defined Benefit Pension: $175.0K",,,,
D000216,Rosa,DeLauro,L.,3215500.00,"$3,216,000","Ownership Interest (Trade or Business): $3.0M; Whole/Universal Insurance: $175.0K; Mutual Funds: $32.5K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
D000617,Suzan,DelBene,K.,141371318.98,"$141,371,000",Hedge Funds & Private Equity Funds (EIF): $42.6M; Mutual Funds: $39.1M; Real Property: $18.0M; Govt Securities & Agency Debt: $15.2M; Exchange Traded Funds (ETF): $14.8M,Information Technology: 98; Industrials: 48; Energy: 6; Consumer Discretionary: 5; Utilities: 4,,,
D000530,Christopher,Deluzio,R.,4493211.04,"$4,493,000","Exchange Traded Funds (ETF): $2.8M; 5F: $490.0K; Mutual Funds: $461.0K; Bank Accts, Money Market Accts & CDs: $319.5K",,,,
D000623,Mark,DeSaulnier,,258000.00,"$258,000","Pensions: $175.0K; Bank Accts, Money Market Accts & CDs: $83.0K",,,,
D000616,Scott,DesJarlais,,629404.01,"$629,000","Bank Accts, Money Market Accts & CDs: $279.5K; Fixed Annuity: $75.0K; Real Property: $75.0K; Stock: $75.0K; Other: $65.0K",,,,
D000635,Maxine,Dexter,,5203000.00,"$5,203,000","Real Property: $3.0M; Mutual Funds: $2.0M; 5F: $150.0K; Bank Accts, Money Market Accts & CDs: $8.0K",,,,
D000600,Mario,Diaz-Balart,,81064.96,"$81,000","Bank Accts, Money Market Accts & CDs: $32.5K; Mutual Funds: $24.0K; 529 Prepaid Tuition Plan: $8.0K; IRA (Held in Cash): $8.0K; Fixed Annuity: $8.0K",Information Technology: 2; Consumer Discretionary: 1,,,
D000624,Debbie,Dingell,,14917476.67,"$14,917,000","Stock: $7.1M; Mutual Funds: $5.0M; Fixed Annuity: $875.0K; Bank Accts, Money Market Accts & CDs: $331.5K; Exchange Traded Funds (ETF): $272.5K",Industrials: 30; Energy: 25; Information Technology: 23; Consumer Staples: 21; Communication Services: 20,,,
D000399,Lloyd,Doggett,,53192830.42,"$53,193,000","Mutual Funds: $21.2M; Real Property: $18.8M; Exchange Traded Funds (ETF): $8.2M; Stock: $3.1M; Bank Accts, Money Market Accts & CDs: $298.0K",Consumer Staples: 82; Information Technology: 45; Consumer Discretionary: 40; Materials: 31; Health Care: 14,,,
D000032,Byron,Donalds,,4379060.78,"$4,379,000",Ownership Interest (Trade or Business): $3.8M; Stock: $456.0K; IRA (Held in Cash): $83.5K; Pensions: $32.5K,Information Technology: 55; Financials: 48; Health Care: 48; Industrials: 29; Consumer Discretionary: 18,,,
D000634,Troy,Downing,,8936480.77,"$8,936,000","Real Property: $6.6M; Bank Accts, Money Market Accts & CDs: $1.2M; Exchange Traded Funds (ETF): $466.0K; Other: $183.0K; Ownership Interest (Trade or Business): $175.0K",,,,
D000622,Tammy,Duckworth,,1357186.95,"$1,357,000","Mutual Funds, ETF/Note: $726.0K; Bank Deposit: $223.0K; Mutual Fund: $219.0K; Annuity, Fixed: $75.0K",Industrials: 11; Information Technology: 8; Consumer Staples: 7; Consumer Discretionary: 5; Materials: 4,,,
