bioguide_id,first_name,last_name,middle_name,net_worth_estimate,top_holdings
B001305,Ted,Budd,,6197810.46,"Business Entity, Sole Proprietorship: $3,000,000; Real Estate, Commercial: $1,125,000; Mutual Funds: $819,000; Real Estate, Residential: $375,000; Farm: $375,000"
B001315,Nikki,Budzinski,,952000.00,"Mutual Funds: $828,000; Bank Accnts, Money Market Accnts & CDs: $75,500; Defined Benefit Pension: $40,500; Govt Securities & Agency Debt: $8,000"
B001309,Tim,Burchett,,41635.03,"Bank Accnts, Money Market Accnts & CDs: $16,500; Mutual Funds: $16,000; Exchange Traded Funds (ETF): $8,000"
B001316,Eric,Burlison,,1036713.91,"Exchange Traded Funds (ETF): $796,500; Real Property: $175,000"
B001326,Janelle,Bynum,S.,16086437.42,"Ownership Interest (Trade or Business): $15,000,000; Mutual Funds: $498,000; Exchange Traded Funds (ETF): $388,000; Bank Accnts, Money Market Accnts & CDs: $97,000; 5F: $32,000"
C000059,Ken,Calvert,,22850000.00,"Real Property: $19,475,000; Bank Accnts, Money Market Accnts & CDs: $3,000,000; Stock (Not Publicly Traded): $375,000"
C001039,Kat,Cammack,,595109.21,"Mutual Funds: $258,000; Real Property: $175,000; Exchange Traded Funds (ETF): $111,000; Bank Accnts, Money Market Accnts & CDs: $32,500"
C000127,Maria,Cantwell,,3337000.00,"Accounts Receivable, From a Business: $3,000,000; Mutual Funds: $288,500; Bank Deposit: $40,500; Mutual Funds, Stable Value Fund: $8,000"
C001047,Shelley Moore,Capito,,4687405.85,"Corporate Securities, Stock: $2,369,000; Business Entity, Limited Partnership (LP): $750,000; Mutual Funds: $175,000; Bank Deposit: $91,000; Life Insurance, Whole: $16,000"
C001112,Salud,Carbajal,O.,973500.00,"Real Property: $750,000; Pensions: $175,000; Bank Accnts, Money Market Accnts & CDs: $48,500"
C001126,Mike,Carey,,1274837.45,"Exchange Traded Funds (ETF): $442,000; Mutual Funds: $192,500; Other: $175,000; IRA (Held in Cash): $175,000; Ownership Interest (Trade or Business): $175,000"
C001072,André,Carson,,32500.00,"Bank Accnts, Money Market Accnts & CDs: $32,500"
C001103,Earl,Carter,L.,28069556.08,"Hedge Funds & Private Equity Funds (EIF): $15,000,000; Bank Accnts, Money Market Accnts & CDs: $3,725,000; Mutual Funds: $3,175,000; Stock: $3,040,500; Other: $1,640,000"
C001051,John,Carter,R.,3450000.00,"Stock: $3,000,000; Bank Accnts, Money Market Accnts & CDs: $450,000"
C001125,Troy,Carter,A.,,
C001131,Greg,Casar,,,
C001055,Ed,Case,,5717924.56,"Stock: $3,633,500; Mutual Funds: $1,150,500; Bank Accnts, Money Market Accnts & CDs: $383,000; Exchange Traded Funds (ETF): $315,000"
C001075,Bill,Cassidy,,431500.00,"Mutual Funds: $383,000; Corporate Securities, Corporate Bond: $40,500; Bank Deposit: $8,000"
C001117,Sean,Casten,,3992554.30,"Mutual Funds: $2,728,500; Ownership Interest (Trade or Business): $415,500; Exchange Traded Funds (ETF): $382,500; Corporate Securities (Bonds & Notes): $175,000; Bank Accnts, Money Market Accnts & CDs: $91,000"
C001066,Kathy,Castor,,15198422.79,"Mutual Funds: $7,390,000; Other: $3,725,000; Exchange Traded Funds (ETF): $3,208,750; Stock: $375,000; Bank Accnts, Money Market Accnts & CDs: $81,000"
C001091,Joaquin,Castro,,,
C001127,Sheila,Cherfilus-McCormick,,115500.00,"Ownership Interest (Trade or Business): $75,000; Whole/Universal Insurance: $32,500; Bank Accnts, Money Market Accnts & CDs: $8,000"
C001080,Judy,Chu,,14656143.18,"Exchange Traded Funds (ETF): $5,347,500; Real Property: $3,000,000; Mutual Funds: $2,047,500; Bank Accnts, Money Market Accnts & CDs: $1,996,500; Pensions: $891,500"
C001133,Juan,Ciscomani,,609570.53,"Pensions: $375,000; Bank Accnts, Money Market Accnts & CDs: $150,000; Exchange Traded Funds (ETF): $35,500; Mutual Funds: $33,000; Ownership Interest (Trade or Business): $8,000"
C001123,Gilbert,Cisneros,Ray,78183170.81,"Govt Securities & Agency Debt: $17,390,000; Hedge Funds & Private Equity Funds (EIF): $15,750,000; Stock: $15,375,000; Exchange Traded Funds (ETF): $9,158,000; Mutual Funds: $8,125,000"
C001101,Katherine,Clark,M.,14741931.58,"Exchange Traded Funds (ETF): $4,056,000; Real Property: $3,750,000; Mutual Funds: $2,763,500; Stock: $2,191,000; Bank Accnts, Money Market Accnts & CDs: $440,000"
C001067,Yvette,Clarke,D.,207500.00,"Mutual Funds: $207,500"
C001061,Emanuel,Cleaver,,688500.00,"Other: $408,000; Fixed Annuity: $175,000; Mutual Funds: $73,000; IRA (Held in Cash): $32,500"
C001118,Ben,Cline,,715500.00,"Bank Accnts, Money Market Accnts & CDs: $358,000; Mutual Funds: $325,000; Defined Benefit Pension: $32,500"
C001115,Michael,Cloud,,450500.00,"Mutual Funds: $235,500; Bank Accnts, Money Market Accnts & CDs: $107,500; Pensions: $75,000; Collectibles: $32,500"
C000537,James,Clyburn,E.,284745.40,"Stock: $272,500; Bank Accnts, Money Market Accnts & CDs: $1,000"
C001116,Andrew,Clyde,S.,19175000.00,"Real Property: $18,375,000; Mutual Funds: $550,000; Bank Accnts, Money Market Accnts & CDs: $250,000"
C001068,Steve,Cohen,,9172935.65,"Stock: $3,424,500; Mutual Funds: $2,713,000; Bank Accnts, Money Market Accnts & CDs: $1,613,500; Exchange Traded Funds (ETF): $465,000; Govt Securities & Agency Debt: $389,000"
C001053,Tom,Cole,,8387616.86,"Mutual Funds: $5,772,500; IRA (Held in Cash): $625,000; Stock: $616,000; Bank Accnts, Money Market Accnts & CDs: $425,000; Real Property: $407,500"
C001129,Mike,Collins,,18750000.00,"Ownership Interest (Trade or Business): $18,000,000; CT: $375,000; Other: $203,500; Mutual Funds: $139,500; Bank Accnts, Money Market Accnts & CDs: $32,000"
C001035,Susan,Collins,M.,6674733.62,"Corporate Securities, Stock: $2,846,500; Bank Deposit: $1,140,000; Mutual Funds: $880,500; Mutual Funds, Exchange Traded Fund: $657,500; Govt Securities, Municipal Security: $430,000"
C001108,James,Comer,,6944023.26,"Farms: $4,707,500; Real Property: $750,000; Bank Accnts, Money Market Accnts & CDs: $415,500; Ownership Interest (Trade or Business): $383,000; Stock: $290,000"
C001136,Herbert,Conaway,C.,415000.00,"Ownership Interest (Trade or Business): $207,500; Real Property: $175,000; Bank Accnts, Money Market Accnts & CDs: $32,500"
C001078,Gerald,Connolly,E.,4050687.69,"Mutual Funds: $2,466,500; Stock: $522,000; Exchange Traded Funds (ETF): $369,500; Bank Accnts, Money Market Accnts & CDs: $314,000; Fixed Annuity: $175,000"
C001088,Christopher,Coons,A.,16338764.92,"Real Estate, Residential: $6,000,000; Corporate Securities, Non-Public Stock: $3,000,000; Corporate Securities, Stock: $3,000,000; Mutual Funds: $2,135,000; Bank Deposit: $1,156,500"
C001056,John,Cornyn,,1499000.00,"Mutual Funds: $1,179,000; Retirement Plans, Defined Benefit Pension: $215,000; Bank Deposit: $89,000; Annuity, Fixed: $16,000"
C001110,J. Luis,Correa,,6442500.00,"Real Property: $2,800,000; Pensions: $2,542,500; Bank Accnts, Money Market Accnts & CDs: $1,100,000"
C001113,Catherine,Cortez Masto,,4363000.00,"Bank Deposit: $3,183,000; Mutual Funds: $805,000; Retirement Plans, Defined Benefit Pension: $375,000"
C001059,Jim,Costa,,4445500.00,"Farms: $3,000,000; Real Property: $750,000; Mutual Funds: $572,000; Bank Accnts, Money Market Accnts & CDs: $83,000; Stock: $32,500"
C001095,Tom,Cotton,,671224.93,"Bank Deposit: $422,500; Mutual Funds, Exchange Traded Fund: $156,000; Business Entity, LLC: $40,500; Mutual Funds: $32,500"
C001069,Joe,Courtney,,2019654.05,"Exchange Traded Funds (ETF): $1,076,500; Mutual Funds: $647,000; Bank Accnts, Money Market Accnts & CDs: $123,500; Whole/Universal Insurance: $33,000; IRA (Held in Cash): $8,000"
C001119,Angie,Craig,,,"Mutual Funds: $1,002,000; Exchange Traded Funds (ETF): $274,000; Defined Benefit Pension: $75,000"
C001096,Kevin,Cramer,,896000.00,"Mutual Funds: $863,500; Bank Deposit: $32,500"
C001132,Elijah,Crane,,1396500.00,"Bank Accnts, Money Market Accnts & CDs: $1,173,000; Debts Owed to the Filer: $207,500; Whole/Universal Insurance: $16,000"
C001137,Jeff,Crank,,2348500.00,"Real Property: $1,707,500; Stock (Not Publicly Traded): $382,500; Debts Owed to the Filer: $175,000; Mutual Funds: $75,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
C000880,Mike,Crapo,,3873500.00,"Real Estate, Residential: $3,016,000; Bank Deposit: $857,500"
C001087,Eric,Crawford,A.,,
C001120,Dan,Crenshaw,,1319438.56,"Real Property: $750,000; Delaware Statutory Trust: $375,000; Ownership Interest (Trade or Business): $107,500; Stock: $56,000; Exchange Traded Funds (ETF): $24,000"
C001130,Jasmine,Crockett,,21802.45,"Stock: $48,000"
C001121,Jason,Crow,,320117.56,"Exchange Traded Funds (ETF): $269,000; Bank Accnts, Money Market Accnts & CDs: $16,500; IRA (Held in Cash): $8,000; Mutual Funds: $2,000"
C001098,Ted,Cruz,,10489015.73,"Mutual Funds: $4,523,000; Corporate Securities, Stock: $3,350,000; Retirement Plans, Defined Benefit Pension: $825,000; Bank Deposit: $288,000; Cryptocurrency: $175,000"
C001063,Henry,Cuellar,,1230500.00,"Real Property: $908,000; Mutual Funds: $248,000; Whole/Universal Insurance: $40,500; 529 Prepaid Tuition Plan: $32,500; Ownership Interest (Trade or Business): $1,500"
C001114,John,Curtis,R.,18003768.69,"Investment Fund, Private Equity Fund: $6,000,000; Real Estate, Commercial: $3,350,000; Mutual Funds, Exchange Traded Fund: $3,020,500; Real Estate, Residential: $1,675,000; Business Entity, Limited Partnership (LP): $1,125,000"
D000618,Steve,Daines,,21372500.00,"Real Estate, Commercial: $9,750,000; Real Estate, Unimproved Land: $3,750,000; Real Estate, Residential: $3,750,000; Bank Deposit: $3,525,000; Mutual Funds: $422,500"
D000629,Sharice,Davids,,431000.00,"Real Property: $375,000; Mutual Funds: $24,000; Bank Accnts, Money Market Accnts & CDs: $16,000; IRA (Held in Cash): $8,000; Whole/Universal Insurance: $8,000"
D000626,Warren,Davidson,,6515007.02,"Ownership Interest (Trade or Business): $6,075,000; Mutual Funds: $138,000; Bank Accnts, Money Market Accnts & CDs: $113,500; Stock: $106,000; IRA (Held in Cash): $9,000"
D000096,Danny,Davis,K.,496075.56,"Stock: $449,000"
D000230,Donald,Davis,G.,40500.00,"Other: $32,500; Fixed Annuity: $8,000"
D000594,Monica,De La Cruz,,1121500.00,"Real Property: $550,000; Bank Accnts, Money Market Accnts & CDs: $223,500; Whole/Universal Insurance: $186,500; 529 Prepaid Tuition Plan: $65,000; Other: $56,500"
D000631,Madeleine,Dean,,1897127.18,"Exchange Traded Funds (ETF): $575,500; Mutual Funds: $537,500; Pensions: $175,000; Other: $164,000; Whole/Universal Insurance: $107,500"
D000197,Diana,DeGette,,2840500.00,"Mutual Funds: $2,442,000; Bank Accnts, Money Market Accnts & CDs: $223,500; Defined Benefit Pension: $175,000"
D000216,Rosa,DeLauro,L.,3215500.00,"Ownership Interest (Trade or Business): $3,000,000; Whole/Universal Insurance: $175,000; Mutual Funds: $32,500; Bank Accnts, Money Market Accnts & CDs: $8,000"
D000617,Suzan,DelBene,K.,141016735.78,"Hedge Funds & Private Equity Funds (EIF): $42,585,001; Mutual Funds: $39,106,500; Real Property: $18,000,000; Govt Securities & Agency Debt: $15,175,000; Exchange Traded Funds (ETF): $14,832,500"
D000530,Christopher,Deluzio,R.,4430601.00,"Exchange Traded Funds (ETF): $2,797,000; 5F: $490,000; Mutual Funds: $461,000; Bank Accnts, Money Market Accnts & CDs: $319,500"
D000623,Mark,DeSaulnier,,258000.00,"Pensions: $175,000; Bank Accnts, Money Market Accnts & CDs: $83,000"
D000616,Scott,DesJarlais,,628898.49,"Bank Accnts, Money Market Accnts & CDs: $279,500; Real Property: $75,000; Stock: $75,000; Fixed Annuity: $75,000; Other: $65,000"
D000635,Maxine,Dexter,,5203000.00,"Real Property: $3,000,000; Mutual Funds: $2,045,000; 5F: $150,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
D000600,Mario,Diaz-Balart,,81028.81,"Bank Accnts, Money Market Accnts & CDs: $32,500; Mutual Funds: $24,000; 529 Prepaid Tuition Plan: $8,000; IRA (Held in Cash): $8,000; Fixed Annuity: $8,000"
D000624,Debbie,Dingell,,14769627.70,"Stock: $7,126,250; Mutual Funds: $5,012,250; Fixed Annuity: $875,000; Bank Accnts, Money Market Accnts & CDs: $331,500; Exchange Traded Funds (ETF): $272,500"
D000399,Lloyd,Doggett,,53011973.25,"Mutual Funds: $21,187,500; Real Property: $18,750,500; Exchange Traded Funds (ETF): $8,225,000; Stock: $3,058,000; Bank Accnts, Money Market Accnts & CDs: $298,000"
D000032,Byron,Donalds,,4373719.88,"Ownership Interest (Trade or Business): $3,750,000; Stock: $456,000; IRA (Held in Cash): $83,500; Pensions: $32,500"
D000634,Troy,Downing,,8909543.25,"Real Property: $6,581,500; Bank Accnts, Money Market Accnts & CDs: $1,246,000; Exchange Traded Funds (ETF): $466,000; Other: $183,000; Ownership Interest (Trade or Business): $175,000"
D000622,Tammy,Duckworth,,1344739.52,"Mutual Funds, Exchange Traded Fund: $726,000; Bank Deposit: $223,000; Mutual Funds: $219,000; Annuity, Fixed: $75,000"
D000628,Neal,Dunn,P.,6152309.19,"Exchange Traded Funds (ETF): $3,751,000; Stock: $963,000; PRWCX: $375,000; Bank Accnts, Money Market Accnts & CDs: $207,000; ITA: $175,000"
D000563,Richard,Durbin,J.,,
E000246,Chuck,Edwards,,16215932.19,"Ownership Interest (Trade or Business): $15,000,000; Real Property: $1,182,500; Stock: $32,500"
E000301,Sarah,Elfreth,,8000.00,"Pensions: $8,000"
E000071,Jake,Ellzey,,8838500.00,"Bank Accnts, Money Market Accnts & CDs: $3,498,000; Real Property: $3,000,000; Mutual Funds: $1,174,000; Stock (Not Publicly Traded): $750,000; 5F: $150,000"
E000294,Tom,Emmer,,,
E000295,Joni,Ernst,,819551.40,"Bank Deposit: $423,500; Mutual Funds: $385,500"
E000299,Veronica,Escobar,,641500.00,"Pensions: $375,000; 529 Prepaid Tuition Plan: $175,500; Other: $83,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
E000297,Adriano,Espaillat,,415500.00,"Real Property: $375,000; Pensions: $32,500; Bank Accnts, Money Market Accnts & CDs: $8,000"
E000298,Ron,Estes,,858521.66,"Mutual Funds: $792,500; Govt Securities & Agency Debt: $32,500; Bank Accnts, Money Market Accnts & CDs: $16,000; Other: $8,000; Exchange Traded Funds (ETF): $8,000"
E000296,Dwight,Evans,,1500496.44,"Pensions: $1,500,000; Mutual Funds: $468,000; Stock: $436,000; Real Property: $350,000; Exchange Traded Funds (ETF): $80,000"
E000300,Gabe,Evans,,439500.00,"IRA (Held in Cash): $383,000; Bank Accnts, Money Market Accnts & CDs: $56,500"
E000235,Mike,Ezell,,16000.00,"Bank Accnts, Money Market Accnts & CDs: $16,000"
F000246,Pat,Fallon,,17838355.59,"Bank Accnts, Money Market Accnts & CDs: $3,755,500; Mutual Funds: $3,616,000; Ownership Interest (Trade or Business): $3,123,500; Real Property: $3,000,000; Stock: $1,770,000"
F000482,Julie,Fedorchak,,7434730.59,"Real Property: $3,525,000; Exchange Traded Funds (ETF): $2,298,500; Mutual Funds: $750,000; MO: $375,000; Bank Accnts, Money Market Accnts & CDs: $231,500"
F000446,Randy,Feenstra,,89000.00,"Mutual Funds: $81,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
F000479,John,Fetterman,,1634285.28,"Bank Deposit: $980,500; Corporate Securities, Corporate Bond: $249,000; Corporate Securities, Stock: $192,000; Mutual Funds, Exchange Traded Fund: $72,000; Govt Securities, US Treasury/Agency Security: $64,000"
F000110,Cleo,Fields,,40246668.99,"Bank Accnts, Money Market Accnts & CDs: $16,316,000; Ownership Interest (Trade or Business): $15,000,000; Stock: $6,968,500; Exchange Traded Funds (ETF): $8,000"
F000481,Shomari,Figures,,1875000.00,"Real Property: $1,500,000; Bank Accnts, Money Market Accnts & CDs: $375,000"
F000484,Randy,Fine,,,
F000475,Brad,Finstad,,4031000.00,"Farms: $3,000,000; Mutual Funds: $623,500; Bank Accnts, Money Market Accnts & CDs: $375,000; Fixed Annuity: $32,500"
F000470,Michelle,Fischbach,,736500.00,"Real Property: $400,000; Mutual Funds: $336,500"
F000463,Deb,Fischer,,4867619.91,"Corporate Securities, Non-Public Stock: $3,000,000; Mutual Funds, Exchange Traded Fund: $335,000; Mutual Funds: $177,500; Accounts Receivable, From a Business: $175,000; Bank Deposit: $81,000"
F000471,Scott,Fitzgerald,,6988990.31,"Farms: $6,000,000; Real Property: $375,000; Exchange Traded Funds (ETF): $312,500; Mutual Funds: $194,500; IRA (Held in Cash): $65,000"
F000466,Brian,Fitzpatrick,K.,3008000.00,"Real Property: $3,000,000; Bank Accnts, Money Market Accnts & CDs: $8,000"
F000459,Charles,Fleischmann,J.,,
F000468,Lizzie,Fletcher,,8053604.59,"Mutual Funds: $4,734,500; Exchange Traded Funds (ETF): $2,397,000; Bank Accnts, Money Market Accnts & CDs: $608,500; Whole/Universal Insurance: $32,500; Pensions: $32,500"
F000474,Mike,Flood,,8179500.00,"Ownership Interest (Trade or Business): $7,825,000; 5F: $180,500; Whole/Universal Insurance: $91,000; Bank Accnts, Money Market Accnts & CDs: $75,000; Pensions: $8,000"
F000480,Vince,Fong,,2251637.92,"Real Property: $750,000; Bank Accnts, Money Market Accnts & CDs: $590,500; Ownership Interest (Trade or Business): $375,000; Mutual Funds: $281,500; Stock: $128,500"
F000454,Bill,Foster,,19841957.04,"Exchange Traded Funds (ETF): $13,357,500; Mutual Funds: $3,215,000; Govt Securities & Agency Debt: $925,000; Fixed Annuity: $550,000; Bank Accnts, Money Market Accnts & CDs: $415,500"
F000477,Valerie,Foushee,P.,207500.00,"Bank Accnts, Money Market Accnts & CDs: $207,500"
F000450,Virginia,Foxx,,5358756.98,"Bank Accnts, Money Market Accnts & CDs: $2,075,000; Debts Owed to the Filer: $977,501; Stock: $830,500; Mutual Funds: $782,500; Exchange Traded Funds (ETF): $396,000"
F000462,Lois,Frankel,,2675769.82,"Mutual Funds: $1,947,500; Stock: $248,000; Other: $207,500; Real Estate Invest. Trust (REIT): $175,000; Exchange Traded Funds (ETF): $40,500"
F000472,Scott,Franklin,,27958972.23,"Stock: $18,270,500; Real Property: $6,000,000; Mutual Funds: $1,330,500; Bank Accnts, Money Market Accnts & CDs: $550,500; Exchange Traded Funds (ETF): $282,000"
