bioguide_id,first_name,last_name,middle_name,net_worth_estimate,top_holdings,top_traded_sectors
B001261,John,Barrasso,,10274000.00,"Mutual Funds: $9,091,000; Corporate Securities, Stock: $750,000; Bank Deposit: $433,000",Other: 1
B001321,Tom,Barrett,,423498.28,"Exchange Traded Funds (ETF): $390,000; Mutual Funds: $16,000; Bank Accts, Money Market Accts & CDs: $8,000",
B001322,Michael,Baumgartner,,1448000.00,"Mutual Funds: $1,115,000; 5F: $175,000; Defined Benefit Pension: $75,000; Pensions: $75,000; Bank Accts, Money Market Accts & CDs: $8,000",
B001314,Aaron,Bean,,2085706.39,"Real Property: $750,000; Mutual Funds: $505,000; Stock: $407,500; Other: $375,000; Bank Accts, Money Market Accts & CDs: $33,000",
B001281,Joyce,Beatty,,4126421.39,"Bank Accts, Money Market Accts & CDs: $3,808,500; Stock: $213,500; Mutual Funds: $49,000",
B001323,Nicholas,Begich,J.,21335218.75,"Ownership Interest (Trade or Business): $16,663,500; Corporate Securities (Bonds & Notes): $3,000,000; Other: $1,125,000; Govt Securities & Agency Debt: $175,000; Stock: $137,500",
B001324,Wesley,Bell,,,,
B001267,Michael,Bennet,F.,17936772.01,"Mutual Funds: $9,342,000; Investment Fund, Hedge Fund: $3,750,000; Mutual Funds, ETF/Note: $3,008,000; Real Estate, Commercial: $765,000; Other Securities: $375,000",Communication Services: 1
B000668,Cliff,Bentz,,6964152.83,"Real Property: $2,815,000; Mutual Funds: $1,678,500; Exchange Traded Funds (ETF): $828,000; Stock: $722,000; Bank Accts, Money Market Accts & CDs: $290,500",Health Care: 1; Consumer Staples: 1
B001287,Ami,Bera,,13664149.32,"Real Property: $9,750,000; Mutual Funds: $2,593,501; Exchange Traded Funds (ETF): $917,500; Bank Accts, Money Market Accts & CDs: $180,500; Stock: $175,000",
B001301,Jack,Bergman,,1014000.00,"Mutual Funds: $931,000; Pensions: $83,000",
B001292,Donald,Beyer,S.,106884087.22,"Real Property: $98,525,000; Mutual Funds: $2,398,500; Govt Securities & Agency Debt: $970,500; Bank Accts, Money Market Accts & CDs: $864,000; Stock: $758,000",Health Care: 124; Information Technology: 114; Financials: 83; Consumer Staples: 56; Consumer Discretionary: 40
B000740,Stephanie,Bice,I.,1663332.04,"Exchange Traded Funds (ETF): $977,000; Mutual Funds: $318,000; Bank Accts, Money Market Accts & CDs: $239,500",Financials: 1
B001302,Andy,Biggs,,6065000.00,"Real Property: $6,000,000; Bank Accts, Money Market Accts & CDs: $57,000; Ownership Interest (Trade or Business): $8,000",
B001325,Sheri,Biggs,,9535577.16,"Other: $1,500,000; Bank Accts, Money Market Accts & CDs: $1,440,500; Ownership Interest (Trade or Business): $1,100,000; Stock: $1,010,500; Hedge Funds & Private Equity Funds (EIF): $750,000",Information Technology: 9; Financials: 7; Communication Services: 5; Industrials: 5; Materials: 5
B001257,Gus,Bilirakis,M.,,,Other: 4
B000490,Sanford,Bishop,D.,198500.00,"Whole/Universal Insurance: $75,000; Mutual Funds: $75,000; Bank Accts, Money Market Accts & CDs: $40,500; Real Property: $8,000",
B001243,Marsha,Blackburn,,1136500.00,"Mutual Funds: $738,000; Bank Deposit: $390,500; Corporate Securities, Non-Public Stock: $8,000",
B001277,Richard,Blumenthal,,,,
B001303,Lisa,Blunt Rochester,,12107566.78,"Mutual Funds, ETF/Note: $9,752,000; Real Estate, Residential: $375,000; Equity Index-Linked Note: $375,000; Bank Deposit: $314,500; Mutual Funds: $105,500",Other: 75
B000825,Lauren,Boebert,,83224.96,"Intellectual Property & Royalties: $32,500; Mutual Funds: $16,000; Stock: $10,500; Bank Accts, Money Market Accts & CDs: $8,000; IRA (Held in Cash): $8,000",
B001278,Suzanne,Bonamici,,10330603.83,"Mutual Funds: $8,775,000; Bank Accts, Money Market Accts & CDs: $758,000; Exchange Traded Funds (ETF): $282,500; Collectibles: $175,000; Other: $175,000",
B001288,Cory,Booker,A.,1117739.15,"Mutual Funds: $900,500; Retirement Plans, Defined Benefit Pension: $75,000; Mutual Funds, ETF/Note: $65,000; Bank Deposit: $65,000",Real Estate: 4; Consumer Discretionary: 3; Communication Services: 3; Information Technology: 2
B001236,John,Boozman,,3456025.79,"Mutual Funds: $852,000; Mutual Funds, ETF/Note: $775,000; Corporate Securities, Stock: $544,000; Real Estate, Commercial: $375,000; Real Estate, Unimproved Land: $292,500",Information Technology: 32; Health Care: 10; Financials: 9; Communication Services: 8; Consumer Discretionary: 8
B001295,Mike,Bost,,481148.96,"Mutual Funds: $172,500; Bank Accts, Money Market Accts & CDs: $158,000; Stock (Not Publicly Traded): $75,500; Stock: $67,000; IRA (Held in Cash): $8,500",
B001296,Brendan,Boyle,F.,1332500.00,"Real Property: $750,000; Mutual Funds: $550,000; Bank Accts, Money Market Accts & CDs: $32,500",
B001317,Josh,Brecheen,,207500.00,"Farms: $175,000; Other: $32,500",
B001327,Robert,Bresnahan,P.,36726131.64,"Ownership Interest (Trade or Business): $15,000,000; Stock: $9,437,501; Real Property: $3,582,500; Govt Securities & Agency Debt: $3,181,000; Exchange Traded Funds (ETF): $2,278,500",Information Technology: 175; Health Care: 96; Industrials: 71; Consumer Discretionary: 52; Communication Services: 39
B001319,Katie Boyd,Britt,,6758291.92,"Corporate Securities, Stock: $3,271,500; Real Estate, Commercial: $1,300,000; Mutual Funds: $1,230,500; Mutual Funds, ETF/Note: $232,000; Business Entity, LLC: $207,500",Consumer Discretionary: 1
B001313,Shontel,Brown,M.,32000.00,"Mutual Funds: $24,000; Other: $8,000",
B001285,Julia,Brownley,,2981243.56,"Mutual Funds: $1,972,500; Real Property: $750,000; Exchange Traded Funds (ETF): $188,500; Other: $32,500; Stock: $8,000",
B001260,Vern,Buchanan,,261593132.18,"Real Property: $79,300,000; Other: $78,698,500; Ownership Interest (Trade or Business): $60,500,000; Exchange Traded Funds (ETF): $14,325,000; Mutual Funds: $3,957,500",Other: 228
B001305,Ted,Budd,,6198837.12,"Business Entity, Sole Proprietorship: $3,000,000; Real Estate, Commercial: $1,125,000; Mutual Funds: $819,000; Real Estate, Residential: $375,000; Farm: $375,000",
B001315,Nikki,Budzinski,,952000.00,"Mutual Funds: $828,000; Bank Accts, Money Market Accts & CDs: $75,500; Defined Benefit Pension: $40,500; Govt Securities & Agency Debt: $8,000",
B001309,Tim,Burchett,,41649.69,"Bank Accts, Money Market Accts & CDs: $16,500; Mutual Funds: $16,000; Exchange Traded Funds (ETF): $8,000",Consumer Discretionary: 1
B001316,Eric,Burlison,,1037762.84,"Exchange Traded Funds (ETF): $796,500; Real Property: $175,000",Consumer Discretionary: 1
B001326,Janelle,Bynum,S.,16087075.42,"Ownership Interest (Trade or Business): $15,000,000; Mutual Funds: $498,000; Exchange Traded Funds (ETF): $388,000; Bank Accts, Money Market Accts & CDs: $97,000; 5F: $32,000",
C000059,Ken,Calvert,,22850000.00,"Real Property: $19,475,000; Bank Accts, Money Market Accts & CDs: $3,000,000; Stock (Not Publicly Traded): $375,000",
C001039,Kat,Cammack,,596266.75,"Mutual Funds: $258,000; Real Property: $175,000; Exchange Traded Funds (ETF): $111,000; Bank Accts, Money Market Accts & CDs: $32,500",
C000127,Maria,Cantwell,,3337000.00,"Accts Receivable, From a Business: $3,000,000; Mutual Funds: $288,500; Bank Deposit: $40,500; Mutual Funds, Stable Value Fund: $8,000",Information Technology: 6
C001047,Shelley Moore,Capito,,4692271.37,"Corporate Securities, Stock: $2,369,000; Business Entity, Limited Partnership (LP): $750,000; Mutual Funds: $175,000; Bank Deposit: $91,000; Life Insurance, Whole: $16,000",Information Technology: 94; Financials: 93; Industrials: 54; Health Care: 54; Consumer Staples: 42
C001112,Salud,Carbajal,O.,973500.00,"Real Property: $750,000; Pensions: $175,000; Bank Accts, Money Market Accts & CDs: $48,500",
C001126,Mike,Carey,,1275439.83,"Exchange Traded Funds (ETF): $442,000; Mutual Funds: $192,500; Other: $175,000; Ownership Interest (Trade or Business): $175,000; IRA (Held in Cash): $175,000",
C001072,André,Carson,,32500.00,"Bank Accts, Money Market Accts & CDs: $32,500",
C001103,Earl,Carter,L.,28113091.33,"Hedge Funds & Private Equity Funds (EIF): $15,000,000; Bank Accts, Money Market Accts & CDs: $3,725,000; Mutual Funds: $3,175,000; Stock: $3,040,500; Other: $1,640,000",Financials: 4; Health Care: 1
C001051,John,Carter,R.,3450000.00,"Stock: $3,000,000; Bank Accts, Money Market Accts & CDs: $450,000",
C001125,Troy,Carter,A.,,,
C001131,Greg,Casar,,,,
C001055,Ed,Case,,5695653.94,"Stock: $3,633,500; Mutual Funds: $1,150,500; Bank Accts, Money Market Accts & CDs: $383,000; Exchange Traded Funds (ETF): $315,000",Information Technology: 2; Industrials: 1; Energy: 1; Consumer Staples: 1
C001075,Bill,Cassidy,,431500.00,"Mutual Funds: $383,000; Corporate Securities, Corporate Bond: $40,500; Bank Deposit: $8,000",Information Technology: 31; Health Care: 25; Energy: 18; Consumer Discretionary: 17; Communication Services: 15
C001117,Sean,Casten,,3993458.65,"Mutual Funds: $2,728,500; Ownership Interest (Trade or Business): $415,500; Exchange Traded Funds (ETF): $382,500; Corporate Securities (Bonds & Notes): $175,000; Bank Accts, Money Market Accts & CDs: $91,000",Other: 12
C001066,Kathy,Castor,,15199940.53,"Mutual Funds: $7,390,000; Other: $3,725,000; Exchange Traded Funds (ETF): $3,208,750; Stock: $375,000; Bank Accts, Money Market Accts & CDs: $81,000",Industrials: 14; Financials: 8; Communication Services: 6; Information Technology: 5; Health Care: 4
C001091,Joaquin,Castro,,,,
C001127,Sheila,Cherfilus-McCormick,,115500.00,"Ownership Interest (Trade or Business): $75,000; Whole/Universal Insurance: $32,500; Bank Accts, Money Market Accts & CDs: $8,000",
C001080,Judy,Chu,,14658791.90,"Exchange Traded Funds (ETF): $5,347,500; Real Property: $3,000,000; Mutual Funds: $2,047,500; Bank Accts, Money Market Accts & CDs: $1,996,500; Pensions: $891,500",Financials: 5; Health Care: 2; Industrials: 1; Information Technology: 1
C001133,Juan,Ciscomani,,609569.14,"Pensions: $375,000; Bank Accts, Money Market Accts & CDs: $150,000; Exchange Traded Funds (ETF): $35,500; Mutual Funds: $33,000; Ownership Interest (Trade or Business): $8,000",
C001123,Gilbert,Cisneros,Ray,78181140.91,"Govt Securities & Agency Debt: $17,390,000; Hedge Funds & Private Equity Funds (EIF): $15,750,000; Stock: $15,375,000; Exchange Traded Funds (ETF): $9,158,000; Mutual Funds: $8,125,000",Health Care: 329; Information Technology: 242; Industrials: 178; Financials: 160; Consumer Discretionary: 152
C001101,Katherine,Clark,M.,14744315.27,"Exchange Traded Funds (ETF): $4,056,000; Real Property: $3,750,000; Mutual Funds: $2,763,500; Stock: $2,191,000; Bank Accts, Money Market Accts & CDs: $440,000",Information Technology: 96; Financials: 91; Health Care: 88; Industrials: 67; Consumer Discretionary: 65
C001067,Yvette,Clarke,D.,207500.00,"Mutual Funds: $207,500",
C001061,Emanuel,Cleaver,,688500.00,"Other: $408,000; Fixed Annuity: $175,000; Mutual Funds: $73,000; IRA (Held in Cash): $32,500",
C001118,Ben,Cline,,715500.00,"Bank Accts, Money Market Accts & CDs: $358,000; Mutual Funds: $325,000; Defined Benefit Pension: $32,500",
C001115,Michael,Cloud,,450500.00,"Mutual Funds: $235,500; Bank Accts, Money Market Accts & CDs: $107,500; Pensions: $75,000; Collectibles: $32,500",
C000537,James,Clyburn,E.,283336.13,"Stock: $272,500; Bank Accts, Money Market Accts & CDs: $1,000",
C001116,Andrew,Clyde,S.,19175000.00,"Real Property: $18,375,000; Mutual Funds: $550,000; Bank Accts, Money Market Accts & CDs: $250,000",
C001068,Steve,Cohen,,9188982.30,"Stock: $3,424,500; Mutual Funds: $2,713,000; Bank Accts, Money Market Accts & CDs: $1,613,500; Exchange Traded Funds (ETF): $465,000; Govt Securities & Agency Debt: $389,000",Financials: 11; Energy: 10; Consumer Discretionary: 10; Communication Services: 9; Health Care: 8
C001053,Tom,Cole,,8391281.98,"Mutual Funds: $5,772,500; IRA (Held in Cash): $625,000; Stock: $616,000; Bank Accts, Money Market Accts & CDs: $425,000; Real Property: $407,500",
C001129,Mike,Collins,,18750000.00,"Ownership Interest (Trade or Business): $18,000,000; CT: $375,000; Other: $203,500; Mutual Funds: $139,500; Bank Accts, Money Market Accts & CDs: $32,000",Other: 38
C001035,Susan,Collins,M.,6670471.36,"Corporate Securities, Stock: $2,846,500; Bank Deposit: $1,140,000; Mutual Funds: $880,500; Mutual Funds, ETF/Note: $657,500; Govt Securities, Municipal Security: $430,000",Industrials: 54; Financials: 52; Health Care: 43; Information Technology: 34; Consumer Discretionary: 33
C001108,James,Comer,,6940280.52,"Farms: $4,707,500; Real Property: $750,000; Bank Accts, Money Market Accts & CDs: $415,500; Ownership Interest (Trade or Business): $383,000; Stock: $290,000",Information Technology: 17; Consumer Discretionary: 8; Financials: 7; Communication Services: 4; Industrials: 3
C001136,Herbert,Conaway,C.,415000.00,"Ownership Interest (Trade or Business): $207,500; Real Property: $175,000; Bank Accts, Money Market Accts & CDs: $32,500",
C001078,Gerald,Connolly,E.,4050578.67,"Mutual Funds: $2,466,500; Stock: $522,000; Exchange Traded Funds (ETF): $369,500; Bank Accts, Money Market Accts & CDs: $314,000; Fixed Annuity: $175,000",Utilities: 37; Information Technology: 28; Health Care: 2; Communication Services: 1; Consumer Staples: 1
C001088,Christopher,Coons,A.,16339001.48,"Real Estate, Residential: $6,000,000; Corporate Securities, Stock: $3,000,000; Corporate Securities, Non-Public Stock: $3,000,000; Mutual Funds: $2,135,000; Bank Deposit: $1,156,500",Communication Services: 4; Information Technology: 3
C001056,John,Cornyn,,1499000.00,"Mutual Funds: $1,179,000; Retirement Plans, Defined Benefit Pension: $215,000; Bank Deposit: $89,000; Annuity, Fixed: $16,000",Information Technology: 2
C001110,J. Luis,Correa,,6442500.00,"Real Property: $2,800,000; Pensions: $2,542,500; Bank Accts, Money Market Accts & CDs: $1,100,000",
C001113,Catherine,Cortez Masto,,4363000.00,"Bank Deposit: $3,183,000; Mutual Funds: $805,000; Retirement Plans, Defined Benefit Pension: $375,000",
C001059,Jim,Costa,,4445500.00,"Farms: $3,000,000; Real Property: $750,000; Mutual Funds: $572,000; Bank Accts, Money Market Accts & CDs: $83,000; Stock: $32,500",Financials: 1
C001095,Tom,Cotton,,671661.21,"Bank Deposit: $422,500; Mutual Funds, ETF/Note: $156,000; Business Entity, LLC: $40,500; Mutual Funds: $32,500",
C001069,Joe,Courtney,,2020393.73,"Exchange Traded Funds (ETF): $1,076,500; Mutual Funds: $647,000; Bank Accts, Money Market Accts & CDs: $123,500; Whole/Universal Insurance: $33,000; IRA (Held in Cash): $8,000",Financials: 21; Consumer Staples: 13; Consumer Discretionary: 10; Information Technology: 9; Health Care: 8
C001119,Angie,Craig,,,"Mutual Funds: $1,002,000; Exchange Traded Funds (ETF): $274,000; Defined Benefit Pension: $75,000",
C001096,Kevin,Cramer,,896000.00,"Mutual Funds: $863,500; Bank Deposit: $32,500",
C001132,Elijah,Crane,,1396500.00,"Bank Accts, Money Market Accts & CDs: $1,173,000; Debts Owed to the Filer: $207,500; Whole/Universal Insurance: $16,000",
C001137,Jeff,Crank,,2348500.00,"Real Property: $1,707,500; Stock (Not Publicly Traded): $382,500; Debts Owed to the Filer: $175,000; Mutual Funds: $75,000; Bank Accts, Money Market Accts & CDs: $8,000",
C000880,Mike,Crapo,,3873500.00,"Real Estate, Residential: $3,016,000; Bank Deposit: $857,500",Other: 1
C001087,Eric,Crawford,A.,,,
C001120,Dan,Crenshaw,,1318879.96,"Real Property: $750,000; Delaware Statutory Trust: $375,000; Ownership Interest (Trade or Business): $107,500; Stock: $56,000; Exchange Traded Funds (ETF): $24,000",Consumer Discretionary: 12; Industrials: 6; Communication Services: 2; Energy: 2; Information Technology: 1
C001130,Jasmine,Crockett,,21717.75,"Stock: $48,000",
C001121,Jason,Crow,,320144.70,"Exchange Traded Funds (ETF): $269,000; Bank Accts, Money Market Accts & CDs: $16,500; IRA (Held in Cash): $8,000; Mutual Funds: $2,000",
C001098,Ted,Cruz,,10509123.18,"Mutual Funds: $4,523,000; Corporate Securities, Stock: $3,350,000; Retirement Plans, Defined Benefit Pension: $825,000; Bank Deposit: $288,000; Cryptocurrency: $175,000",Energy: 5; Financials: 3
C001063,Henry,Cuellar,,1230500.00,"Real Property: $908,000; Mutual Funds: $248,000; Whole/Universal Insurance: $40,500; 529 Prepaid Tuition Plan: $32,500; Ownership Interest (Trade or Business): $1,500",
C001114,John,Curtis,R.,18006037.90,"Investment Fund, Private Equity Fund: $6,000,000; Real Estate, Commercial: $3,350,000; Mutual Funds, ETF/Note: $3,020,500; Real Estate, Residential: $1,675,000; Business Entity, Limited Partnership (LP): $1,125,000",Information Technology: 56; Financials: 48; Health Care: 46; Consumer Discretionary: 36; Industrials: 28
D000618,Steve,Daines,,21372500.00,"Real Estate, Commercial: $9,750,000; Real Estate, Residential: $3,750,000; Real Estate, Unimproved Land: $3,750,000; Bank Deposit: $3,525,000; Mutual Funds: $422,500",Other: 1
D000629,Sharice,Davids,,431000.00,"Real Property: $375,000; Mutual Funds: $24,000; Bank Accts, Money Market Accts & CDs: $16,000; IRA (Held in Cash): $8,000; Whole/Universal Insurance: $8,000",
D000626,Warren,Davidson,,6516074.09,"Ownership Interest (Trade or Business): $6,075,000; Mutual Funds: $138,000; Bank Accts, Money Market Accts & CDs: $113,500; Stock: $106,000; IRA (Held in Cash): $9,000",Consumer Discretionary: 3; Materials: 2; Energy: 1; Industrials: 1
D000096,Danny,Davis,K.,499969.56,"Stock: $449,000",
D000230,Donald,Davis,G.,40500.00,"Other: $32,500; Fixed Annuity: $8,000",
D000594,Monica,De La Cruz,,1121500.00,"Real Property: $550,000; Bank Accts, Money Market Accts & CDs: $223,500; Whole/Universal Insurance: $186,500; 529 Prepaid Tuition Plan: $65,000; Other: $56,500",
D000631,Madeleine,Dean,,1897753.44,"Exchange Traded Funds (ETF): $575,500; Mutual Funds: $537,500; Pensions: $175,000; Other: $164,000; Whole/Universal Insurance: $107,500",
D000197,Diana,DeGette,,2840500.00,"Mutual Funds: $2,442,000; Bank Accts, Money Market Accts & CDs: $223,500; Defined Benefit Pension: $175,000",
D000216,Rosa,DeLauro,L.,3215500.00,"Ownership Interest (Trade or Business): $3,000,000; Whole/Universal Insurance: $175,000; Mutual Funds: $32,500; Bank Accts, Money Market Accts & CDs: $8,000",
D000617,Suzan,DelBene,K.,141053922.62,"Hedge Funds & Private Equity Funds (EIF): $42,585,001; Mutual Funds: $39,106,500; Real Property: $18,000,000; Govt Securities & Agency Debt: $15,175,000; Exchange Traded Funds (ETF): $14,832,500",Information Technology: 98; Industrials: 48; Energy: 6; Consumer Discretionary: 5; Utilities: 4
D000530,Christopher,Deluzio,R.,4432626.96,"Exchange Traded Funds (ETF): $2,797,000; 5F: $490,000; Mutual Funds: $461,000; Bank Accts, Money Market Accts & CDs: $319,500",
D000623,Mark,DeSaulnier,,258000.00,"Pensions: $175,000; Bank Accts, Money Market Accts & CDs: $83,000",
D000616,Scott,DesJarlais,,629046.70,"Bank Accts, Money Market Accts & CDs: $279,500; Real Property: $75,000; Stock: $75,000; Fixed Annuity: $75,000; Other: $65,000",
D000635,Maxine,Dexter,,5203000.00,"Real Property: $3,000,000; Mutual Funds: $2,045,000; 5F: $150,000; Bank Accts, Money Market Accts & CDs: $8,000",
D000600,Mario,Diaz-Balart,,81025.37,"Bank Accts, Money Market Accts & CDs: $32,500; Mutual Funds: $24,000; 529 Prepaid Tuition Plan: $8,000; IRA (Held in Cash): $8,000; Fixed Annuity: $8,000",Information Technology: 2; Consumer Discretionary: 1
D000624,Debbie,Dingell,,14758845.48,"Stock: $7,126,250; Mutual Funds: $5,012,250; Fixed Annuity: $875,000; Bank Accts, Money Market Accts & CDs: $331,500; Exchange Traded Funds (ETF): $272,500",Industrials: 30; Energy: 25; Information Technology: 23; Consumer Staples: 21; Communication Services: 20
D000399,Lloyd,Doggett,,53025951.74,"Mutual Funds: $21,187,500; Real Property: $18,750,500; Exchange Traded Funds (ETF): $8,225,000; Stock: $3,058,000; Bank Accts, Money Market Accts & CDs: $298,000",Consumer Staples: 82; Information Technology: 45; Consumer Discretionary: 40; Materials: 31; Health Care: 14
D000032,Byron,Donalds,,4376573.88,"Ownership Interest (Trade or Business): $3,750,000; Stock: $456,000; IRA (Held in Cash): $83,500; Pensions: $32,500",Information Technology: 50; Health Care: 44; Financials: 42; Industrials: 29; Consumer Discretionary: 16
D000634,Troy,Downing,,8910872.40,"Real Property: $6,581,500; Bank Accts, Money Market Accts & CDs: $1,246,000; Exchange Traded Funds (ETF): $466,000; Other: $183,000; Ownership Interest (Trade or Business): $175,000",
D000622,Tammy,Duckworth,,1345789.05,"Mutual Funds, ETF/Note: $726,000; Bank Deposit: $223,000; Mutual Funds: $219,000; Annuity, Fixed: $75,000",Industrials: 11; Information Technology: 8; Consumer Staples: 7; Consumer Discretionary: 5; Materials: 4
D000628,Neal,Dunn,P.,6158823.87,"Exchange Traded Funds (ETF): $3,751,000; Stock: $963,000; PRWCX: $375,000; Bank Accts, Money Market Accts & CDs: $207,000; ITA: $175,000",Financials: 20; Utilities: 5; Information Technology: 1
D000563,Richard,Durbin,J.,,,
E000246,Chuck,Edwards,,16215438.87,"Ownership Interest (Trade or Business): $15,000,000; Real Property: $1,182,500; Stock: $32,500",
E000301,Sarah,Elfreth,,8000.00,"Pensions: $8,000",
E000071,Jake,Ellzey,,8838500.00,"Bank Accts, Money Market Accts & CDs: $3,498,000; Real Property: $3,000,000; Mutual Funds: $1,174,000; Stock (Not Publicly Traded): $750,000; 5F: $150,000",
E000294,Tom,Emmer,,,,
E000295,Joni,Ernst,,819439.78,"Bank Deposit: $423,500; Mutual Funds: $385,500",
E000299,Veronica,Escobar,,641500.00,"Pensions: $375,000; 529 Prepaid Tuition Plan: $175,500; Other: $83,000; Bank Accts, Money Market Accts & CDs: $8,000",
E000297,Adriano,Espaillat,,415500.00,"Real Property: $375,000; Pensions: $32,500; Bank Accts, Money Market Accts & CDs: $8,000",
E000298,Ron,Estes,,858517.57,"Mutual Funds: $792,500; Govt Securities & Agency Debt: $32,500; Bank Accts, Money Market Accts & CDs: $16,000; Exchange Traded Funds (ETF): $8,000; Other: $8,000",Industrials: 4; Information Technology: 2; Energy: 2; Communication Services: 2; Financials: 2
E000296,Dwight,Evans,,1503044.83,"Pensions: $1,500,000; Mutual Funds: $468,000; Stock: $436,000; Real Property: $350,000; Exchange Traded Funds (ETF): $80,000",Information Technology: 24; Industrials: 18; Health Care: 15; Energy: 14; Communication Services: 13
E000300,Gabe,Evans,,439500.00,"IRA (Held in Cash): $383,000; Bank Accts, Money Market Accts & CDs: $56,500",
E000235,Mike,Ezell,,16000.00,"Bank Accts, Money Market Accts & CDs: $16,000",
F000246,Pat,Fallon,,17833215.66,"Bank Accts, Money Market Accts & CDs: $3,755,500; Mutual Funds: $3,616,000; Ownership Interest (Trade or Business): $3,123,500; Real Property: $3,000,000; Stock: $1,770,000",Industrials: 65; Information Technology: 44; Communication Services: 31; Energy: 18; Financials: 17
F000482,Julie,Fedorchak,,7432989.92,"Real Property: $3,525,000; Exchange Traded Funds (ETF): $2,298,500; Mutual Funds: $750,000; MO: $375,000; Bank Accts, Money Market Accts & CDs: $231,500",
F000446,Randy,Feenstra,,89000.00,"Mutual Funds: $81,000; Bank Accts, Money Market Accts & CDs: $8,000",
F000479,John,Fetterman,,1632613.26,"Bank Deposit: $980,500; Corporate Securities, Corporate Bond: $249,000; Corporate Securities, Stock: $192,000; Mutual Funds, ETF/Note: $72,000; Govt Securities, US Treasury/Agency Security: $64,000",Communication Services: 1; Energy: 1
F000110,Cleo,Fields,,40283991.60,"Bank Accts, Money Market Accts & CDs: $16,316,000; Ownership Interest (Trade or Business): $15,000,000; Stock: $6,968,500; Exchange Traded Funds (ETF): $8,000",Information Technology: 98; Communication Services: 24; Consumer Discretionary: 20; Financials: 3; Real Estate: 2
