first_name,last_name,full_name,date_of_birth,age,bioguide_id
Brian,Mast,Brian Mast,7/10/80,45,M001199
Brian,Schatz,Brian Schatz,10/20/72,52,S001194
Brittany,Pettersen,Brittany Pettersen,12/6/81,43,P000620
Bruce,Westerman,Bruce Westerman,11/18/67,57,W000821
Bryan,Steil,Bryan Steil,3/3/81,44,S001213
Buddy,Carter,Buddy Carter,9/6/57,68,
Burgess,Owens,Burgess Owens,8/2/51,74,O000086
Byron,Donalds,Byron Donalds,10/26/78,46,D000032
Carlos,Giménez,Carlos Giménez,1/17/54,71,G000593
Carol,Miller,Carol Miller,11/4/50,74,M001205
Catherine,Cortez Masto,Catherine Cortez Masto,3/29/64,61,C001113
Celeste,Maloy,Celeste Maloy,5/22/81,44,M001228
Chellie,Pingree,Chellie Pingree,4/2/55,70,P000597
Chip,Roy,Chip Roy,8/7/72,53,R000614
Chris,Coons,Chris Coons,9/9/63,62,
Chris,Deluzio,Chris Deluzio,7/13/84,41,
Chris,Murphy,Chris Murphy,8/3/73,52,
Chris,Pappas,Chris Pappas,6/4/80,45,P000614
Chris,Smith,Chris Smith,3/4/53,72,
Chris,Van Hollen,Chris Van Hollen,1/10/59,66,V000128
Chrissy,Houlahan,Chrissy Houlahan,6/5/67,58,H001085
Chuck,Edwards,Chuck Edwards,9/13/60,65,E000246
Chuck,Fleischmann,Chuck Fleischmann,10/11/62,62,
Chuck,Grassley,Chuck Grassley,9/17/33,92,G000386
Chuck,Schumer,Chuck Schumer,11/23/50,74,
Chuy,García,Chuy García,4/12/56,69,
Cindy,Hyde-Smith,Cindy Hyde-Smith,5/10/59,66,H001079
Claudia,Tenney,Claudia Tenney,2/4/61,64,T000478
Clay,Higgins,Clay Higgins,8/24/61,64,H001077
Cleo,Fields,Cleo Fields,11/22/62,62,F000110
Cliff,Bentz,Cliff Bentz,1/12/52,73,B000668
Cory,Booker,Cory Booker,4/27/69,56,B001288
Cory,Mills,Cory Mills,7/13/80,45,M001216
Craig,Goldman,Craig Goldman,10/3/68,56,G000601
Cynthia,Lummis,Cynthia Lummis,9/10/54,71,L000571
Dale,Strong,Dale Strong,5/8/70,55,S001220
Dan,Crenshaw,Dan Crenshaw,3/14/84,41,C001120
Dan,Goldman,Dan Goldman,2/26/76,49,
Dan,Meuser,Dan Meuser,2/10/64,61,
Dan,Newhouse,Dan Newhouse,7/10/55,70,N000189
Dan,Sullivan,Dan Sullivan,11/13/64,60,S001198
Daniel,Webster,Daniel Webster,4/27/49,76,W000806
Danny,Davis,Danny Davis,9/6/41,84,D000096
Darin,LaHood,Darin LaHood,7/5/68,57,L000585
Darrell,Issa,Darrell Issa,11/1/53,71,I000056
Darren,Soto,Darren Soto,2/25/78,47,S001200
Dave,McCormick,Dave McCormick,8/17/65,60,
Dave,Min,Dave Min,3/5/76,49,M001241
David,Joyce,David Joyce,3/17/57,68,J000295
David,Kustoff,David Kustoff,10/8/66,58,K000392
David,Rouzer,David Rouzer,2/16/72,53,R000603
David,Schweikert,David Schweikert,3/3/62,63,S001183
David,Scott,David Scott,6/27/45,80,S001157
David,Taylor,David Taylor,11/16/69,55,T000490
David,Valadao,David Valadao,4/14/77,48,V000129
Deb,Fischer,Deb Fischer,3/1/51,74,F000463
Debbie,Dingell,Debbie Dingell,11/23/53,71,D000624
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,9/27/66,59,W000797
Deborah,Ross,Deborah Ross,6/20/63,62,R000305
Delia,Ramirez,Delia Ramirez,6/2/83,42,R000617
Derek,Schmidt,Derek Schmidt,1/23/68,57,S001228
Derek,Tran,Derek Tran,12/22/80,44,T000491
Derrick Van,Orden,Derrick Van Orden,9/15/69,56,V000135
Diana,DeGette,Diana DeGette,7/29/57,68,D000197
Diana,Harshbarger,Diana Harshbarger,1/1/60,65,H001086
Dick,Durbin,Dick Durbin,11/21/44,80,
Dina,Titus,Dina Titus,5/23/50,75,T000468
Don,Bacon,Don Bacon,8/16/63,62,B001298
Don,Beyer,Don Beyer,6/20/50,75,
Don,Davis,Don Davis,8/29/71,54,
Donald,Norcross,Donald Norcross,12/13/58,66,N000188
Doris,Matsui,Doris Matsui,9/25/44,81,M001163
Doug,LaMalfa,Doug LaMalfa,7/2/60,65,L000578
Dusty,Johnson,Dusty Johnson,9/30/76,48,J000301
Dwight,Evans,Dwight Evans,5/16/54,71,E000296
Ed,Case,Ed Case,9/27/52,73,C001055
Ed,Markey,Ed Markey,7/11/46,79,
Eli,Crane,Eli Crane,1/3/80,45,
Elise,Stefanik,Elise Stefanik,7/2/84,41,S001196
Elissa,Slotkin,Elissa Slotkin,7/10/76,49,S001208
Elizabeth,Warren,Elizabeth Warren,6/22/49,76,W000817
Emanuel,Cleaver,Emanuel Cleaver,10/26/44,80,C001061
Emilia,Sykes,Emilia Sykes,1/4/86,39,S001223
Emily,Randall,Emily Randall,10/3/85,39,R000621
Eric,Burlison,Eric Burlison,10/2/76,48,B001316
Eric,Schmitt,Eric Schmitt,6/20/75,50,S001227
Eric,Sorensen,Eric Sorensen,3/18/76,49,S001225
Eric,Swalwell,Eric Swalwell,11/16/80,44,S001193
Erin,Houchin,Erin Houchin,9/24/76,49,H001093
Eugene,Vindman,Eugene Vindman,6/6/75,50,V000138
Frank,Lucas,Frank Lucas,1/6/60,65,L000491
Frank,Pallone,Frank Pallone,10/30/51,73,P000034
Frank J.,Mrvan,Frank J. Mrvan,4/16/69,56,
Frederica,Wilson,Frederica Wilson,11/5/42,82,W000808
French,Hill,French Hill,12/5/56,68,
Gabe,Amo,Gabe Amo,12/11/87,37,A000380
Gabe,Evans,Gabe Evans,7/28/86,39,E000300
Gabe,Vasquez,Gabe Vasquez,8/3/84,41,V000136
Gary,Palmer,Gary Palmer,5/14/54,71,P000609
Gary,Peters,Gary Peters,12/1/58,66,P000595
George,Latimer,George Latimer,11/22/53,71,L000606
George,Whitesides,George Whitesides,3/3/74,51,W000830
Gil,Cisneros,Gil Cisneros,2/12/71,54,
Glenn,Grothman,Glenn Grothman,7/3/55,70,G000576
Glenn,Ivey,Glenn Ivey,2/27/61,64,I000058
Glenn,Thompson,Glenn Thompson,7/27/59,66,T000467
Grace,Meng,Grace Meng,10/1/75,49,M001188
Greg,Casar,Greg Casar,5/4/89,36,C001131
Greg,Landsman,Greg Landsman,12/4/76,48,L000601
Greg,Murphy,Greg Murphy,3/5/63,62,
Greg,Stanton,Greg Stanton,3/8/70,55,S001211
Greg,Steube,Greg Steube,5/19/78,47,
Gregory,Meeks,Gregory Meeks,9/25/53,72,M001137
Gus,Bilirakis,Gus Bilirakis,2/8/63,62,B001257
Guy,Reschenthaler,Guy Reschenthaler,4/17/83,42,R000610
Gwen,Moore,Gwen Moore,4/18/51,74,M001160
Hakeem,Jeffries,Hakeem Jeffries,8/4/70,55,J000294
Hal,Rogers,Hal Rogers,12/31/37,87,
Haley,Stevens,Haley Stevens,6/24/83,42,S001215
Hank,Johnson,Hank Johnson,10/2/54,70,
Harriet,Hageman,Harriet Hageman,10/18/62,62,H001096
Henry,Cuellar,Henry Cuellar,9/19/55,70,C001063
Herb,Conaway,Herb Conaway,1/30/63,62,
Hillary,Scholten,Hillary Scholten,2/22/82,43,S001221
Ilhan,Omar,Ilhan Omar,10/4/82,42,O000173
Jack,Bergman,Jack Bergman,2/2/47,78,B001301
Jack,Reed,Jack Reed,11/12/49,75,
Jacky,Rosen,Jacky Rosen,8/2/57,68,R000608
Jahana,Hayes,Jahana Hayes,3/8/73,52,H001081
Jake,Auchincloss,Jake Auchincloss,1/29/88,37,A000148
Jake,Ellzey,Jake Ellzey,1/24/70,55,E000071
James,Comer,James Comer,8/19/72,53,C001108
James,Lankford,James Lankford,3/4/68,57,L000575
James,Walkinshaw,James Walkinshaw,10/2/82,42,W000831
Jamie,Raskin,Jamie Raskin,12/13/62,62,R000606
Jan,Schakowsky,Jan Schakowsky,5/26/44,81,
Janelle,Bynum,Janelle Bynum,1/31/75,50,B001326
Jared,Golden,Jared Golden,7/25/82,43,G000592
Jared,Huffman,Jared Huffman,2/18/64,61,H001068
Jared,Moskowitz,Jared Moskowitz,12/18/80,44,M001217
Jasmine,Crockett,Jasmine Crockett,3/29/81,44,C001130
Jason,Crow,Jason Crow,3/15/79,46,C001121
Jason,Smith,Jason Smith,6/16/80,45,S001195
Jay,Obernolte,Jay Obernolte,8/18/70,55,O000019
Jeanne,Shaheen,Jeanne Shaheen,1/28/47,78,S001181
Jeff,Crank,Jeff Crank,1/28/67,58,C001137
Jeff,Hurd,Jeff Hurd,8/15/79,46,H001100
Jeff,Merkley,Jeff Merkley,10/24/56,68,M001176
Jeff Van,Drew,Jeff Van Drew,2/23/53,72,
Jefferson,Shreve,Jefferson Shreve,9/24/65,60,S001229
Jen,Kiggans,Jen Kiggans,6/18/71,54,
Jennifer,McClellan,Jennifer McClellan,12/28/72,52,M001227
Jerry,Moran,Jerry Moran,5/29/54,71,M000934
Jerry,Nadler,Jerry Nadler,6/13/47,78,
Jill,Tokuda,Jill Tokuda,3/3/76,49,T000487
Jim,Baird,Jim Baird,6/4/45,80,
Jim,Banks,Jim Banks,7/16/79,46,B001299
Jim,Clyburn,Jim Clyburn,7/21/40,85,
Jim,Costa,Jim Costa,4/13/52,73,C001059
Jim,Himes,Jim Himes,7/5/66,59,
Jim,Jordan,Jim Jordan,2/17/64,61,J000289
Jim,Justice,Jim Justice,4/27/51,74,
Jim,McGovern,Jim McGovern,11/20/59,65,
Jim,Risch,Jim Risch,5/3/43,82,
Jimmy,Gomez,Jimmy Gomez,11/25/74,50,G000585
Jimmy,Panetta,Jimmy Panetta,10/1/69,55,P000613
Jimmy,Patronis,Jimmy Patronis,4/13/72,53,P000622
Joaquin,Castro,Joaquin Castro,9/16/74,51,C001091
Jodey,Arrington,Jodey Arrington,3/9/72,53,A000375
Joe,Courtney,Joe Courtney,4/6/53,72,C001069
Joe,Neguse,Joe Neguse,5/13/84,41,N000191
Joe,Wilson,Joe Wilson,7/31/47,78,W000795
John,Barrasso,John Barrasso,7/21/52,73,B001261
John,Boozman,John Boozman,12/10/50,74,B001236
John,Carter,John Carter,11/6/41,83,C001051
John,Cornyn,John Cornyn,2/2/52,73,C001056
John,Curtis,John Curtis,5/10/60,65,C001114
John,Fetterman,John Fetterman,8/15/69,56,F000479
John,Garamendi,John Garamendi,1/24/45,80,G000559
John,Hickenlooper,John Hickenlooper,2/7/52,73,H000273
John,Hoeven,John Hoeven,3/13/57,68,H001061
John,James,John James,6/8/81,44,J000307
John,Joyce,John Joyce,2/8/57,68,J000302
John,Kennedy,John Kennedy,11/21/51,73,K000393
John,Mannion,John Mannion,7/8/68,57,M001231
John,McGuire,John McGuire,8/24/68,57,M001239
John,Moolenaar,John Moolenaar,5/8/61,64,M001194
John,Rose,John Rose,2/23/65,60,R000612
John,Rutherford,John Rutherford,9/2/52,73,R000609
John,Thune,John Thune,1/7/61,64,T000250
John B.,Larson,John B. Larson,7/22/48,77,
Johnny,Olszewski,Johnny Olszewski,9/10/82,43,O000176
Jon,Husted,Jon Husted,8/25/67,58,H001104
Jon,Ossoff,Jon Ossoff,2/16/87,38,O000174
Jonathan,Jackson,Jonathan Jackson,1/7/66,59,J000309
Joni,Ernst,Joni Ernst,7/1/70,55,E000295
Joseph,Morelle,Joseph Morelle,4/29/57,68,M001206
Josh,Brecheen,Josh Brecheen,6/19/79,46,B001317
Josh,Gottheimer,Josh Gottheimer,3/8/75,50,G000583
Josh,Harder,Josh Harder,8/1/86,39,H001090
Josh,Hawley,Josh Hawley,12/31/79,45,H001089
Josh,Riley,Josh Riley,1/21/81,44,R000622
Joyce,Beatty,Joyce Beatty,3/12/50,75,B001281
Juan,Ciscomani,Juan Ciscomani,8/31/82,43,C001133
Juan,Vargas,Juan Vargas,3/7/61,64,V000130
Judy,Chu,Judy Chu,7/7/53,72,C001080
Julia,Brownley,Julia Brownley,8/28/52,73,B001285
Julia,Letlow,Julia Letlow,3/16/81,44,L000595
Julie,Fedorchak,Julie Fedorchak,9/28/68,57,F000482
Julie,Johnson,Julie Johnson,5/2/66,59,J000310
Kat,Cammack,Kat Cammack,2/16/88,37,C001039
Katherine,Clark,Katherine Clark,7/17/63,62,C001101
Kathy,Castor,Kathy Castor,8/20/66,59,C001066
Katie,Britt,Katie Britt,2/2/82,43,B001319
Keith,Self,Keith Self,3/20/53,72,S001224
Kelly,Morrison,Kelly Morrison,2/2/69,56,M001234
Ken,Calvert,Ken Calvert,6/8/53,72,C000059
Kevin,Cramer,Kevin Cramer,1/21/61,64,C001096
Kevin,Hern,Kevin Hern,12/4/61,63,H001082
Kevin,Kiley,Kevin Kiley,1/30/85,40,K000401
Kevin,Mullin,Kevin Mullin,6/15/70,55,M001225
Kim,Schrier,Kim Schrier,8/23/68,57,S001216
Kirsten,Gillibrand,Kirsten Gillibrand,12/9/66,58,G000555
Kristen McDonald,Rivet,Kristen McDonald Rivet,7/11/70,55,M001237
Kweisi,Mfume,Kweisi Mfume,10/24/48,76,M000687
LaMonica,McIver,LaMonica McIver,6/20/86,39,M001229
Lance,Gooden,Lance Gooden,12/1/82,42,G000589
Lateefah,Simon,Lateefah Simon,1/29/77,48,S001231
Laura,Friedman,Laura Friedman,12/3/66,58,F000483
Laura,Gillen,Laura Gillen,7/10/69,56,G000602
Laurel,Lee,Laurel Lee,3/26/74,51,L000597
Lauren,Boebert,Lauren Boebert,12/15/86,38,B000825
Lauren,Underwood,Lauren Underwood,10/4/86,38,U000040
Linda,Sánchez,Linda Sánchez,1/28/69,56,S001156
Lindsey,Graham,Lindsey Graham,7/9/55,70,G000359
Lisa,Blunt Rochester,Lisa Blunt Rochester,2/10/62,63,B001303
Lisa,McClain,Lisa McClain,4/7/66,59,M001136
Lisa,Murkowski,Lisa Murkowski,5/22/57,68,M001153
Lizzie,Fletcher,Lizzie Fletcher,2/13/75,50,F000468
Lloyd,Doggett,Lloyd Doggett,10/6/46,78,D000399
Lloyd,Smucker,Lloyd Smucker,1/23/64,61,S001199
Lois,Frankel,Lois Frankel,5/16/48,77,F000462
Lori,Trahan,Lori Trahan,10/27/73,51,T000482
Lou,Correa,Lou Correa,1/24/58,67,
Lucy,McBath,Lucy McBath,6/1/60,65,M001208
Luz,Rivas,Luz Rivas,2/6/74,51,R000620
Madeleine,Dean,Madeleine Dean,6/6/59,66,D000631
Maggie,Goodlander,Maggie Goodlander,11/4/86,38,G000604
Maggie,Hassan,Maggie Hassan,2/27/58,67,H001076
María Elvira,Salazar,María Elvira Salazar,11/1/61,63,
Marc,Veasey,Marc Veasey,1/3/71,54,V000131
Marcy,Kaptur,Marcy Kaptur,6/17/46,79,K000009
Maria,Cantwell,Maria Cantwell,10/13/58,66,C000127
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,9/6/55,70,M001215
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,6/6/88,37,
Marilyn,Strickland,Marilyn Strickland,9/25/62,63,S001159
Mario,Díaz-Balart,Mario Díaz-Balart,9/25/61,64,D000600
Marjorie Taylor,Greene,Marjorie Taylor Greene,5/27/74,51,
Mark,Alford,Mark Alford,10/4/63,61,A000379
Mark,Amodei,Mark Amodei,6/12/58,67,A000369
Mark,DeSaulnier,Mark DeSaulnier,3/31/52,73,D000623
Mark,Harris,Mark Harris,4/24/66,59,H001102
Mark,Kelly,Mark Kelly,2/21/64,61,K000377
Mark,Messmer,Mark Messmer,12/16/67,57,M001233
Mark,Pocan,Mark Pocan,8/14/64,61,P000607
Mark,Takano,Mark Takano,12/10/60,64,T000472
Mark,Warner,Mark Warner,12/15/54,70,W000805
Markwayne,Mullin,Markwayne Mullin,7/26/77,48,M001190
Marlin,Stutzman,Marlin Stutzman,8/31/76,49,S001188
Marsha,Blackburn,Marsha Blackburn,6/6/52,73,B001243
Martin,Heinrich,Martin Heinrich,10/17/71,53,H001046
Mary,Miller,Mary Miller,8/27/59,66,M001211
Mary Gay,Scanlon,Mary Gay Scanlon,8/30/59,66,S001205
Max,Miller,Max Miller,11/13/88,36,M001222
Maxine,Dexter,Maxine Dexter,12/5/72,52,D000635
Maxine,Waters,Maxine Waters,8/15/38,87,W000187
Maxwell,Frost,Maxwell Frost,1/17/97,28,F000476
Mazie,Hirono,Mazie Hirono,11/3/47,77,H001042
Melanie,Stansbury,Melanie Stansbury,1/31/79,46,S001218
Michael,Baumgartner,Michael Baumgartner,12/13/75,49,B001322
Michael,Bennet,Michael Bennet,11/28/64,60,B001267
Michael,Cloud,Michael Cloud,5/13/75,50,C001115
Michael,Guest,Michael Guest,2/4/70,55,G000591
Michael,McCaul,Michael McCaul,1/14/62,63,M001157
Michael,Rulli,Michael Rulli,3/11/69,56,R000619
Michelle,Fischbach,Michelle Fischbach,11/3/65,59,F000470
Mike,Bost,Mike Bost,12/30/60,64,B001295
Mike,Carey,Mike Carey,3/13/71,54,C001126
Mike,Collins,Mike Collins,7/2/67,58,C001129
Mike,Crapo,Mike Crapo,5/20/51,74,C000880
Mike,Ezell,Mike Ezell,4/6/59,66,E000235
Mike,Flood,Mike Flood,2/23/75,50,F000474
Mike,Haridopolos,Mike Haridopolos,3/15/70,55,H001099
Mike,Johnson,Mike Johnson,1/30/72,53,J000299
Mike,Kelly,Mike Kelly,5/10/48,77,K000376
Mike,Kennedy,Mike Kennedy,2/2/69,56,K000403
Mike,Lawler,Mike Lawler,9/9/86,39,
Mike,Lee,Mike Lee,6/4/71,54,L000577
Mike,Levin,Mike Levin,10/20/78,46,L000593
Mike,Quigley,Mike Quigley,10/17/58,66,Q000023
Mike,Rogers,Mike Rogers,7/16/58,67,R000575
Mike,Rounds,Mike Rounds,10/24/54,70,R000605
Mike,Simpson,Mike Simpson,9/8/50,75,
Mike,Thompson,Mike Thompson,1/24/51,74,T000460
Mike,Turner,Mike Turner,1/11/60,65,
Mikie,Sherrill,Mikie Sherrill,1/19/72,53,S001207
Mitch,McConnell,Mitch McConnell,2/20/42,83,M000355
Monica De La,Cruz,Monica De La Cruz,11/11/74,50,D000594
Morgan,Griffith,Morgan Griffith,3/15/58,67,
Morgan,Luttrell,Morgan Luttrell,11/7/75,49,L000603
Morgan,McGarvey,Morgan McGarvey,12/23/79,45,M001220
Nancy,Mace,Nancy Mace,12/4/77,47,M000194
Nancy,Pelosi,Nancy Pelosi,3/26/40,85,P000197
Nanette,Barragán,Nanette Barragán,9/15/76,49,B001300
Nathaniel,Moran,Nathaniel Moran,9/23/74,51,M001224
Neal,Dunn,Neal Dunn,2/16/53,72,D000628
Nellie,Pou,Nellie Pou,5/20/56,69,P000621
Nick,LaLota,Nick LaLota,6/23/78,47,L000598
Nick,Langworthy,Nick Langworthy,2/27/81,44,
Nick Begich,III,Nick Begich III,10/27/77,47,
Nicole,Malliotakis,Nicole Malliotakis,11/11/80,44,M000317
Nikema,Williams,Nikema Williams,7/30/78,47,W000788
Nikki,Budzinski,Nikki Budzinski,3/11/77,48,B001315
Norma,Torres,Norma Torres,4/4/65,60,T000474
Nydia,Velázquez,Nydia Velázquez,3/28/53,72,V000081
Pat,Fallon,Pat Fallon,12/19/67,57,F000246
Pat,Harrigan,Pat Harrigan,6/21/87,38,H001101
Pat,Ryan,Pat Ryan,3/28/82,43,
Patty,Murray,Patty Murray,10/11/50,74,M001111
Paul,Gosar,Paul Gosar,11/27/58,66,G000565
Paul,Tonko,Paul Tonko,6/18/49,76,T000469
Pete,Aguilar,Pete Aguilar,6/19/79,46,A000371
Pete,Ricketts,Pete Ricketts,8/19/64,61,R000618
Pete,Sessions,Pete Sessions,3/22/55,70,S000250
Pete,Stauber,Pete Stauber,5/10/66,59,S001212
Peter,Welch,Peter Welch,5/2/47,78,W000800
Pramila,Jayapal,Pramila Jayapal,9/21/65,60,J000298
Raja,Krishnamoorthi,Raja Krishnamoorthi,7/19/73,52,K000391
Ralph,Norman,Ralph Norman,6/20/53,72,N000190
Rand,Paul,Rand Paul,1/7/63,62,P000603
Randy,Feenstra,Randy Feenstra,1/14/69,56,F000446
Randy,Fine,Randy Fine,4/20/74,51,F000484
Randy,Weber,Randy Weber,7/2/53,72,W000814
Raphael,Warnock,Raphael Warnock,7/23/69,56,W000790
Rashida,Tlaib,Rashida Tlaib,7/24/76,49,T000481
Raul,Ruiz,Raul Ruiz,8/25/72,53,R000599
Rich,McCormick,Rich McCormick,10/7/68,56,
Richard,Blumenthal,Richard Blumenthal,2/13/46,79,B001277
Richard,Hudson,Richard Hudson,11/4/71,53,H001067
Richard,Neal,Richard Neal,2/14/49,76,N000015
Rick,Allen,Rick Allen,11/7/51,73,A000372
Rick,Crawford,Rick Crawford,1/22/66,59,
Rick,Larsen,Rick Larsen,6/15/65,60,L000560
Rick,Scott,Rick Scott,12/1/52,72,S001217
Riley,Moore,Riley Moore,7/1/80,45,M001235
Ritchie,Torres,Ritchie Torres,3/12/88,37,T000486
Ro,Khanna,Ro Khanna,9/13/76,49,K000389
Rob,Bresnahan,Rob Bresnahan,4/22/90,35,
Rob,Menendez,Rob Menendez,7/12/85,40,
Rob,Wittman,Rob Wittman,2/3/59,66,
Robert,Aderholt,Robert Aderholt,7/22/65,60,A000055
Robert,Garcia,Robert Garcia,12/2/77,47,G000598
Robin,Kelly,Robin Kelly,4/30/56,69,K000385
Roger,Marshall,Roger Marshall,8/9/60,65,M001198
Roger,Wicker,Roger Wicker,7/5/51,74,W000437
Roger,Williams,Roger Williams,9/13/49,76,W000816
Ron,Estes,Ron Estes,7/19/56,69,E000298
Ron,Johnson,Ron Johnson,4/8/55,70,J000293
Ron,Wyden,Ron Wyden,5/3/49,76,W000779
Ronny,Jackson,Ronny Jackson,5/4/67,58,J000304
Rosa,DeLauro,Rosa DeLauro,3/2/43,82,D000216
Ruben,Gallego,Ruben Gallego,11/20/79,45,G000574
Rudy,Yakym,Rudy Yakym,2/24/84,41,Y000067
Russ,Fulcher,Russ Fulcher,3/9/62,63,F000469
Russell,Fry,Russell Fry,1/31/85,40,F000478
Ryan,Mackenzie,Ryan Mackenzie,8/3/82,43,M001230
Ryan,Zinke,Ryan Zinke,11/1/61,63,Z000018
Salud,Carbajal,Salud Carbajal,11/18/64,60,C001112
Sam,Graves,Sam Graves,11/7/63,61,G000546
Sam,Liccardo,Sam Liccardo,4/16/70,55,L000607
Sanford,Bishop,Sanford Bishop,2/4/47,78,B000490
Sara,Jacobs,Sara Jacobs,2/1/89,36,J000305
Sarah,Elfreth,Sarah Elfreth,9/9/88,37,E000301
Sarah,McBride,Sarah McBride,8/9/90,35,M001238
Scott,DesJarlais,Scott DesJarlais,2/21/64,61,D000616
Scott,Fitzgerald,Scott Fitzgerald,11/16/63,61,F000471
Scott,Franklin,Scott Franklin,8/23/64,61,F000472
Scott,Perry,Scott Perry,5/27/62,63,P000605
Scott,Peters,Scott Peters,6/17/58,67,P000608
Sean,Casten,Sean Casten,11/23/71,53,C001117
Seth,Magaziner,Seth Magaziner,7/22/83,42,M001223
Seth,Moulton,Seth Moulton,10/24/78,46,M001196
Sharice,Davids,Sharice Davids,5/22/80,45,D000629
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1/25/79,46,C001127
Sheldon,Whitehouse,Sheldon Whitehouse,10/20/55,69,W000802
Shelley Moore,Capito,Shelley Moore Capito,11/26/53,71,
Sheri,Biggs,Sheri Biggs,3/28/70,55,B001325
Shomari,Figures,Shomari Figures,9/3/85,40,F000481
Shontel,Brown,Shontel Brown,6/24/75,50,B001313
Shri,Thanedar,Shri Thanedar,2/22/55,70,T000488
Steny,Hoyer,Steny Hoyer,6/14/39,86,H000874
Stephanie,Bice,Stephanie Bice,11/11/73,51,B000740
Stephen F.,Lynch,Stephen F. Lynch,3/31/55,70,
Steve,Cohen,Steve Cohen,5/24/49,76,C001068
Steve,Daines,Steve Daines,8/20/62,63,D000618
Steve,Scalise,Steve Scalise,10/6/65,59,S001176
Steve,Womack,Steve Womack,2/18/57,68,W000809
Steven,Horsford,Steven Horsford,4/29/73,52,H001066
