first_name,first_name2,last_name,last_name2,middle_name1,nick_name1,suffix,bioguide_id,fecid,chamber,assumed_office,date_of_birth,age,match_method,merge_note,full_name,tenure_months,tenure_pretty,tenure_years
Vern,Vern,Buchanan,Buchanan,,,,B001260,,House,1/3/07,5/8/51,74,bioguide_id,,Vern Buchanan,224,"18 years, 8 months",18.67
Ted,Ted,Budd,Budd,,,,B001305,S2NC00505,Senate,1/3/23,10/21/71,53,bioguide_id,,Ted Budd,32,"2 years, 8 months",2.67
Nikki,Nikki,Budzinski,Budzinski,,,,B001315,H2IL13153,House,1/3/23,3/11/77,48,bioguide_id,,Nikki Budzinski,32,"2 years, 8 months",2.67
Tim,Tim,Burchett,Burchett,,,,B001309,H8TN02119,House,1/3/19,8/25/64,61,bioguide_id,,Tim Burchett,80,"6 years, 8 months",6.67
Eric,Eric,Burlison,Burlison,,,,B001316,H2MO07143,House,1/3/23,10/2/76,48,bioguide_id,,Eric Burlison,32,"2 years, 8 months",2.67
Janelle,Janelle,Bynum,Bynum,S.,,,B001326,H4OR05304,House,1/3/25,1/31/75,50,bioguide_id,,Janelle Bynum,8,8 months,0.67
Ken,Ken,Calvert,Calvert,,,,C000059,H2CA37023,House,1/3/93,6/8/53,72,bioguide_id,,Ken Calvert,392,"32 years, 8 months",32.67
Kat,Kat,Cammack,Cammack,,,,C001039,H0FL03175,House,1/3/21,2/16/88,37,bioguide_id,,Kat Cammack,56,"4 years, 8 months",4.67
Maria,Maria,Cantwell,Cantwell,,,,C000127,,Senate,1/3/01,10/13/58,66,bioguide_id,,Maria Cantwell,296,"24 years, 8 months",24.67
Shelley Moore,Shelley Moore,Capito,Capito,,,,,,Senate,1/3/15,11/26/53,71,slug,,Shelley Moore Capito,128,"10 years, 8 months",10.67
Salud,Salud,Carbajal,Carbajal,O.,,,C001112,H6CA24303,House,1/3/17,11/18/64,60,bioguide_id,,Salud Carbajal,104,"8 years, 8 months",8.67
Mike,Mike,Carey,Carey,,,,C001126,H2OH15228,House,11/4/21,3/13/71,54,bioguide_id,,Mike Carey,46,"3 years, 10 months",3.83
André,André,Carson,Carson,,,,C001072,H8IN07184,House,3/11/08,10/16/74,50,bioguide_id,,André Carson,210,"17 years, 6 months",17.5
Buddy,,Carter,,,,,,,House,1/3/15,9/6/57,68,,,Buddy Carter,128,"10 years, 8 months",10.67
Troy,Troy,Carter,Carter,A.,,Sr.,C001125,H2LA02149,House,5/11/21,10/26/63,61,bioguide_id,,Troy Carter,52,"4 years, 4 months",4.33
John,John,Carter,Carter,R.,,,C001051,H2TX31044,House,1/3/03,11/6/41,83,bioguide_id,,John Carter,272,"22 years, 8 months",22.67
Greg,Greg,Casar,Casar,,,,C001131,H2TX35144,House,1/3/23,5/4/89,36,bioguide_id,,Greg Casar,32,"2 years, 8 months",2.67
Ed,Ed,Case,Case,,,,C001055,H2HI02128,House,1/3/19,9/27/52,73,bioguide_id,,Ed Case,80,"6 years, 8 months",6.67
Bill,Bill,Cassidy,Cassidy,,,,C001075,,Senate,1/3/15,9/28/57,68,bioguide_id,,Bill Cassidy,128,"10 years, 8 months",10.67
Sean,Sean,Casten,Casten,,,,C001117,H8IL06139,House,1/3/19,11/23/71,53,bioguide_id,,Sean Casten,80,"6 years, 8 months",6.67
Kathy,Kathy,Castor,Castor,,,,C001066,H6FL11126,House,1/3/07,8/20/66,59,bioguide_id,,Kathy Castor,224,"18 years, 8 months",18.67
Joaquin,Joaquin,Castro,Castro,,,,C001091,H2TX35011,House,1/3/13,9/16/74,51,bioguide_id,,Joaquin Castro,152,"12 years, 8 months",12.67
Sheila,Sheila,Cherfilus-McCormick,Cherfilus-McCormick,,,,C001127,H8FL20032,House,1/18/22,1/25/79,46,bioguide_id,,Sheila Cherfilus-McCormick,44,"3 years, 8 months",3.67
Judy,Judy,Chu,Chu,,,,C001080,H0CA32101,House,7/14/09,7/7/53,72,bioguide_id,,Judy Chu,194,"16 years, 2 months",16.17
Juan,Juan,Ciscomani,Ciscomani,,,,C001133,H2AZ02360,House,1/3/23,8/31/82,43,bioguide_id,,Juan Ciscomani,32,"2 years, 8 months",2.67
Gil,,Cisneros,,,,,,,House,1/3/25,2/12/71,54,,,Gil Cisneros,8,8 months,0.67
Katherine,Katherine,Clark,Clark,M.,,,C001101,H4MA05084,House,12/12/13,7/17/63,62,bioguide_id,,Katherine Clark,141,"11 years, 9 months",11.75
Yvette,Yvette,Clarke,Clarke,D.,,,C001067,H4NY11138,House,1/3/07,11/21/64,60,bioguide_id,,Yvette Clarke,224,"18 years, 8 months",18.67
Emanuel,Emanuel,Cleaver,Cleaver,,,II,C001061,H4MO05234,House,1/3/05,10/26/44,80,bioguide_id,,Emanuel Cleaver,248,"20 years, 8 months",20.67
Ben,Ben,Cline,Cline,,,,C001118,H8VA06104,House,1/3/19,2/29/72,53,bioguide_id,,Ben Cline,80,"6 years, 8 months",6.67
Michael,Michael,Cloud,Cloud,,,,C001115,H8TX27049,House,7/10/18,5/13/75,50,bioguide_id,,Michael Cloud,86,"7 years, 2 months",7.17
Jim,,Clyburn,,,,,,,House,1/3/93,7/21/40,85,,,Jim Clyburn,392,"32 years, 8 months",32.67
Andrew,Andrew,Clyde,Clyde,S.,,,C001116,H0GA09246,House,1/3/21,11/22/63,61,bioguide_id,,Andrew Clyde,56,"4 years, 8 months",4.67
Steve,Steve,Cohen,Cohen,,,,C001068,H6TN09068,House,1/3/07,5/24/49,76,bioguide_id,,Steve Cohen,224,"18 years, 8 months",18.67
Tom,Tom,Cole,Cole,,,,C001053,H2OK04055,House,1/3/03,4/28/49,76,bioguide_id,,Tom Cole,272,"22 years, 8 months",22.67
Bonnie Watson,Bonnie,Coleman,Watson Coleman,,,,W000822,H4NJ12149,House,1/3/15,2/6/45,80,bioguide_id,,Bonnie Watson Coleman,128,"10 years, 8 months",10.67
Susan,Susan,Collins,Collins,M.,,,C001035,S6ME00159,Senate,1/3/97,12/7/52,72,bioguide_id,,Susan Collins,344,"28 years, 8 months",28.67
Mike,Mike,Collins,Collins,,,,C001129,H4GA10071,House,1/3/23,7/2/67,58,bioguide_id,,Mike Collins,32,"2 years, 8 months",2.67
James,James,Comer,Comer,,,,C001108,H6KY01110,House,11/8/16,8/19/72,53,bioguide_id,,James Comer,106,"8 years, 10 months",8.83
Herb,,Conaway,,,,,,,House,1/3/25,1/30/63,62,,,Herb Conaway,8,8 months,0.67
Chris,,Coons,,,,,,,Senate,11/15/10,9/9/63,62,,,Chris Coons,178,"14 years, 10 months",14.83
John,John,Cornyn,Cornyn,,,,C001056,S2TX00106,Senate,12/2/02,2/2/52,73,bioguide_id,,John Cornyn,273,"22 years, 9 months",22.75
Lou,,Correa,,,,,,,House,1/3/17,1/24/58,67,,,Lou Correa,104,"8 years, 8 months",8.67
Catherine,Catherine,Cortez Masto,Cortez Masto,,,,C001113,S6NV00200,Senate,1/3/17,3/29/64,61,bioguide_id,,Catherine Cortez Masto,104,"8 years, 8 months",8.67
Jim,Jim,Costa,Costa,,,,C001059,H4CA20082,House,1/3/05,4/13/52,73,bioguide_id,,Jim Costa,248,"20 years, 8 months",20.67
Tom,Tom,Cotton,Cotton,,,,C001095,,Senate,1/3/15,5/13/77,48,bioguide_id,,Tom Cotton,128,"10 years, 8 months",10.67
Joe,Joe,Courtney,Courtney,,,,C001069,H2CT02112,House,1/3/07,4/6/53,72,bioguide_id,,Joe Courtney,224,"18 years, 8 months",18.67
Angie,Angie,Craig,Craig,,,,C001119,H6MN02131,House,1/3/19,2/14/72,53,bioguide_id,,Angie Craig,80,"6 years, 8 months",6.67
Kevin,Kevin,Cramer,Cramer,,,,C001096,,Senate,1/3/19,1/21/61,64,bioguide_id,,Kevin Cramer,80,"6 years, 8 months",6.67
Eli,,Crane,,,,,,,House,1/3/23,1/3/80,45,,,Eli Crane,32,"2 years, 8 months",2.67
Jeff,Jeff,Crank,Crank,,,,C001137,,House,1/3/25,1/28/67,58,bioguide_id,,Jeff Crank,8,8 months,0.67
Mike,Mike,Crapo,Crapo,,,,C000880,S8ID00027,Senate,1/3/99,5/20/51,74,bioguide_id,,Mike Crapo,320,"26 years, 8 months",26.67
Rick,,Crawford,,,,,,,House,1/3/11,1/22/66,59,,,Rick Crawford,176,"14 years, 8 months",14.67
Dan,Dan,Crenshaw,Crenshaw,,,,C001120,H8TX02166,House,1/3/19,3/14/84,41,bioguide_id,,Dan Crenshaw,80,"6 years, 8 months",6.67
Jasmine,Jasmine,Crockett,Crockett,,,,C001130,H2TX30178,House,1/3/23,3/29/81,44,bioguide_id,,Jasmine Crockett,32,"2 years, 8 months",2.67
Jason,Jason,Crow,Crow,,,,C001121,H8CO06229,House,1/3/19,3/15/79,46,bioguide_id,,Jason Crow,80,"6 years, 8 months",6.67
Ted,Ted,Cruz,Cruz,,,,C001098,,Senate,1/3/13,12/22/70,54,bioguide_id,,Ted Cruz,152,"12 years, 8 months",12.67
Monica De La,Monica,Cruz,De La Cruz,,,,D000594,H0TX15124,House,1/3/23,11/11/74,50,bioguide_id,,Monica De La Cruz,32,"2 years, 8 months",2.67
Henry,Henry,Cuellar,Cuellar,,,,C001063,H2TX23082,House,1/3/05,9/19/55,70,bioguide_id,,Henry Cuellar,248,"20 years, 8 months",20.67
John,John,Curtis,Curtis,R.,,,C001114,H8UT03238,Senate,1/3/25,5/10/60,65,bioguide_id,,John Curtis,8,8 months,0.67
Mario,Mario,Díaz-Balart,Diaz-Balart,,,,D000600,H2FL25018,House,1/3/03,9/25/61,64,bioguide_id,,Mario Díaz-Balart,272,"22 years, 8 months",22.67
Steve,Steve,Daines,Daines,,,,D000618,,Senate,1/3/15,8/20/62,63,bioguide_id,,Steve Daines,128,"10 years, 8 months",10.67
Sharice,Sharice,Davids,Davids,,,,D000629,H8KS03155,House,1/3/19,5/22/80,45,bioguide_id,,Sharice Davids,80,"6 years, 8 months",6.67
Warren,Warren,Davidson,Davidson,,,,D000626,H6OH08315,House,6/9/16,3/1/70,55,bioguide_id,,Warren Davidson,111,"9 years, 3 months",9.25
Danny,Danny,Davis,Davis,K.,,,D000096,,House,1/3/97,9/6/41,84,bioguide_id,,Danny Davis,344,"28 years, 8 months",28.67
Don,,Davis,,,,,,,House,1/3/23,8/29/71,54,,,Don Davis,32,"2 years, 8 months",2.67
Madeleine,Madeleine,Dean,Dean,,,,D000631,H8PA04116,House,1/3/19,6/6/59,66,bioguide_id,,Madeleine Dean,80,"6 years, 8 months",6.67
Diana,Diana,DeGette,DeGette,,,,D000197,H6CO01141,House,1/3/97,7/29/57,68,bioguide_id,,Diana DeGette,344,"28 years, 8 months",28.67
April McClain,April,Delaney,McClain Delaney,,,,M001232,H4MD06340,House,1/3/25,5/28/64,61,bioguide_id,,April McClain Delaney,8,8 months,0.67
Rosa,Rosa,DeLauro,DeLauro,L.,,,D000216,H0CT03072,House,1/3/91,3/2/43,82,bioguide_id,,Rosa DeLauro,416,"34 years, 8 months",34.67
Suzan,Suzan,DelBene,DelBene,K.,,,D000617,H0WA08046,House,11/13/12,2/17/62,63,bioguide_id,,Suzan DelBene,154,"12 years, 10 months",12.83
Chris,,Deluzio,,,,,,,House,1/3/23,7/13/84,41,,,Chris Deluzio,32,"2 years, 8 months",2.67
Mark,Mark,DeSaulnier,DeSaulnier,,,,D000623,H0CA10073,House,1/3/15,3/31/52,73,bioguide_id,,Mark DeSaulnier,128,"10 years, 8 months",10.67
Scott,Scott,DesJarlais,DesJarlais,,,,D000616,H0TN04195,House,1/3/11,2/21/64,61,bioguide_id,,Scott DesJarlais,176,"14 years, 8 months",14.67
Maxine,Maxine,Dexter,Dexter,,,,D000635,H4OR03192,House,1/3/25,12/5/72,52,bioguide_id,,Maxine Dexter,8,8 months,0.67
Debbie,Debbie,Dingell,Dingell,,,,D000624,H4MI12079,House,1/3/15,11/23/53,71,bioguide_id,,Debbie Dingell,128,"10 years, 8 months",10.67
Lloyd,Lloyd,Doggett,Doggett,,,II,D000399,H4TX10028,House,1/3/95,10/6/46,78,bioguide_id,,Lloyd Doggett,368,"30 years, 8 months",30.67
Byron,Byron,Donalds,Donalds,,,,D000032,H2FL14186,House,1/3/21,10/26/78,46,bioguide_id,,Byron Donalds,56,"4 years, 8 months",4.67
Troy,Troy,Downing,Downing,,,,D000634,H4MT02098,House,1/3/25,3/4/67,58,bioguide_id,,Troy Downing,8,8 months,0.67
Jeff Van,,Drew,,,,,,,House,1/3/19,2/23/53,72,,,Jeff Van Drew,80,"6 years, 8 months",6.67
Tammy,Tammy,Duckworth,Duckworth,,,,D000622,S6IL00292,Senate,1/3/17,3/12/68,57,bioguide_id,,Tammy Duckworth,104,"8 years, 8 months",8.67
Neal,Neal,Dunn,Dunn,P.,,,D000628,H6FL02208,House,1/3/17,2/16/53,72,bioguide_id,,Neal Dunn,104,"8 years, 8 months",8.67
Dick,,Durbin,,,,,,,Senate,1/3/97,11/21/44,80,,,Dick Durbin,344,"28 years, 8 months",28.67
Beth Van,Beth,Duyne,Van Duyne,,,,V000134,H0TX24209,House,1/3/21,11/16/70,54,bioguide_id,,Beth Van Duyne,56,"4 years, 8 months",4.67
Chuck,Chuck,Edwards,Edwards,,,,E000246,H2NC14050,House,1/3/23,9/13/60,65,bioguide_id,,Chuck Edwards,32,"2 years, 8 months",2.67
Sarah,Sarah,Elfreth,Elfreth,,,,E000301,H4MD03156,House,1/3/25,9/9/88,37,bioguide_id,,Sarah Elfreth,8,8 months,0.67
Jake,Jake,Ellzey,Ellzey,,,Sr.,E000071,H8TX06266,House,7/30/21,1/24/70,55,bioguide_id,,Jake Ellzey,49,"4 years, 1 month",4.08
Tom,Tom,Emmer,Emmer,,,Jr.,E000294,H4MN06087,House,1/3/15,3/3/61,64,bioguide_id,,Tom Emmer,128,"10 years, 8 months",10.67
Joni,Joni,Ernst,Ernst,,,,E000295,,Senate,1/3/15,7/1/70,55,bioguide_id,,Joni Ernst,128,"10 years, 8 months",10.67
Veronica,Veronica,Escobar,Escobar,,,,E000299,H8TX16109,House,1/3/19,9/15/69,56,bioguide_id,,Veronica Escobar,80,"6 years, 8 months",6.67
Adriano,Adriano,Espaillat,Espaillat,,,,E000297,H2NY13096,House,1/3/17,9/27/54,71,bioguide_id,,Adriano Espaillat,104,"8 years, 8 months",8.67
Ron,Ron,Estes,Estes,,,,E000298,H8KS04112,House,4/25/17,7/19/56,69,bioguide_id,,Ron Estes,101,"8 years, 5 months",8.42
Gabe,Gabe,Evans,Evans,,,,E000300,,House,1/3/25,7/28/86,39,bioguide_id,,Gabe Evans,8,8 months,0.67
Dwight,Dwight,Evans,Evans,,,,E000296,H6PA02171,House,11/14/16,5/16/54,71,bioguide_id,,Dwight Evans,106,"8 years, 10 months",8.83
Mike,Mike,Ezell,Ezell,,,,E000235,H2MS04258,House,1/3/23,4/6/59,66,bioguide_id,,Mike Ezell,32,"2 years, 8 months",2.67
Pat,Pat,Fallon,Fallon,,,,F000246,,House,1/3/21,12/19/67,57,bioguide_id,,Pat Fallon,56,"4 years, 8 months",4.67
Julie,Julie,Fedorchak,Fedorchak,,,,F000482,H4ND00061,House,1/3/25,9/28/68,57,bioguide_id,,Julie Fedorchak,8,8 months,0.67
Randy,Randy,Feenstra,Feenstra,,,,F000446,H0IA04145,House,1/3/21,1/14/69,56,bioguide_id,,Randy Feenstra,56,"4 years, 8 months",4.67
Teresa Leger,Teresa,Fernandez,Leger Fernandez,,,,L000273,H0NM03102,House,1/3/21,7/1/59,66,bioguide_id,,Teresa Leger Fernandez,56,"4 years, 8 months",4.67
John,John,Fetterman,Fetterman,,,,F000479,S6PA00274,Senate,1/3/23,8/15/69,56,bioguide_id,,John Fetterman,32,"2 years, 8 months",2.67
Cleo,Cleo,Fields,Fields,,,,F000110,H4LA06211,House,1/3/25,11/22/62,62,bioguide_id,,Cleo Fields,8,8 months,0.67
Shomari,Shomari,Figures,Figures,,,,F000481,H4AL02170,House,1/3/25,9/3/85,40,bioguide_id,,Shomari Figures,8,8 months,0.67
Randy,Randy,Fine,Fine,,,,F000484,,House,4/2/25,4/20/74,51,bioguide_id,,Randy Fine,5,5 months,0.42
Brad,Brad,Finstad,Finstad,,,,F000475,H2MN01223,House,8/12/22,5/30/76,49,bioguide_id,,Brad Finstad,37,"3 years, 1 month",3.08
Michelle,Michelle,Fischbach,Fischbach,,,,F000470,H0MN07091,House,1/3/21,11/3/65,59,bioguide_id,,Michelle Fischbach,56,"4 years, 8 months",4.67
Deb,Deb,Fischer,Fischer,,,,F000463,,Senate,1/3/13,3/1/51,74,bioguide_id,,Deb Fischer,152,"12 years, 8 months",12.67
Scott,Scott,Fitzgerald,Fitzgerald,,,,F000471,H0WI05113,House,1/3/21,11/16/63,61,bioguide_id,,Scott Fitzgerald,56,"4 years, 8 months",4.67
Brian,Brian,Fitzpatrick,Fitzpatrick,K.,,,F000466,H6PA08277,House,1/3/17,12/17/73,51,bioguide_id,,Brian Fitzpatrick,104,"8 years, 8 months",8.67
Chuck,,Fleischmann,,,,,,,House,1/3/11,10/11/62,62,,,Chuck Fleischmann,176,"14 years, 8 months",14.67
Lizzie,Lizzie,Fletcher,Fletcher,,,,F000468,H8TX07140,House,1/3/19,2/13/75,50,bioguide_id,,Lizzie Fletcher,80,"6 years, 8 months",6.67
Mike,Mike,Flood,Flood,,,,F000474,H2NE01118,House,7/12/22,2/23/75,50,bioguide_id,,Mike Flood,38,"3 years, 2 months",3.17
Vince,Vince,Fong,Fong,,,,F000480,H4CA20181,House,6/3/24,10/24/79,45,bioguide_id,,Vince Fong,15,"1 year, 3 months",1.25
Bill,Bill,Foster,Foster,,,,F000454,H8IL14067,House,1/3/13,10/7/55,69,bioguide_id,,Bill Foster,152,"12 years, 8 months",12.67
Valerie,Valerie,Foushee,Foushee,P.,,,F000477,H2NC06114,House,1/3/23,5/7/56,69,bioguide_id,,Valerie Foushee,32,"2 years, 8 months",2.67
Lois,Lois,Frankel,Frankel,,,,F000462,H2FL14053,House,1/3/13,5/16/48,77,bioguide_id,,Lois Frankel,152,"12 years, 8 months",12.67
Scott,Scott,Franklin,Franklin,,,,F000472,H0FL15104,House,1/3/21,8/23/64,61,bioguide_id,,Scott Franklin,56,"4 years, 8 months",4.67
Laura,Laura,Friedman,Friedman,,,,F000483,H4CA30149,House,1/3/25,12/3/66,58,bioguide_id,,Laura Friedman,8,8 months,0.67
Maxwell,Maxwell,Frost,Frost,,,,F000476,H2FL10259,House,1/3/23,1/17/97,28,bioguide_id,,Maxwell Frost,32,"2 years, 8 months",2.67
Russell,Russell,Fry,Fry,,,,F000478,H2SC07280,House,1/3/23,1/31/85,40,bioguide_id,,Russell Fry,32,"2 years, 8 months",2.67
Russ,Russ,Fulcher,Fulcher,,,,F000469,H8ID01124,House,1/3/19,3/9/62,63,bioguide_id,,Russ Fulcher,80,"6 years, 8 months",6.67
Ruben,Ruben,Gallego,Gallego,,,,G000574,H4AZ07043,Senate,1/3/25,11/20/79,45,bioguide_id,,Ruben Gallego,8,8 months,0.67
John,John,Garamendi,Garamendi,,,,G000559,H0CA10149,House,11/5/09,1/24/45,80,bioguide_id,,John Garamendi,190,"15 years, 10 months",15.83
Andrew,Andrew,Garbarino,Garbarino,R.,,,G000597,H0NY02234,House,1/3/21,9/27/84,41,bioguide_id,,Andrew Garbarino,56,"4 years, 8 months",4.67
Chuy,,García,,,,,,,House,1/3/19,4/12/56,69,,,Chuy García,80,"6 years, 8 months",6.67
Robert,Robert,Garcia,Garcia,,,,G000598,H2CA47188,House,1/3/23,12/2/77,47,bioguide_id,,Robert Garcia,32,"2 years, 8 months",2.67
Sylvia,Sylvia,Garcia,Garcia,R.,,,G000587,H8TX29052,House,1/3/19,9/6/50,75,bioguide_id,,Sylvia Garcia,80,"6 years, 8 months",6.67
