first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty
Tom,McClintock,Tom McClintock,1956-07-10,69,2009-01-03,200,16.67,"16 years, 8 months"
Ami,Bera,Ami Bera,1965-03-02,60,2013-01-03,152,12.67,"12 years, 8 months"
Doris,Matsui,Doris Matsui,1944-09-25,81,2005-03-10,246,20.5,"20 years, 6 months"
John,Garamendi,John Garamendi,1945-01-24,80,2009-11-05,190,15.83,"15 years, 10 months"
Josh,Harder,Josh Harder,1986-08-01,39,2019-01-03,80,6.67,"6 years, 8 months"
Mark,DeSaulnier,Mark DeSaulnier,1952-03-31,73,2015-01-03,128,10.67,"10 years, 8 months"
Nancy,Pelosi,Nancy Pelosi,1940-03-26,85,1987-06-02,459,38.25,"38 years, 3 months"
Lateefah,Simon,Lateefah Simon,1977-01-29,48,2025-01-03,8,0.67,8 months
Adam,Gray,Adam Gray,1977-09-23,48,2025-01-03,8,0.67,8 months
Eric,Swalwell,Eric Swalwell,1980-11-16,44,2013-01-03,152,12.67,"12 years, 8 months"
Kevin,Mullin,Kevin Mullin,1970-06-15,55,2023-01-03,32,2.67,"2 years, 8 months"
Sam,Liccardo,Sam Liccardo,1970-04-16,55,2025-01-03,8,0.67,8 months
Ro,Khanna,Ro Khanna,1976-09-13,49,2017-01-03,104,8.67,"8 years, 8 months"
Zoe,Lofgren,Zoe Lofgren,1947-12-21,77,1995-01-03,368,30.67,"30 years, 8 months"
Jimmy,Panetta,Jimmy Panetta,1969-10-01,55,2017-01-03,104,8.67,"8 years, 8 months"
Vince,Fong,Vince Fong,1979-10-24,45,2024-06-03,15,1.25,"1 year, 3 months"
Jim,Costa,Jim Costa,1952-04-13,73,2005-01-03,248,20.67,"20 years, 8 months"
David,Valadao,David Valadao,1977-04-14,48,2021-01-03,56,4.67,"4 years, 8 months"
Jay,Obernolte,Jay Obernolte,1970-08-18,55,2021-01-03,56,4.67,"4 years, 8 months"
Salud,Carbajal,Salud Carbajal,1964-11-18,60,2017-01-03,104,8.67,"8 years, 8 months"
Raul,Ruiz,Raul Ruiz,1972-08-25,53,2013-01-03,152,12.67,"12 years, 8 months"
Julia,Brownley,Julia Brownley,1952-08-28,73,2013-01-03,152,12.67,"12 years, 8 months"
George,Whitesides,George Whitesides,1974-03-03,51,2025-01-03,8,0.67,8 months
Judy,Chu,Judy Chu,1953-07-07,72,2009-07-14,194,16.17,"16 years, 2 months"
Luz,Rivas,Luz Rivas,1974-02-06,51,2025-01-03,8,0.67,8 months
Laura,Friedman,Laura Friedman,1966-12-03,58,2025-01-03,8,0.67,8 months
Gil,Cisneros,Gil Cisneros,1971-02-12,54,2025-01-03,8,0.67,8 months
Brad,Sherman,Brad Sherman,1954-10-24,70,1997-01-03,344,28.67,"28 years, 8 months"
Pete,Aguilar,Pete Aguilar,1979-06-19,46,2015-01-03,128,10.67,"10 years, 8 months"
Jimmy,Gomez,Jimmy Gomez,1974-11-25,50,2017-07-11,98,8.17,"8 years, 2 months"
Norma,Torres,Norma Torres,1965-04-04,60,2015-01-03,128,10.67,"10 years, 8 months"
Ted,Lieu,Ted Lieu,1969-03-29,56,2015-01-03,128,10.67,"10 years, 8 months"
Sydney,Kamlager-Dove,Sydney Kamlager-Dove,1972-07-20,53,2023-01-03,32,2.67,"2 years, 8 months"
Linda,Sánchez,Linda Sánchez,1969-01-28,56,2003-01-03,272,22.67,"22 years, 8 months"
Mark,Takano,Mark Takano,1960-12-10,64,2013-01-03,152,12.67,"12 years, 8 months"
Young,Kim,Young Kim,1962-10-18,62,2021-01-03,56,4.67,"4 years, 8 months"
Ken,Calvert,Ken Calvert,1953-06-08,72,1993-01-03,392,32.67,"32 years, 8 months"
Robert,Garcia,Robert Garcia,1977-12-02,47,2023-01-03,32,2.67,"2 years, 8 months"
Maxine,Waters,Maxine Waters,1938-08-15,87,1991-01-03,416,34.67,"34 years, 8 months"
Nanette,Barragán,Nanette Barragán,1976-09-15,49,2017-01-03,104,8.67,"8 years, 8 months"
Derek,Tran,Derek Tran,1980-12-22,44,2025-01-03,8,0.67,8 months
Lou,Correa,Lou Correa,1958-01-24,67,2017-01-03,104,8.67,"8 years, 8 months"
Dave,Min,Dave Min,1976-03-05,49,2025-01-03,8,0.67,8 months
Darrell,Issa,Darrell Issa,1953-11-01,71,2021-01-03,56,4.67,"4 years, 8 months"
Mike,Levin,Mike Levin,1978-10-20,46,2019-01-03,80,6.67,"6 years, 8 months"
Scott,Peters,Scott Peters,1958-06-17,67,2013-01-03,152,12.67,"12 years, 8 months"
Sara,Jacobs,Sara Jacobs,1989-02-01,36,2021-01-03,56,4.67,"4 years, 8 months"
Juan,Vargas,Juan Vargas,1961-03-07,64,2013-01-03,152,12.67,"12 years, 8 months"
Diana,DeGette,Diana DeGette,1957-07-29,68,1997-01-03,344,28.67,"28 years, 8 months"
Joe,Neguse,Joe Neguse,1984-05-13,41,2019-01-03,80,6.67,"6 years, 8 months"
Jeff,Hurd,Jeff Hurd,1979-08-15,46,2025-01-03,8,0.67,8 months
Lauren,Boebert,Lauren Boebert,1986-12-15,38,2021-01-03,56,4.67,"4 years, 8 months"
Jeff,Crank,Jeff Crank,1967-01-28,58,2025-01-03,8,0.67,8 months
Jason,Crow,Jason Crow,1979-03-15,46,2019-01-03,80,6.67,"6 years, 8 months"
Brittany,Pettersen,Brittany Pettersen,1981-12-06,43,2023-01-03,32,2.67,"2 years, 8 months"
Gabe,Evans,Gabe Evans,1986-07-28,39,2025-01-03,8,0.67,8 months
John B.,Larson,John B. Larson,1948-07-22,77,1999-01-03,320,26.67,"26 years, 8 months"
Joe,Courtney,Joe Courtney,1953-04-06,72,2007-01-03,224,18.67,"18 years, 8 months"
Rosa,DeLauro,Rosa DeLauro,1943-03-02,82,1991-01-03,416,34.67,"34 years, 8 months"
Jim,Himes,Jim Himes,1966-07-05,59,2009-01-03,200,16.67,"16 years, 8 months"
Jahana,Hayes,Jahana Hayes,1973-03-08,52,2019-01-03,80,6.67,"6 years, 8 months"
Sarah,McBride,Sarah McBride,1990-08-09,35,2025-01-03,8,0.67,8 months
Jimmy,Patronis,Jimmy Patronis,1972-04-13,53,2025-04-02,5,0.42,5 months
Neal,Dunn,Neal Dunn,1953-02-16,72,2017-01-03,104,8.67,"8 years, 8 months"
Kat,Cammack,Kat Cammack,1988-02-16,37,2021-01-03,56,4.67,"4 years, 8 months"
Aaron,Bean,Aaron Bean,1967-01-25,58,2023-01-03,32,2.67,"2 years, 8 months"
John,Rutherford,John Rutherford,1952-09-02,73,2017-01-03,104,8.67,"8 years, 8 months"
Randy,Fine,Randy Fine,1974-04-20,51,2025-04-02,5,0.42,5 months
Cory,Mills,Cory Mills,1980-07-13,45,2023-01-03,32,2.67,"2 years, 8 months"
Mike,Haridopolos,Mike Haridopolos,1970-03-15,55,2025-01-03,8,0.67,8 months
Darren,Soto,Darren Soto,1978-02-25,47,2017-01-03,104,8.67,"8 years, 8 months"
Maxwell,Frost,Maxwell Frost,1997-01-17,28,2023-01-03,32,2.67,"2 years, 8 months"
Daniel,Webster,Daniel Webster,1949-04-27,76,2011-01-03,176,14.67,"14 years, 8 months"
Gus,Bilirakis,Gus Bilirakis,1963-02-08,62,2007-01-03,224,18.67,"18 years, 8 months"
Anna Paulina,Luna,Anna Paulina Luna,1989-05-06,36,2023-01-03,32,2.67,"2 years, 8 months"
Kathy,Castor,Kathy Castor,1966-08-20,59,2007-01-03,224,18.67,"18 years, 8 months"
Laurel,Lee,Laurel Lee,1974-03-26,51,2023-01-03,32,2.67,"2 years, 8 months"
Vern,Buchanan,Vern Buchanan,1951-05-08,74,2007-01-03,224,18.67,"18 years, 8 months"
Greg,Steube,Greg Steube,1978-05-19,47,2019-01-03,80,6.67,"6 years, 8 months"
Scott,Franklin,Scott Franklin,1964-08-23,61,2021-01-03,56,4.67,"4 years, 8 months"
Byron,Donalds,Byron Donalds,1978-10-26,46,2021-01-03,56,4.67,"4 years, 8 months"
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1979-01-25,46,2022-01-18,44,3.67,"3 years, 8 months"
Brian,Mast,Brian Mast,1980-07-10,45,2017-01-03,104,8.67,"8 years, 8 months"
Lois,Frankel,Lois Frankel,1948-05-16,77,2013-01-03,152,12.67,"12 years, 8 months"
Jared,Moskowitz,Jared Moskowitz,1980-12-18,44,2023-01-03,32,2.67,"2 years, 8 months"
Frederica,Wilson,Frederica Wilson,1942-11-05,82,2011-01-03,176,14.67,"14 years, 8 months"
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,1966-09-27,59,2005-01-03,248,20.67,"20 years, 8 months"
Mario,Díaz-Balart,Mario Díaz-Balart,1961-09-25,64,2003-01-03,272,22.67,"22 years, 8 months"
María Elvira,Salazar,María Elvira Salazar,1961-11-01,63,2021-01-03,56,4.67,"4 years, 8 months"
Carlos,Giménez,Carlos Giménez,1954-01-17,71,2021-01-03,56,4.67,"4 years, 8 months"
Buddy,Carter,Buddy Carter,1957-09-06,68,2015-01-03,128,10.67,"10 years, 8 months"
Sanford,Bishop,Sanford Bishop,1947-02-04,78,1993-01-03,392,32.67,"32 years, 8 months"
Brian,Jack,Brian Jack,1988-02-17,37,2025-01-03,8,0.67,8 months
Hank,Johnson,Hank Johnson,1954-10-02,70,2007-01-03,224,18.67,"18 years, 8 months"
Nikema,Williams,Nikema Williams,1978-07-30,47,2021-01-03,56,4.67,"4 years, 8 months"
Lucy,McBath,Lucy McBath,1960-06-01,65,2019-01-03,80,6.67,"6 years, 8 months"
Rich,McCormick,Rich McCormick,1968-10-07,56,2023-01-03,32,2.67,"2 years, 8 months"
Austin,Scott,Austin Scott,1969-12-10,55,2011-01-03,176,14.67,"14 years, 8 months"
Andrew,Clyde,Andrew Clyde,1963-11-22,61,2021-01-03,56,4.67,"4 years, 8 months"
Mike,Collins,Mike Collins,1967-07-02,58,2023-01-03,32,2.67,"2 years, 8 months"
Barry,Loudermilk,Barry Loudermilk,1963-12-22,61,2015-01-03,128,10.67,"10 years, 8 months"
Rick,Allen,Rick Allen,1951-11-07,73,2015-01-03,128,10.67,"10 years, 8 months"
David,Scott,David Scott,1945-06-27,80,2003-01-03,272,22.67,"22 years, 8 months"
Marjorie Taylor,Greene,Marjorie Taylor Greene,1974-05-27,51,2021-01-03,56,4.67,"4 years, 8 months"
Ed,Case,Ed Case,1952-09-27,73,2019-01-03,80,6.67,"6 years, 8 months"
Jill,Tokuda,Jill Tokuda,1976-03-03,49,2023-01-03,32,2.67,"2 years, 8 months"
Russ,Fulcher,Russ Fulcher,1962-03-09,63,2019-01-03,80,6.67,"6 years, 8 months"
Mike,Simpson,Mike Simpson,1950-09-08,75,1999-01-03,320,26.67,"26 years, 8 months"
Jonathan,Jackson,Jonathan Jackson,1966-01-07,59,2023-01-03,32,2.67,"2 years, 8 months"
Robin,Kelly,Robin Kelly,1956-04-30,69,2013-04-11,149,12.42,"12 years, 5 months"
Delia,Ramirez,Delia Ramirez,1983-06-02,42,2023-01-03,32,2.67,"2 years, 8 months"
Chuy,García,Chuy García,1956-04-12,69,2019-01-03,80,6.67,"6 years, 8 months"
Mike,Quigley,Mike Quigley,1958-10-17,66,2009-04-07,197,16.42,"16 years, 5 months"
Sean,Casten,Sean Casten,1971-11-23,53,2019-01-03,80,6.67,"6 years, 8 months"
Danny,Davis,Danny Davis,1941-09-06,84,1997-01-03,344,28.67,"28 years, 8 months"
Raja,Krishnamoorthi,Raja Krishnamoorthi,1973-07-19,52,2017-01-03,104,8.67,"8 years, 8 months"
Jan,Schakowsky,Jan Schakowsky,1944-05-26,81,1999-01-03,320,26.67,"26 years, 8 months"
Brad,Schneider,Brad Schneider,1961-08-20,64,2017-01-03,104,8.67,"8 years, 8 months"
Bill,Foster,Bill Foster,1955-10-07,69,2013-01-03,152,12.67,"12 years, 8 months"
Mike,Bost,Mike Bost,1960-12-30,64,2015-01-03,128,10.67,"10 years, 8 months"
Nikki,Budzinski,Nikki Budzinski,1977-03-11,48,2023-01-03,32,2.67,"2 years, 8 months"
Lauren,Underwood,Lauren Underwood,1986-10-04,38,2019-01-03,80,6.67,"6 years, 8 months"
Mary,Miller,Mary Miller,1959-08-27,66,2021-01-03,56,4.67,"4 years, 8 months"
Darin,LaHood,Darin LaHood,1968-07-05,57,2015-09-17,120,10.0,10 years
Eric,Sorensen,Eric Sorensen,1976-03-18,49,2023-01-03,32,2.67,"2 years, 8 months"
Frank J.,Mrvan,Frank J. Mrvan,1969-04-16,56,2021-01-03,56,4.67,"4 years, 8 months"
Rudy,Yakym,Rudy Yakym,1984-02-24,41,2022-11-14,34,2.83,"2 years, 10 months"
Marlin,Stutzman,Marlin Stutzman,1976-08-31,49,2025-01-03,8,0.67,8 months
Jim,Baird,Jim Baird,1945-06-04,80,2019-01-03,80,6.67,"6 years, 8 months"
Victoria,Spartz,Victoria Spartz,1978-10-06,46,2021-01-03,56,4.67,"4 years, 8 months"
Jefferson,Shreve,Jefferson Shreve,1965-09-24,60,2025-01-03,8,0.67,8 months
André,Carson,André Carson,1974-10-16,50,2008-03-11,210,17.5,"17 years, 6 months"
Mark,Messmer,Mark Messmer,1967-12-16,57,2025-01-03,8,0.67,8 months
Erin,Houchin,Erin Houchin,1976-09-24,49,2023-01-03,32,2.67,"2 years, 8 months"
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,1955-09-06,70,2021-01-03,56,4.67,"4 years, 8 months"
Ashley,Hinson,Ashley Hinson,1983-06-27,42,2021-01-03,56,4.67,"4 years, 8 months"
Zach,Nunn,Zach Nunn,1979-05-04,46,2023-01-03,32,2.67,"2 years, 8 months"
Randy,Feenstra,Randy Feenstra,1969-01-14,56,2021-01-03,56,4.67,"4 years, 8 months"
Tracey,Mann,Tracey Mann,1976-12-17,48,2021-01-03,56,4.67,"4 years, 8 months"
Derek,Schmidt,Derek Schmidt,1968-01-23,57,2025-01-03,8,0.67,8 months
Sharice,Davids,Sharice Davids,1980-05-22,45,2019-01-03,80,6.67,"6 years, 8 months"
Ron,Estes,Ron Estes,1956-07-19,69,2017-04-25,101,8.42,"8 years, 5 months"
James,Comer,James Comer,1972-08-19,53,2016-11-08,106,8.83,"8 years, 10 months"
Brett,Guthrie,Brett Guthrie,1964-02-18,61,2009-01-03,200,16.67,"16 years, 8 months"
Morgan,McGarvey,Morgan McGarvey,1979-12-23,45,2023-01-03,32,2.67,"2 years, 8 months"
Thomas,Massie,Thomas Massie,1971-01-13,54,2012-11-13,154,12.83,"12 years, 10 months"
Hal,Rogers,Hal Rogers,1937-12-31,87,1981-01-03,536,44.67,"44 years, 8 months"
Andy,Barr,Andy Barr,1973-07-24,52,2013-01-03,152,12.67,"12 years, 8 months"
Steve,Scalise,Steve Scalise,1965-10-06,59,2008-05-03,208,17.33,"17 years, 4 months"
Troy,Carter,Troy Carter,1963-10-26,61,2021-05-11,52,4.33,"4 years, 4 months"
Clay,Higgins,Clay Higgins,1961-08-24,64,2017-01-03,104,8.67,"8 years, 8 months"
Mike,Johnson,Mike Johnson,1972-01-30,53,2017-01-03,104,8.67,"8 years, 8 months"
Julia,Letlow,Julia Letlow,1981-03-16,44,2021-04-14,53,4.42,"4 years, 5 months"
Cleo,Fields,Cleo Fields,1962-11-22,62,2025-01-03,8,0.67,8 months
Chellie,Pingree,Chellie Pingree,1955-04-02,70,2009-01-03,200,16.67,"16 years, 8 months"
Jared,Golden,Jared Golden,1982-07-25,43,2019-01-03,80,6.67,"6 years, 8 months"
Andy,Harris,Andy Harris,1957-01-25,68,2011-01-03,176,14.67,"14 years, 8 months"
Johnny,Olszewski,Johnny Olszewski,1982-09-10,43,2025-01-03,8,0.67,8 months
Sarah,Elfreth,Sarah Elfreth,1988-09-09,37,2025-01-03,8,0.67,8 months
Glenn,Ivey,Glenn Ivey,1961-02-27,64,2023-01-03,32,2.67,"2 years, 8 months"
Steny,Hoyer,Steny Hoyer,1939-06-14,86,1981-05-19,532,44.33,"44 years, 4 months"
April McClain,Delaney,April McClain Delaney,1964-05-28,61,2025-01-03,8,0.67,8 months
Kweisi,Mfume,Kweisi Mfume,1948-10-24,76,2020-05-05,64,5.33,"5 years, 4 months"
Jamie,Raskin,Jamie Raskin,1962-12-13,62,2017-01-03,104,8.67,"8 years, 8 months"
Richard,Neal,Richard Neal,1949-02-14,76,1989-01-03,440,36.67,"36 years, 8 months"
Jim,McGovern,Jim McGovern,1959-11-20,65,1997-01-03,344,28.67,"28 years, 8 months"
Lori,Trahan,Lori Trahan,1973-10-27,51,2019-01-03,80,6.67,"6 years, 8 months"
Jake,Auchincloss,Jake Auchincloss,1988-01-29,37,2021-01-03,56,4.67,"4 years, 8 months"
Katherine,Clark,Katherine Clark,1963-07-17,62,2013-12-12,141,11.75,"11 years, 9 months"
Seth,Moulton,Seth Moulton,1978-10-24,46,2015-01-03,128,10.67,"10 years, 8 months"
Ayanna,Pressley,Ayanna Pressley,1974-02-03,51,2019-01-03,80,6.67,"6 years, 8 months"
Stephen F.,Lynch,Stephen F. Lynch,1955-03-31,70,2001-10-16,287,23.92,"23 years, 11 months"
Bill,Keating,Bill Keating,1952-09-06,73,2011-01-03,176,14.67,"14 years, 8 months"
Jack,Bergman,Jack Bergman,1947-02-02,78,2017-01-03,104,8.67,"8 years, 8 months"
John,Moolenaar,John Moolenaar,1961-05-08,64,2015-01-03,128,10.67,"10 years, 8 months"
Hillary,Scholten,Hillary Scholten,1982-02-22,43,2023-01-03,32,2.67,"2 years, 8 months"
Bill,Huizenga,Bill Huizenga,1969-01-31,56,2011-01-03,176,14.67,"14 years, 8 months"
Tim,Walberg,Tim Walberg,1951-04-12,74,2011-01-03,176,14.67,"14 years, 8 months"
Debbie,Dingell,Debbie Dingell,1953-11-23,71,2015-01-03,128,10.67,"10 years, 8 months"
Tom,Barrett,Tom Barrett,1981-04-30,44,2025-01-03,8,0.67,8 months
Kristen McDonald,Rivet,Kristen McDonald Rivet,1970-07-11,55,2025-01-03,8,0.67,8 months
Lisa,McClain,Lisa McClain,1966-04-07,59,2021-01-03,56,4.67,"4 years, 8 months"
John,James,John James,1981-06-08,44,2023-01-03,32,2.67,"2 years, 8 months"
Haley,Stevens,Haley Stevens,1983-06-24,42,2019-01-03,80,6.67,"6 years, 8 months"
Rashida,Tlaib,Rashida Tlaib,1976-07-24,49,2019-01-03,80,6.67,"6 years, 8 months"
Shri,Thanedar,Shri Thanedar,1955-02-22,70,2023-01-03,32,2.67,"2 years, 8 months"
Brad,Finstad,Brad Finstad,1976-05-30,49,2022-08-12,37,3.08,"3 years, 1 month"
Angie,Craig,Angie Craig,1972-02-14,53,2019-01-03,80,6.67,"6 years, 8 months"
Kelly,Morrison,Kelly Morrison,1969-02-02,56,2025-01-03,8,0.67,8 months
Betty,McCollum,Betty McCollum,1954-07-12,71,2001-01-03,296,24.67,"24 years, 8 months"
Ilhan,Omar,Ilhan Omar,1982-10-04,42,2019-01-03,80,6.67,"6 years, 8 months"
Tom,Emmer,Tom Emmer,1961-03-03,64,2015-01-03,128,10.67,"10 years, 8 months"
Michelle,Fischbach,Michelle Fischbach,1965-11-03,59,2021-01-03,56,4.67,"4 years, 8 months"
Pete,Stauber,Pete Stauber,1966-05-10,59,2019-01-03,80,6.67,"6 years, 8 months"
Trent,Kelly,Trent Kelly,1966-03-01,59,2015-06-02,123,10.25,"10 years, 3 months"
Bennie,Thompson,Bennie Thompson,1948-01-28,77,1993-04-13,389,32.42,"32 years, 5 months"
Michael,Guest,Michael Guest,1970-02-04,55,2019-01-03,80,6.67,"6 years, 8 months"
Mike,Ezell,Mike Ezell,1959-04-06,66,2023-01-03,32,2.67,"2 years, 8 months"
Wesley,Bell,Wesley Bell,1974-11-05,50,2025-01-03,8,0.67,8 months
Ann,Wagner,Ann Wagner,1962-09-13,63,2013-01-03,152,12.67,"12 years, 8 months"
Bob,Onder,Bob Onder,1962-01-06,63,2025-01-03,8,0.67,8 months
Mark,Alford,Mark Alford,1963-10-04,61,2023-01-03,32,2.67,"2 years, 8 months"
Emanuel,Cleaver,Emanuel Cleaver,1944-10-26,80,2005-01-03,248,20.67,"20 years, 8 months"
Sam,Graves,Sam Graves,1963-11-07,61,2001-01-03,296,24.67,"24 years, 8 months"
Eric,Burlison,Eric Burlison,1976-10-02,48,2023-01-03,32,2.67,"2 years, 8 months"
Jason,Smith,Jason Smith,1980-06-16,45,2013-06-04,147,12.25,"12 years, 3 months"
Ryan,Zinke,Ryan Zinke,1961-11-01,63,2023-01-03,32,2.67,"2 years, 8 months"
Troy,Downing,Troy Downing,1967-03-04,58,2025-01-03,8,0.67,8 months
Mike,Flood,Mike Flood,1975-02-23,50,2022-07-12,38,3.17,"3 years, 2 months"
Don,Bacon,Don Bacon,1963-08-16,62,2017-01-03,104,8.67,"8 years, 8 months"
Adrian,Smith,Adrian Smith,1970-12-19,54,2007-01-03,224,18.67,"18 years, 8 months"
Dina,Titus,Dina Titus,1950-05-23,75,2013-01-03,152,12.67,"12 years, 8 months"
Mark,Amodei,Mark Amodei,1958-06-12,67,2011-09-13,168,14.0,14 years
Susie,Lee,Susie Lee,1966-11-07,58,2019-01-03,80,6.67,"6 years, 8 months"
Steven,Horsford,Steven Horsford,1973-04-29,52,2019-01-03,80,6.67,"6 years, 8 months"
Chris,Pappas,Chris Pappas,1980-06-04,45,2019-01-03,80,6.67,"6 years, 8 months"
Maggie,Goodlander,Maggie Goodlander,1986-11-04,38,2025-01-03,8,0.67,8 months
Donald,Norcross,Donald Norcross,1958-12-13,66,2014-11-12,130,10.83,"10 years, 10 months"
Jeff Van,Drew,Jeff Van Drew,1953-02-23,72,2019-01-03,80,6.67,"6 years, 8 months"
Herb,Conaway,Herb Conaway,1963-01-30,62,2025-01-03,8,0.67,8 months
Chris,Smith,Chris Smith,1953-03-04,72,1981-01-03,536,44.67,"44 years, 8 months"
Josh,Gottheimer,Josh Gottheimer,1975-03-08,50,2017-01-03,104,8.67,"8 years, 8 months"
Frank,Pallone,Frank Pallone,1951-10-30,73,1988-11-08,442,36.83,"36 years, 10 months"
Thomas Kean,Jr.,Thomas Kean Jr.,1968-09-05,57,2023-01-03,32,2.67,"2 years, 8 months"
Rob,Menendez,Rob Menendez,1985-07-12,40,2023-01-03,32,2.67,"2 years, 8 months"
Nellie,Pou,Nellie Pou,1956-05-20,69,2025-01-03,8,0.67,8 months
LaMonica,McIver,LaMonica McIver,1986-06-20,39,2024-09-23,12,1.0,1 year
Mikie,Sherrill,Mikie Sherrill,1972-01-19,53,2019-01-03,80,6.67,"6 years, 8 months"
Bonnie Watson,Coleman,Bonnie Watson Coleman,1945-02-06,80,2015-01-03,128,10.67,"10 years, 8 months"
Melanie,Stansbury,Melanie Stansbury,1979-01-31,46,2021-06-14,51,4.25,"4 years, 3 months"
Gabe,Vasquez,Gabe Vasquez,1984-08-03,41,2023-01-03,32,2.67,"2 years, 8 months"
Teresa Leger,Fernandez,Teresa Leger Fernandez,1959-07-01,66,2021-01-03,56,4.67,"4 years, 8 months"
Nick,LaLota,Nick LaLota,1978-06-23,47,2023-01-03,32,2.67,"2 years, 8 months"
Andrew,Garbarino,Andrew Garbarino,1984-09-27,41,2021-01-03,56,4.67,"4 years, 8 months"
Tom,Suozzi,Tom Suozzi,1962-08-31,63,2024-02-28,19,1.58,"1 year, 7 months"
Laura,Gillen,Laura Gillen,1969-07-10,56,2025-01-03,8,0.67,8 months
Gregory,Meeks,Gregory Meeks,1953-09-25,72,1998-02-05,331,27.58,"27 years, 7 months"
Grace,Meng,Grace Meng,1975-10-01,49,2013-01-03,152,12.67,"12 years, 8 months"
Nydia,Velázquez,Nydia Velázquez,1953-03-28,72,1993-01-03,392,32.67,"32 years, 8 months"
Hakeem,Jeffries,Hakeem Jeffries,1970-08-04,55,2013-01-03,152,12.67,"12 years, 8 months"
Yvette,Clarke,Yvette Clarke,1964-11-21,60,2007-01-03,224,18.67,"18 years, 8 months"
Dan,Goldman,Dan Goldman,1976-02-26,49,2023-01-03,32,2.67,"2 years, 8 months"
Nicole,Malliotakis,Nicole Malliotakis,1980-11-11,44,2021-01-03,56,4.67,"4 years, 8 months"
Jerry,Nadler,Jerry Nadler,1947-06-13,78,1992-11-03,394,32.83,"32 years, 10 months"
Adriano,Espaillat,Adriano Espaillat,1954-09-27,71,2017-01-03,104,8.67,"8 years, 8 months"
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,1989-10-13,35,2019-01-03,80,6.67,"6 years, 8 months"
Ritchie,Torres,Ritchie Torres,1988-03-12,37,2021-01-03,56,4.67,"4 years, 8 months"
George,Latimer,George Latimer,1953-11-22,71,2025-01-03,8,0.67,8 months
Mike,Lawler,Mike Lawler,1986-09-09,39,2023-01-03,32,2.67,"2 years, 8 months"
Pat,Ryan,Pat Ryan,1982-03-28,43,2022-09-13,36,3.0,3 years
Josh,Riley,Josh Riley,1981-01-21,44,2025-01-03,8,0.67,8 months
Paul,Tonko,Paul Tonko,1949-06-18,76,2009-01-03,200,16.67,"16 years, 8 months"
Elise,Stefanik,Elise Stefanik,1984-07-02,41,2015-01-03,128,10.67,"10 years, 8 months"
John,Mannion,John Mannion,1968-07-08,57,2025-01-03,8,0.67,8 months
Nick,Langworthy,Nick Langworthy,1981-02-27,44,2023-01-03,32,2.67,"2 years, 8 months"
