cadidate name,fec_id,party,state
"ABDULLAHI, FUAD",P40013088,AIP,WA
"TILLINGHAST, MICHAEL",P40013096,DEM,RI
"ROSALES, MIKE",P40013112,DTS,NM
"WELTON, ROGER",P40013120,AIC,MD
"WILKERSON, STEPHEN PARSON",H4SC16014,REP,SC
"SIGMON, MICHAEL",P40012957,PRO,WV
"WILCZYNSKI, DANIEL VINCENT",H4OH09136,REP,OH
"JANOSKY, LOREN CHARLES MR",P40010837,AMP,TN
"FARMS, WILLIAM",H4OH06140,IND,OH
"COOPER, JIMMY",P40014797,IND,GA
"AKHLAGHY, NADER DR",P40007304,REP,NY
"MURPHY, MICHAEL A",H4MN02151,REP,MN
"MACAULEY, JAMES 'JIM'",S4CA01009,REP,CA
"FARMS, WILLIAM",H4OH06124,IND,OH
"FLOWERS, MARCUS",H2GA14044,DEM,GA
"VEPRAUSKAS, MARTIN",S4CA01017,REP,CA
"JONES, FORREST",S4CA01025,OTH,CA
"GARZA, LAURA",S4CA01033,NOP,CA
"DILGER, MICHAEL JOSEPH",S4CA01041,W,CA
"DOWELL, JOHN",S4CA01058,W,CA
"HORN, KANDY KAYE BSS.",P40013294,REP,TX
"DAVIS, SHELBY",H4MO02124,GRE,MO
"DAY, MICHAEL",H4MO05382,GRE,MO
"RAYMOND, ROBERT",H2WI05242,IND,WI
"MORTON, RAYFIELD",H4NJ10259,OTH,NJ
"WILSON, BOBBY",H4AR03081,LIB,AR
"FROSCH, DAVID K.",H4OR03259,CON,OR
"SHERIDAN, CHARLES MARTIN",H4FL06097,REP,FL
"BARAJAS, MIGUEL",H4MD03362,LIB,MD
"DEJONG, BEN",H4MI02146,LIB,MI
"AVERY, ALEX",H4MI03300,LIB,MI
"BARCELO, STEVE",H4MI08267,LIB,MI
"SHIOURA, HILAIRE FUJI",H4CA51129,OTH,CA
"SHUPE, LEWIS",H4PA07134,IND,PA
"PAWLOSKI, JOHN CHARLES JR JR",P40016479,AIP,VA
"AKERS, BIKERBOB MR.",P40016487,IND,WA
"MAZUR, STEVE",H4KY05033,IND,KY
"PRESCOTT, RUSSELL",H4NH01243,REP,NH
"VASAPOLLI, JOSEPH A",P40021552,AIP,PA
"ANTONELLIS, ROBERT JOSEPH",S4MA00291,REP,MA
"TENNEY, CLAUDIA",H4NY22051,REP,NY
"MANNION, JOHN W",H4NY22085,DEM,NY
"CARLE, THOMAS A",H4NY23075,DEM,NY
"WAGENHAUSER, DAVID",H4NY24131,DEM,NY
"KENNEDY, TIMOTHY",H4NY26078,DEM,NY
"LEGER FERNANDEZ, TERESA",H0NM03102,DEM,NM
"PAYNE, ANGELINE L MRS.",P40010951,OTH,GA
"OGLES, ANDY",H2TN05446,REP,TN
"FUGATE, DEMETRIUS (D.B.) BURNS",H4FL22151,REP,FL
"SCHULTZ, FREDERIC CHARLES MR. J.D.",P40016503,UN,CA
"CUNNINGHAM, CANDACE L",H4AZ03166,AIP,AZ
"GILLARD, ADAM JOSEPH",H4CO05089,DEM,CO
"BEAMON, CAMERON",H4IN02176,IND,IN
"WIZARD, HARVEY",P40016354,DEM,FL
"FUGATE, DEMETRIUS (D.B.) BURNS",H4FL22144,REP,FL
"ELLIOTT, STEVEN",H2MI13311,REP,MI
"YOUNG, NEIL CARLIN MR. JR.",H4PA06060,REP,PA
"MONTERO, MARIA",H4PA07100,REP,PA
"MCCALLIAN, RANDI MCCALLIAN",H2MO08091,DEM,MO
"TOULME, ALIX CHRISTOPHER MR. JR.",S4FL00520,OTH,FL
"HALLER, MAYLON JUSTIN",H4NY20196,DEM,NY
"EDALGO, JAMES EDWARD",P00014019,NNE,WA
"DENMAN, PATRICK MR",H4NY01113,NNE,NY
"WILLIAMS, MICHAEL LUCIFER LUCIFER JR",P40021636,VET,PA
"NEWLIN, JOHN CLAYTON",H4OH04079,DEM,OH
"HARRELL, MARQUITA NICHOLE MS.",P40021677,DEM,TX
"LITTLE, JAMES ALLEN",H4MI08275,OTH,MI
"SANDERS, BRENDA K.",H4MI12145,GRE,MI
"QUINTANA, EDUARDO",S4AZ00311,GRE,AZ
"LEIV, MATTHEW",H4IL14140,REP,IL
"JACKSON, DANIEL LAFAVIEN",H4GA12069,DEM,GA
"MCQUEEN, ELDON DANIEL",S4TX00698,IDP,MO
"GREENE, CLIFFORD MARK",H8WA08064,REP,WA
"ANDERSON, DERRICK",H2VA07170,REP,VA
"POTUS, FUTURE MADAM",P40021743,IND,TX
"FARBER, STUART ROSS",P40009888,DEM,FL
"JOHNSON, RYAN CHRISTOPHER",P40021768,NPA,CA
"BARBOUR, ROBERT",P40021776,IND,IN
"BRISENO, JORGE ALBERTO",H4IL08134,IND,IL
"WILSON, DEBBIE RICA FERICA DR.",P40011249,IDP,MD
"GORNEY, HEATH R. MR.",P40011256,REP,MI
"HOUGLAND, ADAM MICHAEL MR.",P40011264,REP,KS
"ROSSER, TREMEL MARQUIS",P40018228,CMD,VA
"DIAS, CHRISTOPHER LEE",P40011181,IND,NC
"MOSS, CHARLES KENNETH",P40011215,REP,NC
"BARVE, GARY",H2VA07147,REP,VA
"HOUSTON, JAMES II",P40021826,W,CA
"MALEH, KENDA",S4CA01090,UNK,CA
"LUTZ, DANIEL",H4CO01195,APV,CO
"SWEAT, CHRISTOPHER",H4CO05212,CFP,CO
"NICKS, TRAVIS",H4CO06137,APV,CO
"BAUM, CHRIS",H4CO08075,APV,CO
"BAHLEN, DAN",H4OR04133,LIB,OR
"VODVARKA, JOSEPH JOHN",S4PA00196,REP,PA
"FARR, DAVID LENNARD",P40021578,IND,IL
"AGGARWALA, KARAN R GREGG MR PHD",P40021594,AIP,NJ
"GALINSKY, PHILLIP",P40021412,NON,NY
"RUDMAN, JOEL DR.",H4FL01288,REP,FL
"PATTON, IVORY",P40011173,UNK,GA
"FOURROUX, PATRICK HENRY",P40011223,REP,CA
"FILIP, JUSTIN",H4OR04141,PG,OR
"TOWNSEND, ANDREA THOM",H4OR05379,PG,OR
"MILLER, JEFF",H4TX10234,LIB,TX
"RODRIGUES CAZARES, COURTNEY PAIGE MRS.",P40021867,NPA,TX
"CHINNASWAMY, JOSH",H4FL01239,NNE,FL
"VON KRIEG, BIANCA MS.",H2CA12208,DEM,CA
"WALKER, JANUARY",H2UT04106,UUP,UT
"ELLER, RON",H2MS02203,REP,MS
"LIBBER, MATT",H4MD03339,DEM,MD
"HOWE, JOHN WAYNE",H4AK00214,AKI,AK
"LATTIMORE, KENESHA",P40021370,IND,OH
"REVELES, AARON",H4CA34109,PFP,CA
"ROBERTS, BRIAN",H4IL12086,DEM,IL
"SMITH, IDA",H4VI00153,IND,VI
"KENWORTHY, JON MICHAEL MR.",H4IN03166,REP,IN
"JOWSKE, JEFFREY",H4MI09117,REP,MI
"CHINTHALA, BALARAJU RAJU",H4IN05203,REP,IN
"COBA, ANGEL LUIS",H4FL09158,REP,FL
"KRUEGER, ZACHARY",P40011231,W,CO
"HENRIQUES, LORI ANN MS",P40011280,DEM,MI
"ESPOSITO, ALISON",H4NY18117,REP,NY
"STEFANIK, ELISE M.",H4NY21079,REP,NY
"WRIGHT, CHRIS",H4NY16095,REP,NY
"CHURCHILL, VANGELA",H4TX15134,REP,TX
"LEHMAN, MATTHEW",H2KY04212,DEM,KY
"QUINONES, JOHN",H4FL09166,REP,FL
"CLATTERBUCK, THOMAS",H4IL13258,REP,IL
"VIRGIL, KEVIN",H4IA04139,REP,IA
"GOMEZ, BRENDAN JOSEPH",H4ID01149,CON,ID
"LATIMER, GEORGE",H4NY16087,DEM,NY
"LENSSEN, MATHIAS",H4FL06030,REP,FL
"MOBEEN, NOOR DR.",H4TX07115,DEM,TX
"HENRIQUES, LORI MS",P40011298,DEM,MI
"DILLON, BRETT ALLEN REV. DR.",P40011306,IND,MD
"JENNINGS II, GERALD J MR",P40011314,REP,CO
"MARKS, NICK",P40011322,NNE,CA
"GARBARINO, ANDREW",H0NY02234,REP,VA
"ZMICH, THOMAS",H0NY06086,REP,NY
"COURSER, AMY RYAN",H0OR05104,REP,OR
"WILSON, GEORGE A MR",P00014472,IND,CA
"HYMAN, MAL",H6SC07018,DEM,SC
"TEIRAB, JOE",H4MN02177,REP,MN
"EDWARDS, AMANDA",H4TX18138,DEM,TX
"HERRERA, BRANDON",H4TX23120,REP,TX
"LUNGO, ROBERT FRANCIS",P60018504,IND,NH
"AL-AQIDI, DALIA",H4MN05113,REP,MN
"BARRY, MEGAN",H4TN07133,DEM,TN
"LOVE, LESLIE N.",S4MI00504,DEM,MI
"JOHNSTON, CLAYTON",H4FL01254,REP,FL
"WALLS-WINDHAUSER, ANGELA MARIE",S4FL00645,REP,FL
"WEINKRANTZ, MARK",H4FL13192,DEM,FL
"DANIELS, BRET",H2CA07133,REP,CA
"THOMAS, STEPHEN D",H4OH04053,DEM,OH
"POSTELL, ANSEL",H4GA04132,IND,GA
"PALMER, MICHAEL PALMER - NNB",P40011330,REP,NY
"ALAMEDA, JENNIFER NICOLE",P40011348,REP,NY
"EDMOND, ERIC JATOD REV. DR.",P40011355,AIC,GA
"BINION, PAUL",P40021438,IND,SC
"PRUSS, TOM",H4OH09185,LIB,OH
"FITZ, DON",H4MO01217,GRE,MO
"NICHOLS, ASHAKI NONI MRS",P40007353,OTH,GA
"BROWN, PAMELA",S4DE00102,DEM,MD
"CHEN, NOLAN",H4CA10091,REP,CA
"MILLER, BLANE H. III",H4MD01184,DEM,MD
"SIKDER, ABDUR R DR",H4CA12246,DEM,CA
"KLEIN, JOHN JAMES",P40016644,REP,OK
"MARGOLIS, BARUCH",P40016651,N/A,NV
"REEVES, JAY",P40016669,VET,TX
"FINAN, NICHOLAS JAMES",H4CA16270,DEM,CA
"YOST, MICHAEL CHRISTOPHER",P20003562,N/A,CO
"COBBS, MICHAEL W. SR.",S4MD00566,DEM,MD
"HOUTON, ROBERT K.",S4MD00574,DEM,MD
"REYES, ARTURO PACHECO",S0HI00118,REP,HI
"REYES, ARTURO",S4HI00185,REP,HI
"GIUFFRE, JOHN M.(RAGHU)",S6HI00305,OTH,HI
"CURTIS , RON",S8HI00210,DEM,HI
"SEYOUM, LABAN Y.",S4MD00582,REP,MD
"SCOTT, MIKE",S4MD00590,LIB,MD
"KOWALSKI, AARON",S4NE00249,REP,NE
"PETERSON, KENNETH",S4NE00256,OTH,NE
"STEVENS, MAC",S4NE00264,REP,NE
"BIRD, BRYAN",S4WV00431,REP,WV
"SMITH, WILLIAM",H4CA47226,NOP,CA
"TEMURI, PRINCE MUHAMMAD",S8NY00231,OTH,NY
"HOPSON, DIANE",P40019903,DEM,NC
"BERG FONVERGNE, BELLA",P40016800,DEM,CA
"KRICHEVSKY MD MSPH, RITA ANNA-MARIA",P40021065,DEM,WA
"KARDASHIAN, QUINCI PRESTON",P40016834,REP,CA
"HERTZLER, JASON",P40021214,REP,PA
"TARPLEY, SHALIEK",H4VA07176,REP,VA
"DAUGHERTY, MELINDA",P40008757,UNK,WA
"JONES, RAFAEL",P40009011,REP,NY
"CRAWFORD, ROMERO AWTRO",P40012197,IND,CA
"BARNARD, DAVID J JR JR",P40013419,DEM,FL
"SHIPMAN, BRANDON JAMAL",P40013427,OTH,NJ
"PAYETTE, MATTHEW WILLIAM",H2CO08053,UN,CO
"PENNA, KYLE CHRISTIAN",H4CA41161,IND,CA
"SIGMON, MICHAEL R",H4WV00019,NPP,WV
"JULE, ALEXANDER",P40013302,NNE,AZ
"WALTZ, SHAWN DR.",P40016677,IND,LA
"CHRIST, JUDAH VALENTINE DR",P40016693,REP,HI
"SMITH SLATER, QUINCI RENEE",S4CA00928,DEM,CA
"VELARDE, JADE",P40012890,NPA,FL
"MUNRO, PATRICK D",S4MN00494,REP,MN
"BOWEN, CARLTON E.",S4UT00324,IAP,UT
"BROCK, MATTHEW",H2CA04148,REP,CA
"FARMS, WILLIAM",H4OH06215,REP,OH
"PETERS, JOHN",H4FL14141,REP,FL
"MITCHELL, JONATHAN",H2TX08125,REP,TX
"MONTAVON, MATTHEW",H4FL17060,DEM,FL
"PERKINS, LEONARD REV SR",H4TN08115,DEM,TN
"WILES, RICK",H4FL21096,REP,FL
"KRAUSE, JOEL AUGUST",H4TX26081,REP,TX
"JACKSON, PAYTON",H4TX33061,IND,TX
"HAMILTON, TAMIKA",H0CA03128,REP,CA
"WELLS, ROBERT CARR MR. JR.",H4VA06046,IND,VA
"HOLLOWAY NORRIS, STEPHANIE ANNE",H4WA55015,IND,WA
"LITTLE, TYLER J",P40018939,AIP,NM
"FERRER ROIG, RAMON FERNANDO",P40018947,AIP,PA
"MOORE, ARIADNE TAIGE MS",P40013161,W,WV
"WINKLE, JAMES MICHAEL",H4TX17130,,TX
"FRIEDBAUM, JEREMY",S0UT00215,REP,UT
"JENKINS, BRIAN",S8UT00218,REP,UT
"BARTELKIN (COLIN S NELSON), JACQUES FR",P40018954,REP,CA
"LAMB, BEVERLY ELLEN",P40018962,IND,MD
"RECTOR, CHRISTOPHER",H2TX12093,DEM,TX
"BARBINE, MICHAEL W. MR",P60018702,W,TX
"LUCERO, ROBERT GEORGE MR JR",H4CA28101,REP,CA
"ANDERSON, AUSTIN H",H4SC01289,REP,SC
"SIGMON, MICHAEL RAY",H4MD07090,NPP,WV
"HUDSON, STEVEN",P40010530,DSA,OH
"ROSS, GAIL ANN",P40021644,,WA
"MARIDIAN, CHARLES NEMO DR.",P40019614,IND,CA
"ALSTON, ISAAC",P40019630,REP,VA
"REGO, VINCENT GERONIMO",S4NV00411,REP,NV
"ALBRITTON, DEVINCHE",P40019796,DEM,VA
"LI, QIAOZHI",P40020885,DEM,KY
"JACQUE, ANDRE",H4WI08093,REP,WI
"HORNING, ANDY",S2IN00109,LIB,IN
"LIEU, TED",H4CA33119,DEM,CA
"QUINCI PRYCE, B MILLIONAIRE PRESIDENT",P40017220,REP,CA
"PRYCE, MUSIC ARTIST QUINCI",P40017154,REP,CA
"STEWART, DARRION",H4NY01121,REP,NY
"HERROD, CHRISTOPHER NILES",H8UT03253,REP,UT
"KING, PAUL",H2NY05126,REP,NY
"SAMUEL, BENSSON",S4MI00611,REP,MI
"HANSEN, JANINE",S4NV00437,OTH,NV
"UEHLING, EDMOND V.",S4NV00445,OTH,NV
"ANDERSON, FAREED",P40010548,REP,NJ
"WIEDERIEN, JOSEPH MICHAEL",H4IA03180,IND,IA
"WOLFE, ROBERT EVERETT MR II",S4CO00478,NNE,CO
"BAKER, LORI KIRKLAND MS",H4CA47101,DEM,CA
"SCHAEFER, MIKE",S4NV00387,DEM,NV
"RATEVOSIAN, JIRAIR",H4CA30263,DEM,CA
"HANCOCK, MARK KENNETH",H4CT01086,REP,CT
"ADDISON WILLIAMS, AUDREY ELIZABETH MS",H4CA20215,REP,CA
"BLACK DENIM HOLLYWOOD, PRESIDENT QUINC",P40016925,REP,CA
"BAILEY, JONATHAN THOMAS",P40010316,APP,WA
"LEWMAN, CLYDE MCCLAIN (MAC)",S4HI00219,DEM,HI
"TROUTEN, BRYAN",H2MI08170,REP,MI
"GAD, SARAH",H4MN05097,DEM,MN
"CROW LOMBARDI, SAMATHA MARQUETTA LATIC",P40019838,IND,VA
"WILSON, GLENN ALLEN",S4MI00678,REP,MI
"KAINE, TIMOTHY MICHAEL",S2VA00142,DEM,VA
"RAMASWAMY, VIVEK",P40011082,REP,OH
"LOOR, STEVE ALBERT",H4NC13165,REP,NC
"MALDONADO, JUSTIN JUN",H4NJ06141,IND,NJ
"GRUNDMANN, DON J.",S4CA00332,NOP,CA
"LIGHTFOOT, GAIL K",S8CA00283,LIB,CA
"DAOUD, SID",S4MT00241,LIB,MT
"GREATHOUSE, CHRISTINA",P40011512,UN,OH
"GILES, DAVID VICTOR",H6AZ09010,REP,AZ
"KRAFT, RYAN OLIVIER CHRISTIAN",H4OR00016,DEM,OR
"ORTIZ, OSCAR",H4CA25248,DEM,CA
"WELLS, ROBERT",P00007641,IND,SC
"REYES, ARTURO",S4HI00193,REP,HI
"BARB, ROBERT",S4MT00225,GRE,MT
"DOWNEY, MICHAEL",S4MT00233,GRE,MT
"FARMS, WILLIAM",H4OH06223,IND,OH
"BRADLEY, DANA R",P40010589,UN,AR
"VAUGHN, EMORY",P40010597,IND,GA
"DAY, AARON",P40010605,REP,NH
"STEBBINS, ANTHONY JAMES",H4FL03128,LIB,FL
"PLONKA, MARK",P40018988,UNK,SC
"RUSS, DAVID HONORABLE",H2OR01240,REP,OR
"SCHOLTEN, HILLARY",H0MI03316,DEM,MI
"SITES, JEFFREY ALAN",H0OH04085,DEM,OH
"CAMP, LORI ANN MS.",H4IN02192,DEM,IN
"WRIGHT, JAMES MICHAEL",H4VA03050,REP,VA
"URSA, ARIA REY",S4WA00623,DEM,WA
"PRYCE, ITUNES MUSIC QUINCI",P40017162,REP,CA
"PRYCE, CHEERLEADER QUINCI",P40017170,REP,CA
"QUINCI PRYCE, PRESIDENT CANDIDATE PAGE",P40017188,REP,CA
"PRYCE UNITED STATES, PRESIDENT QUINCI",P40017196,REP,CA
"QUINCI PRYCE, VICTORIA SECRET MODEL",P40017204,REP,CA
"OFFICAL, PRESIDENT QUINCI PRYCE",P40017212,REP,CA
"LOOR, STEVE ALBERT MR.",H8NC04090,REP,NC
"MONTGOMERY, RICHARD THOMAS MR.",P40018970,W,CA
"ALCALA, NATASHA",S4ME00139,DEM,ME
"OSUCHUKWU, ONYEKACHI",S4MD00376,IND,MD
"RECHTZIGEL, GENE ALAN",S4MN00536,GOP,MN
"RODRIGUEZ, SAUL ALEJANDRO",H4CA51111,DEM,CA
"WATKINS, DANTWAN SAMUEL",P40010639,DEM,GA
"BUZARD, CLIFFORD STANLEY MR JR",P40013492,IND,AZ
"WEST HOLLYWOOD, PRESIDENT QUINCI",P40016933,REP,CA
"TRUST, PRESIDENT QUINCI MILLIONAIRE",P40016941,REP,CA
"JEW, PRESIDENT QUINCI GAY",P40016958,REP,CA
"WON THE ELECTION, PRESIDENT QUINCI PRY",P40016966,REP,CA
"ELECTED PRESIDENT, PRESIDENT QUINCI PR",P40016974,REP,CA
"OF THE UNITED STATES OF, PRESIDENT QUI",P40016982,REP,CA
"WALKER, ROBERT JAMES",P40010670,COM,AZ
"WASH, DYRON MARCUS SR",P40010688,AIP,IN
"GIBBONS, MATTHEW MICHAEL",P40010696,REP,MI
"STRICKLAND, TRAVIS",H4CA32160,DEM,CA
"BAILEY, MARIEL",H4CO04231,REP,CO
"MAYO, JORDAN ASHLEE",H4MD03214,REP,MD
"DAVENPORT, KEITH MR.",H4NC08082,DEM,DC
"BARTYLLA-BERNARD, GEORGIA JULIETTE",P40010712,IND,AZ
"ROGERS, RICHARD BLAKE MR",P40010720,REP,TX
"ROGERS, RICHARD BLAKE MR",P40010738,REP,TX
"BYRD, MARCUS ERIC MR.",P40010753,OTH,CA
"BLACK, DIANNE DODSON",H2MS01148,DEM,MS
"LINDERMAN, HANK",H8KY02080,DEM,KY
"WATERS, ALLEN",S4RI00069,DEM,RI
"PETERSON, DAVID",S4CA00910,DEM,
"HAYES, DENNIS",H4MT01090,LIB,MT
"O''DELL, SHANNON MAY",S4FL00678,REP,FL
"MAIA-CUSICK, SHIRLEY",H4NJ03171,REP,NJ
"FEGLER, SCOTT MICHAEL MR.",H4NJ06133,REP,NJ
"MITCHELL, KEN",H4VA06061,DEM,VA
"GAJI, MONTELLE L.",H4IL01238,REP,IL
"OWSIAK, ROBERT L., JR.",H4OH05076,REP,OH
"KUZNIAR, JOSEPH",H4OH10209,DEM,OH
"POLKE, KEN",H4OH14136,REP,OH
"BEVERLY HILLS, PRESIDENT QUINCI BEL AI",P40016990,REP,CA
"REPUBLICAN PARTY, PRESIDENT QUINCI PRY",P40017006,REP,CA
"NINETEEN SIXTY ONE, PRESIDENT ULRIC PR",P40017014,REP,LA
"SOTO, JACOB O",H4NY03275,IND,NY
"CAMPBELL, BRANDON LEE MR",P40013526,REP,LA
"DAMMS, JOHN",P40013534,IND,PA
"EKUNDAYO, ERICK TOKS",P40010654,IND,HI
"MILLER, YUEXIN",S4NY00297,AIP,NY
"COMER, CHARLES DONALD",P40013542,IND,AL
"NABOZNY, DENNIS JAMES",P40013559,AIP,WI
"JAHN, LUCINDA KWH MS",H4CA48067,NNE,CA
"CASARES, JOSE ANGEL MR.",H4TX29044,REP,TX
"JOHNSON, SHONTRELL",P40013138,REP,FL
"NEALDRUM, KELLY",P40010787,UN,CO
"CHEN, JESSIE",S4OH00184,COM,NJ
"MEDINA, IAN ANTHONY",H4FL26087,REP,FL
"KULIKOFF, KELLY",H4CA20249,REP,CA
"SIGMON, MICHAEL R",S4MD00418,NPP,WV
"NINETEEN EIGHTY ONE, PRESIDENT GRACE P",P40017022,REP,CA
"BUTTERMANN, DANIEL",H4NY19131,DEM,NY
"YU, PETER",H8CO02251,REP,CO
"DOMINGUEZ, JUAN",H4MD03248,DEM,MD
"MACGUFFIE, ROBERT W",H4CT04155,REP,CT
"MILLER-WATKINS, CIVIL MARSHA",S4TN00534,DEM,TN
"HURT, SAMUEL LEVI",P40012999,REP,PA
"FISCHER, JOHN",P40013013,REP,PA
"SCHAEFER-WICKE, PATRICK CARL SGM (RET)",S4WI00207,REP,WI
"DISILVESTRO, REGINA D",P40013146,IND,CA
"GRCAR, JOSEPH DOC DR",H4CA14119,REP,CA
"BOYD, CHERISSA BROOKS",H4WA04211,DEM,WA
"BRITTON, DREW MICHAEL",H4CA30172,DEM,CA
"EARLEY, JOSEPH FREDERICK",H4WV02213,REP,WV
"RODRIGUEZ, MICHAEL",H2TX35250,REP,TX
"TRELOAR, JESS",P40021131,,WA
"KALBERER, GEORGE H.",S4MN00577,DEM,MN
"BLUE, LONER",S4MN00585,REP,MN
"GRUENHAGEN, ALYCIA R.",S4MN00593,REP,MN
"WHITING, REBECCA",S4MN00601,LIB,MN
"KAUFMAN, JOSEPH JOE",H4FL23142,REP,FL
"SLAUGHTER, ROBBY G",H4IN05310,NNE,IN
"DIXON, PAT",H4TX20043,LIB,TX
"COLE, BAILEY",H4TX28137,LIB,TX
"KRAWIECKI, ROBERT J",S4CT00187,REP,CT
"CHAFFEE, CHRIS",S6MD03557,REP,MD
"AUBART, SCOTT ALAN MR",S4WI00199,AIP,WI
"BONNETT, ERIK C.",H4PA04115,DEM,PA
"MORINI, MICHAEL",P40012981,W,MD
"CHESTNUT, JAMALL ALI",P40008542,REP,PA
"TWO THOUSAND EIGHT, PRESIDENT RENEE PR",P40017030,REP,CA
"PRYCE, RENEE",P40017048,REP,CA
"PRYCE, GRACE",P40017055,REP,CA
"QUINCI PRYCE, MILLIONAIRE PRESIDENT",P40017063,REP,CA
"PRYCE, DICTATOR QUINCI",P40017071,REP,CA
"PRYCE, WORLD LEADER QUINCI",P40017089,REP,CA
"BANKS, WORLD LEADER QUINCI PRYCE",P40017097,REP,CA
"BANKS, PRESIDENT QUINCI",P40017105,REP,CA
"MULTIMILLIONAIRE, PRESIDENT QUINCI BUS",P40017113,REP,CA
"DARPINO, ANTHONY PRIMO MR",P40010613,REP,PA
"JOSEPH, ROD",S4FL00512,DEM,FL
"RUIZ, DAVID BEN",H4IN01194,REP,IN
"BRUDVIG, JACK",H4WI06121,REP,WI
"SCHREIBER, JUSTIN",H4CO04157,REP,CO
"SHERIDAN, TIMOTHY J",H4CA42086,DEM,CA
"TERRY, RANDAL ALLAN MR.",P40019218,UN,TN
"SOETAERT, MICHAEL",H0KS01180,DEM,KS
"GLASGOW, ROBERT MICHAEL",H4AZ01285,DEM,AZ
"PRYCE, SENATOR QUINCI",P40017121,REP,CA
"HEATH, JEREMY L.",H4IN08256,REP,IN
"QUINCI PRYCE, HOUSE REPRESENTATIVE",P40017139,REP,CA
"PRYCE, ROYAL KING QUINCI",P40017147,REP,CA
"MCDERMOTT, ROBERT",S2HI00155,REP,HI
"ZUMBLUSKAS, MICHAEL K",H6NY14202,REP,NY
"GONZALEZ COLON, JENNIFFER",H6PR00082,PNP,PR
"LOPEZ, FRANCISCO",H2TX23165,REP,TX
"LUCIER, DAVID",H2AZ09241,W,AZ
"AVOURIS, AARON PATRICK",P00015297,LIB,MI
"COLUMBUS, JOHN",S4FL00785,REP,FL
"TAYLOR, SHERRI LYNN",S4TX00623,DEM,TX
"SWIFT, RACHEL HANNAH",P40013369,REP,MD
"FARMS, WILLIAM",P40013377,DEM,OH
"LARSON, JOEL",P40013385,REP,AR
"375 ROB ROY DR, DAVID J SR SR",P40013393,DEM,FL
"375 ROB ROY DR, DAVID J SR SR",P40013401,DEM,FL
"SALISBURY, MATTHEW HARRIS",H4AK01030,REP,AK
"ALI, ADEBISI",P40021339,IDP,SC
"REED BURNS, SHARRON",H4MD02281,DEM,MD
"DRAKE, BRIAN PADRICK MR",P60013455,NNE,MI
"THOMPSON, SARAH ELLEN MRS.",P40016347,REP,GA
"KAFKA, SCOTT JAMES",P40016438,NNE,IL
"WALLACE, BONNIE MS.",H4CA28119,REP,CA
"BOULIN ROMAIN, JACQUELINE",H4FL28059,DEM,FL
"MYERS, DENNIS MICHAEL",H4GA12093,DEM,GA
"LE, DIEN MR",S8CA00663,REP,CA
"GIRN, RIMPI KAUR",H4IN04230,DEM,IN
"GLUBA, NICHOLAS",H4IA01143,LIB,IA
"GLUESENKAMP PEREZ, MARIE",H2WA03217,DEM,WA
"HARRIS, SHAWN",H4GA14057,DEM,GA
"SHELTON, AMANDA LEE",H4GU01011,DEM,GU
