candidate name,party,fec_id,cid
"Baker, Jim",R,H2IN01214,N00050365
"Baker, Mark",D,H2GA13087,N00049538
"Baker, Richard",I,H0TN01191,N00047403
"Baker, Ronald",D,H2GA14127,N00050351
"Balasinski, Chris",I,H2CA48111,N00047926
"Balderson, Troy",R,H8OH12180,N00042194
"Balint, Becca",D,H2VT01076,N00049900
"Ballantine, Michael",R,H2TX06376,N00048584
"Ballard, Jack",D,H2MT01094,N00045197
"Banks, Barbara",R,H2VA11263,N00051120
"Banks, Jim",R,H6IN03229,N00037185
"Banks, Subrina",R,H2OK05177,N00050929
"Banner, Michael",D,H2ID01168,N00045621
"Bansal, Krishna",R,H0IL11128,N00045397
"Banwart, Jen",R,S2NC00513,N00048642
"Banyai, Cindy",D,H0FL19106,N00045229
"Barassi, Nick",R,H2MA02093,N00048519
"Barberena, Carlos",I,S2FL00433,N00045893
"Barbour, DeVan",R,H2NC04168,N00049644
"Barham, Jerry",R,H2MO05378,N00047143
"Barker, Guy Stuart",R,H2OK02281,N00050924
"Barker, John",R,H2NJ03266,N00049679
"Barkley, Mike",D,H2CA00096,N00033200
"Barlow, Evan",R,S2UT00286,N00047702
"Barlow, Will",D,S2OR00127,N00048122
"Barman, Charles",3,H2WI01134,N00051935
"Barnard, Alycia",R,H2FL09210,N00048861
"Barnes, John",D,H2OH11185,N00048019
"Barnes, Mandela",D,S2WI00441,N00049033
"Barnes-Israel, Stu",R,H2IN09258,N00050125
"Barnett, Josh",R,H0AZ07082,N00044446
"Barnette, Kathy",R,S2PA00489,N00046277
"Barosay, Mari Ms",D,H2CA50182,N00048668
"Barr, Andy",R,H0KY06104,N00031233
"Barr, Timothy",R,H2GA10166,N00048512
"Barragan, Nanette",D,H6CA44103,N00037019
"Barrett, Tom",R,H2MI07123,N00049596
"Barrios, Darien",R,H2KY03198,N00049109
"Barry, Charity",R,H2WI02173,N00049192
"Barsky, David",D,H2NY01232,N00050905
"Bartlett, Lisa",R,H2CA49267,N00049473
"Barton, Garrett",R,H2SC07298,N00049166
"Bartos, Jeff",R,S2PA00380,N00048130
"Bartos, Jeff",R,S8PA00262,N00041042
"Barve, Gary",R,H2VA07147,N00048053
"Bashir, Aaron",R,H2PA02170,N00051220
"Basler, Doug",R,H4WA09061,N00036660
"Batchelor, Eric",R,H2NC11239,N00048887
"Batchelor, Geni",R,H2TN05396,N00050471
"Bates, Betsy",R,H2TX08190,N00048777
"Batiste, Belden",I,H8LA02161,N00043712
"Battersby, Mitchell",D,H2CA36470,N00049459
"Battino, Gillian",D,S2WI00334,N00048137
"Baugh, Scott",R,H2CA47196,N00038659
"Baumlin, Kevin",D,S2PA00455,N00048444
"Baxter, Tim",R,H2NH01262,N00048891
"Beach, Emily",D,H2CA14188,N00049440
"Beach-Ferrara, Jasmine",D,H2NC11155,N00048248
"Beachy, Phillip",D,H4IN04032,N00014637
"Beachy, Phillip",I,S2IN00349,N00052077
"Beal, Brian",I,H2AK00440,N00051333
"Bean, Aaron",R,H2FL04211,N00051369
"Bean, Lydia",D,H2TX06236,N00048293
"Beard, Jimmy",D,H2KS01079,N00051391
"Beardsley, Benjamin",D,H2MD03226,N00050635
"Beasley, Cheri",D,S2NC00497,N00048640
"Beatty, John",R,H2VA10141,N00048318
"Beatty, Joyce",D,H2OH03125,N00033904
"Beaubouef, Quinton",D,H2TX37066,N00049864
"Beck, Joel",R,H8NV02137,N00043194
"Beck, Tim",I,H2AK00457,N00051334
"Becker, April",R,H2NV03161,N00048011
"Becker, Nina",R,H2AZ07195,N00049044
"Becker, Rick",R,S2ND00115,N00050538
"Beckley, Michelle",D,H2TX24155,N00049010
"Beckwith, David",R,H2VA10273,N00050487
"Beebe, Rodney Jason",R,S2OR00135,N00048647
"Begich, Nick III",R,H2AK01083,N00049408
"Beierlein, Jeff",R,H2TN05479,N00051111
"Beilstein, Michael",3,H8OR04134,N00030200
"Belinskey, Robyn Mariwe",R,H2WY29017,N00048935
"Bell, Doug",I,H2AL03107,N00038636
"Bell, Jarome",R,H0VA02175,N00045814
"Bell, Matt",D,H2FL06208,N00051370
"Belle, Anita",3,H2MI13386,N00041735
"Bellingham, Chris",D,H2CA25192,N00048165
"Beloin, Gerald",R,S0NH00284,N00032743
"Belson, Elaine",D,H2MD05544,N00049587
"Beltran, Joaquin",D,H2CA42247,N00050575
"Belzer, Brian",R,H2LA06041,N00051629
"Ben-Avi, Tyrrell",I,H2NY13146,N00051512
"Ben-Avi, Tyrrell",I,S2NY00374,N00048432
"Benavides, Tannya",D,H2TX28081,N00048782
"Benda, Matt",R,H2MN01181,N00050645
"Benedetto, Adam Siik",R,S2WI00508,N00050045
"Benfield, Erika",R,H2FL07180,N00048859
"Bengs, Brian",D,S2SD00126,N00050032
"Benjamin, Kirk Alan",D,H2OH10260,N00050164
"Benjamin, Leon",R,H0VA04064,N00046317
"Bennet, Michael",D,S0CO00211,N00030608
"Bennett, John",R,H2OK02224,N00050698
"Bennett, Justin",D,H2SC04162,N00050466
"Bennett, Shantele",I,S2FL00540,N00048397
"Benoit, Chris Mr",R,H2GA02130,N00048691
"Benson, Clyde",I,H2TN04290,N00049771
"Bentley, Karen",R,H2NC13201,N00049664
"Bentz, Cliff",R,H0OR02127,N00045773
"Bequette, Jake",R,S2AR00107,N00048943
"Bera, Ami",D,H0CA03078,N00030717
"Berean, Michael",D,H2NY18095,N00050162
"Berg, Matt",D,H2TX22167,N00048044
"Bergman, John",R,H6MI01226,N00039533
"Bergmann, Charlotte",R,H2TN09232,N00032405
"Berk, Jeffrey",R,H2FL23245,N00051381
"Berman, John",R,S2NH00298,N00047436
"Bernard, Claston",R,H2LA02206,N00047964
"Berrios, Deliris Montanez",D,H2TX16250,N00049807
"Berry, Paul III",R,H2MO02219,N00039309
"Bertges, Brian",I,H2FL15118,N00049516
"Bertone, Frank",I,H2AZ06320,N00050517
"Best, Russell",3,H0NV02167,N00031994
"Betts, Greg",D,H2OH15244,N00048752
"Beutler, Jaime Herrera",R,H0WA03187,N00031559
"Beyer, Brad",R,S2WI00482,N00049406
"Beyer, Don",D,H4VA08224,N00036018
"Bhumitra, Arun",R,S8CA00572,N00043280
"Biaggi, Alessandra",D,H2NY03196,N00050421
"Biasco, Joe",L,H2NJ11244,N00051088
"Bibona, Rosalie Mae",D,S2VT00318,N00051312
"Bice, Stephanie",R,H0OK05205,N00044579
"Biery, David",I,S2KY00103,N00047890
"Bies, David",D,H2AZ02436,N00051341
"Biggs, Andy",R,H6AZ05083,N00039293
"Bilash, Timothy Daniel Dr. M.D.",D,H2CA50190,N00048669
"Bilirakis, Gus",R,H6FL09070,N00027462
"Billand, Mike",R,H2TX02110,N00048035
"Billiott, Beryl",I,S2LA00234,N00052084
"Binns, Chris",R,H2WA06178,N00050735
"Birgans, Kirby",D,H2IL01216,N00048208
"Bish, Chris",R,H0CA06170,N00045471
"Bishop, Dan",R,H0NC09187,N00044335
"Bishop, Jullian",D,H2NC01248,N00050662
"Bishop, Laurie",D,H2MT02076,N00048724
"Bishop, Sanford",D,H2GA02031,N00002674
"Bitterman, Josh",R,H2MI11257,N00050388
"Bivings, Martell",R,H2MI13360,N00051064
"Black, Annie",R,H2NV04128,N00049697
"Black, Colt",R,H2MD08209,N00050136
"Black, Dianne",D,H2MS01148,N00050659
"Black, Gary",R,S2GA00209,N00048824
"Black, Karla",R,H2CA06333,N00051027
"Black, Oliver",3,H2WA03225,N00051660
"Black, Scott",R,H2NH02286,N00050410
"Blacke, Frank",R,H2OK04162,N00051517
"Blacker, Kevin",3,H2CT02195,N00051894
"Blackman, Walt",R,H2AZ01339,N00048149
"Blalock, Andy",R,H2AL05110,N00048146
"Blanchard, Lynda",R,S2AL00137,N00048384
"Blanco, Jaimy",R,H8TX29110,N00042288
"Blandford, Keith",R,H2SC01119,N00032969
"Blaney, Jaqueline",D,H2LA06033,N00049576
"Blankenship, Arnold",R,S2KY00178,N00051248
"Blanton, Joshua Sr",D,S2KY00152,N00051246
"Blasi, Michael",R,H2NJ04181,N00048999
"Blask, Washington",I,H2MA05138,N00049580
"Blatchford, Edgar",D,S6AK00177,N00040107
"Blevins, Kenneth",L,S2OK00236,N00051009
"Bloom, Todd",R,H2WA06186,N00051440
"Blumenauer, Earl",D,H6OR03064,N00007727
"Blumenthal, Richard",D,S0CT00177,N00031685
"Bly, Ray",R,H8MD07042,N00026756
"Bochetto, George",R,S2PA00703,N00050544
"Boddie, Lillie",R,S2AL00194,N00049223
"Boebert, Lauren",R,H0CO03165,N00045974
"Boggus, Michael",R,H0GA09196,N00046186
"Bognet, Jim",R,H0PA08221,N00046439
"Boguslawski, Marvin",R,H2NC07179,N00049657
"Bohannan, Christina",D,H2IA02111,N00049098
"Bolduc, Don",R,S0NH00326,N00044989
"Bollinger, Jason",D,S2OK00137,N00049400
"Bomer, Articia",R,H0MI13505,N00047007
"Bonamici, Suzanne",D,H2OR01133,N00033474
"Bonaventura, Chance",R,H2NV04110,N00049696
"Bond, Michelle",R,H2NY01257,N00051422
"Bond, Steven",R,S2HI00239,N00051696
"Bond, Tiffany",I,H8ME02219,N00041818
"Bonoan, Feena",L,S2HI00171,N00050750
"Book, Ethan",R,H2CT04126,N00032535
"Booker, Charles",D,S0KY00420,N00046366
"Booker,Chrelle",D,S2NC00554,N00049241
"Bookwalter, T Charles",R,H2IN04168,N00050121
"Boone, Jeffrey",D,H2FL10309,N00049511
"Boozman, John",R,S0AR00150,N00013873
"Borden, Debra Jo",I,H2AZ05207,N00051880
"Bordes, Sherrise",I,S2AZ00455,N00052060
"Borgeas, Andreas",R,H2CA22173,N00049445
"Borghese, Rene",R,H2NC04101,N00048111
"Borrell, Eric",I,H2MI10119,N00048716
"Bossert, Clark",R,H2NV03203,N00049144
"Bost, Mike",R,H4IL12060,N00035420
"Boswell, Matt",D,H2FL20126,N00047611
"Botelho, Michelle",R,H2CT05230,N00049494
"Bouchard, Anthony",R,H2WY00158,N00048060
"Boucher, Paul",I,H2WI08071,N00050974
"Bourdeaux, Carolyn",D,H8GA07201,N00041791
"Bourn, Brenda",R,S2ID00160,N00050528
"Bovo, Lucky",L,S2UT00435,N00051167
"Bower, Forrest",D,H2IN03194,N00048516
"Bowers, Richard",I,S2AL00210,N00049973
"Bowles, Jamie Campbell",D,H2NC13276,N00051071
"Bowman, Jamaal",D,H0NY16143,N00044790
"Bowman, Raleigh",D,H2IL05191,N00047867
"Boyanton, Carl",R,H0MS04161,N00045737
"Boyce, Richard",I,H6WA10015,N00040068
"Boyd, Mike",R,H0AZ02299,N00046507
"Boyd, Will",D,S2AL00251,N00031440
"Boyette, Hayden",I,S2NC00299,N00047854
"Boyette, James",R,H2MT02142,N00050143
"Boykin, Peter",R,H2NC13169,N00048889
"Boyle, Brendan",D,H4PA13199,N00035307
"Bozic, David",R,S2AZ00448,N00051694
"Bracy, Randolph",D,H2FL10200,N00048680
"Braddock, Will",R,H2FL13253,N00048685
"Bradley, Christopher",D,H2FL14269,N00049079
"Bradley, James",R,S8CA00515,N00043073
"Braga, Bryan",3,H2VT01050,N00048790
"Brakebill-Hacke, Sarah",D,H2MN01207,N00050647
"Branco, Patrick",D,H2HI02599,N00051050
"Brandt, David",I,H2CA15128,N00049441
"Brannon, Mary",D,H8OK04094,N00043369
"Branscum, Coy",D,H2TX21177,N00049343
"Brantley, Derrick",I,H2TN05412,N00050711
"Brattin, Rick",R,H2MO04199,N00049616
"Braun, Carly",R,H2WV01128,N00049196
"Braun, Jonathan",D,H2CA28154,N00047922
"Braxill, Mark",R,H2MN03120,N00049608
"Bray, Shannon",L,S0NC00335,N00044028
"Brazeal, Brian",R,H2TX26218,N00049827
"Brecheen, Josh",R,H2OK02315,N00051106
"Bredar, Joe",I,H2AK00564,N00051874
"Brelsford, Gregg",I,H2AK01075,N00048655
"Bremer, Eli",R,S2CO00209,N00049226
"Breslin, Karen",D,S2CO00191,N00049027
"Brewer, Eric",R,H2OH11326,N00051099
"Brewster, Bill",R,H2NC13151,N00044339
"Breyfogle, Russel Pealer Jr.",R,S2MO00783,N00051703
"Brian, Lee",R,S2NC00273,N00041515
"Bridger, Danny Jr",R,H2TN08192,N00051653
"Brinkmann, John",R,S2MO00510,N00048411
"Briscoe, John",R,H8CA47078,N00042788
"Britt, Katie Boyd",R,S2AL00145,N00048812
"Brittain, Craig",R,S8AZ00189,N00041919
"Britvec, Kel",D,H0FL15096,N00046524
"Brnovich, Mark",R,S2AZ00356,N00048814
"Broad, Adam",D,H0IL10377,N00045495
"Brock, Matthew",R,H2CA04148,N00050558
"Brog, David",R,H2NV01298,N00050417
"Brooks, Linda",I,H2FL02140,N00048176
"Brooks, Mo",R,S8AL00381,N00030910
"Brooks, Natisha",R,H2TN05347,N00049167
"Brooks, Raymond N",R,H2MS04266,N00048527
"Brotschol, Hillery",R,H2NJ11137,N00048000
"Broun, Paul",R,H2GA10125,N00028986
"Brower, Doug",R,H2CA02209,N00049048
"Brown, Anthony",D,H6MD04209,N00036999
"Brown, Corrine",D,H2FL10358,N00002713
"Brown, Gail Huff",R,H2NH01288,N00049135
"Brown, Gavin",D,H2FL15225,N00051038
"Brown, Jesse",R,H2MA09239,N00048520
"Brown, Kathleen",D,H2TX13117,N00048590
"Brown, Nathan",R,H2CA16142,N00048853
"Brown, Robert",3,H2AK00382,N00051327
"Brown, Sakima",R,H6NY18161,N00037612
"Brown, Sam",R,S2NV00308,N00048949
"Brown, Shontel",D,H2OH11169,N00047875
"Brown, Tyron",D,H2NC03103,N00048995
"Brownley, Julia",D,H2CA00120,N00034254
"Broyles, Abby",D,H2OK05151,N00045883
"Brubaker, Richard",L,H2WY00125,N00035139
"Bruce, Catherine",D,S2SC00145,N00050766
"Bruce, Kalena",R,H2MO04173,N00049120
"Bruno, Eric",D,H2PA01131,N00050173
"Brunson, Loy",R,S0UT00231,N00033163
"Bryant, Alex",R,H2MO07184,N00050404
"Bryant, Leonard",R,S2NC00596,N00050002
"Bryk, William",D,H2NH02211,N00000931
"Bucardo, Jennyfer",R,H0NC06209,N00045255
"Buccola, Brandon",R,H2NY19119,N00048550
"Buchanan, Gary",I,H2MT02167,N00050661
"Buchanan, Vernon",R,H6FL13148,N00027626
"Buchser-Lochocki, Susan",R,H2WV02183,N00050209
"Buck, Ken",R,H4CO04090,N00030829
"Buckner, Duke",R,H2SC06142,N00045885
"Bucshon, Larry",R,H0IN08114,N00031227
"Budd, Joe",R,H2FL23138,N00051179
"Budd, Ted",R,S2NC00505,N00039551
"Budzinski, Nikki",D,H2IL13153,N00049102
"Buerger, Cole",D,H2CO03302,N00049065
"Buford, James",R,H2TX06392,N00049172
"Bulecza, Drew",R,S2NC00604,N00050003
"Bullock, Christopher",I,S2AZ00463,N00052061
"Bunn, Jim",R,H2OR06116,N00050449
"Buongiorno, Jeffrey",R,H2FL21082,N00048192
"Burau, Justin",R,H2IL06082,N00048211
"Burchett, Tim",R,H8TN02119,N00041594
"Burg, David",R,H2NJ04199,N00049680
"Burgess, Michael",R,H2TX26093,N00025219
"Burke, Robert",R,H2MA08090,N00051737
"Burkett, Ryan",I,H0WA08145,N00047423
"Burks, Courtney",I,H1SC01012,N00047904
"Burks, Taylor",R,H2MO04140,N00048722
"Burleson, Wade",R,H2OK03123,N00050168
"Burley, Brian",R,H0CA48172,N00044303
"Burlison, Eric",R,H2MO07143,N00049123
"Burnett, Debby",D,H2CO03278,N00048485
"Burns, Bob",R,H2NH00025,N00043442
"Burns, Emily",R,H2MA04115,N00049296
"Burns, George",R,H2NY23160,N00050435
"Burns, Mark",R,H2SC04147,N00042910
"Burril, Matthew",R,H2NC14043,N00046250
"Burrows, Candice",R,H2TX08265,N00049340
"Burton, Daniel Jr",R,H2PA00034,N00048278
"Burton, Hasani",D,H2TX37058,N00049863
"Busch Valentine, Trudy",D,S2MO00692,N00051005
"Busch, Mark",R,H6FL07124,N00039257
"Bush, Cori",D,H8MO01143,N00039373
"Bushay, Louis",R,H2SC07264,N00048576
"Buskirk, Paul",D,S2KS00139,N00051579
"Butler, Chris",D,H2IL01232,N00048210
"Butler, Darrius",D,H2GA08095,N00050094
"Butler, Jon",I,S8WA00376,N00043635
"Butler, Stephen",R,H2OK03156,N00051516
"Buttar, Shahid",D,H8CA12262,N00042779
"Butts, Pamela Pinkney",D,H2OH11235,N00042192
"Bye, Chris",L,H2AK01216,N00051022
"Bynoe, Siela",D,H2NY04178,N00050422
"Byrd, Chris",I,H2WA03233,N00051661
"Byrd, Colin",D,H2MD05528,N00047897
"Cabral, Justin",R,H2KS02168,N00050374
"Cabrera, Ed",R,H2TX28107,N00049346
"Calabrese, Curtis",D,H2FL22189,N00050814
"Calhoun, Mike",R,H2NE03064,N00051074
"Calkins, Aaron (A.J.)",D,H2IN03236,N00051054
"Call, Jason",D,H0WA02189,N00045306
"Callahan, John",R,H2AK00275,N00051316
"Callan, Martin",R,H2AZ05199,N00051615
"Callis, Michael",R,H6NH01263,N00028579
"Calvert, Ken",R,H2CA37023,N00007099
"Cammack, Kat",R,H0FL03175,N00045978
"Campana, Gino",R,S2CO00225,N00049383
"Campbell, Bill",R,H2UT01276,N00050480
"Campbell, Heidi",D,H2TN05438,N00050942
"Campbell, Jim",R,H2MO04231,N00050403
"Campbell, Landon",R,H2FL14293,N00051176
"Canady, Sara",R,H2TX15187,N00049802
"Canepa, David",D,H2CA14170,N00049439
"Cannata, David B",R,H2MA04123,N00051630
"Canning, Doyle",D,H2OR04160,N00044723
"Cannon, Allen",I,H4NJ12164,N00036762
"Cannon, Beau",D,H2GA11222,N00048203
"Cannon, Tina",R,H2UT01284,N00045169
"Canny, David",L,H0MI04140,N00047739
"Canton, Stephen",I,H2FL21199,N00051040
"Cantu Cabrera, Juana",R,H2TX34212,N00050723
"Cao, Hung",R,H2VA10240,N00050203
"Caplan, Stan",R,H2CA51206,N00049476
"Caraveo, Yadira",D,H2CO08020,N00049068
"Caraway, Barbara Mallory",D,H2TX30079,N00033544
"Carbajal, Salud",D,H6CA24303,N00037015
"Carbonaro, Anthony",I,H2MI13394,N00051395
"Carcamo, Rafael",R,H2CA35142,N00050315
"Cardenas, Tony",D,H2CA28113,N00033373
"Carey, Jan",D,H2NC11189,N00048251
"Carey, Mike",R,H2OH15228,N00048568
"Cargile, Mike",R,H0CA35146,N00045967
"Carl, Jerry",R,H0AL01055,N00044245
"Carle, Arlene",I,H2AK00390,N00051328
"Carleton, DeeDee",R,S0WI00254,N00048811
"Carlin, Jim",R,S2IA00131,N00048405
