first_name,last_name,full_name,date_of_birth,age,assumed_office,tenure_months,tenure_years,tenure_pretty
Roger,Marshall,Roger Marshall,1960-08-09,65,2021-01-03,56,4.67,"4 years, 8 months"
Mitch,McConnell,Mitch McConnell,1942-02-20,83,1985-01-03,488,40.67,"40 years, 8 months"
Rand,Paul,Rand Paul,1963-01-07,62,2011-01-03,176,14.67,"14 years, 8 months"
Bill,Cassidy,Bill Cassidy,1957-09-28,68,2015-01-03,128,10.67,"10 years, 8 months"
John,Kennedy,John Kennedy,1951-11-21,73,2017-01-03,104,8.67,"8 years, 8 months"
Susan,Collins,Susan Collins,1952-12-07,72,1997-01-03,344,28.67,"28 years, 8 months"
Angus,King,Angus King,1944-03-31,81,2013-01-03,152,12.67,"12 years, 8 months"
Chris,Van Hollen,Chris Van Hollen,1959-01-10,66,2017-01-03,104,8.67,"8 years, 8 months"
Angela,Alsobrooks,Angela Alsobrooks,1971-02-23,54,2025-01-03,8,0.67,8 months
Elizabeth,Warren,Elizabeth Warren,1949-06-22,76,2013-01-03,152,12.67,"12 years, 8 months"
Ed,Markey,Ed Markey,1946-07-11,79,2013-07-16,146,12.17,"12 years, 2 months"
Gary,Peters,Gary Peters,1958-12-01,66,2015-01-03,128,10.67,"10 years, 8 months"
Elissa,Slotkin,Elissa Slotkin,1976-07-10,49,2025-01-03,8,0.67,8 months
Amy,Klobuchar,Amy Klobuchar,1960-05-25,65,2007-01-03,224,18.67,"18 years, 8 months"
Tina,Smith,Tina Smith,1958-03-04,67,2018-01-03,92,7.67,"7 years, 8 months"
Roger,Wicker,Roger Wicker,1951-07-05,74,2007-12-31,212,17.67,"17 years, 8 months"
Cindy,Hyde-Smith,Cindy Hyde-Smith,1959-05-10,66,2018-04-09,89,7.42,"7 years, 5 months"
Josh,Hawley,Josh Hawley,1979-12-31,45,2019-01-03,80,6.67,"6 years, 8 months"
Eric,Schmitt,Eric Schmitt,1975-06-20,50,2023-01-03,32,2.67,"2 years, 8 months"
Steve,Daines,Steve Daines,1962-08-20,63,2015-01-03,128,10.67,"10 years, 8 months"
Tim,Sheehy,Tim Sheehy,1985-11-18,39,2025-01-03,8,0.67,8 months
Deb,Fischer,Deb Fischer,1951-03-01,74,2013-01-03,152,12.67,"12 years, 8 months"
Pete,Ricketts,Pete Ricketts,1964-08-19,61,2023-01-12,32,2.67,"2 years, 8 months"
Catherine,Cortez Masto,Catherine Cortez Masto,1964-03-29,61,2017-01-03,104,8.67,"8 years, 8 months"
Jacky,Rosen,Jacky Rosen,1957-08-02,68,2019-01-03,80,6.67,"6 years, 8 months"
Jeanne,Shaheen,Jeanne Shaheen,1947-01-28,78,2009-01-03,200,16.67,"16 years, 8 months"
Maggie,Hassan,Maggie Hassan,1958-02-27,67,2017-01-03,104,8.67,"8 years, 8 months"
Cory,Booker,Cory Booker,1969-04-27,56,2013-10-31,142,11.83,"11 years, 10 months"
Andy,Kim,Andy Kim,1982-07-12,43,2024-12-08,9,0.75,9 months
Martin,Heinrich,Martin Heinrich,1971-10-17,53,2013-01-03,152,12.67,"12 years, 8 months"
Ben Ray,Luján,Ben Ray Luján,1972-06-07,53,2021-01-03,56,4.67,"4 years, 8 months"
Chuck,Schumer,Chuck Schumer,1950-11-23,74,1999-01-03,320,26.67,"26 years, 8 months"
Kirsten,Gillibrand,Kirsten Gillibrand,1966-12-09,58,2009-01-26,200,16.67,"16 years, 8 months"
Thom,Tillis,Thom Tillis,1960-08-30,65,2015-01-03,128,10.67,"10 years, 8 months"
Ted,Budd,Ted Budd,1971-10-21,53,2023-01-03,32,2.67,"2 years, 8 months"
John,Hoeven,John Hoeven,1957-03-13,68,2011-01-03,176,14.67,"14 years, 8 months"
Kevin,Cramer,Kevin Cramer,1961-01-21,64,2019-01-03,80,6.67,"6 years, 8 months"
Bernie,Moreno,Bernie Moreno,1967-02-14,58,2025-01-03,8,0.67,8 months
Jon,Husted,Jon Husted,1967-08-25,58,2025-01-21,8,0.67,8 months
James,Lankford,James Lankford,1968-03-04,57,2015-01-03,128,10.67,"10 years, 8 months"
Markwayne,Mullin,Markwayne Mullin,1977-07-26,48,2023-01-03,32,2.67,"2 years, 8 months"
Ron,Wyden,Ron Wyden,1949-05-03,76,1996-02-05,355,29.58,"29 years, 7 months"
Jeff,Merkley,Jeff Merkley,1956-10-24,68,2009-01-03,200,16.67,"16 years, 8 months"
John,Fetterman,John Fetterman,1969-08-15,56,2023-01-03,32,2.67,"2 years, 8 months"
Dave,McCormick,Dave McCormick,1965-08-17,60,2025-01-03,8,0.67,8 months
Jack,Reed,Jack Reed,1949-11-12,75,1997-01-03,344,28.67,"28 years, 8 months"
Sheldon,Whitehouse,Sheldon Whitehouse,1955-10-20,69,2007-01-03,224,18.67,"18 years, 8 months"
Lindsey,Graham,Lindsey Graham,1955-07-09,70,2003-01-03,272,22.67,"22 years, 8 months"
Tim,Scott,Tim Scott,1965-09-19,60,2013-01-02,152,12.67,"12 years, 8 months"
John,Thune,John Thune,1961-01-07,64,2005-01-03,248,20.67,"20 years, 8 months"
Mike,Rounds,Mike Rounds,1954-10-24,70,2015-01-03,128,10.67,"10 years, 8 months"
Marsha,Blackburn,Marsha Blackburn,1952-06-06,73,2019-01-03,80,6.67,"6 years, 8 months"
Bill,Hagerty,Bill Hagerty,1959-08-14,66,2021-01-03,56,4.67,"4 years, 8 months"
John,Cornyn,John Cornyn,1952-02-02,73,2002-12-02,273,22.75,"22 years, 9 months"
Ted,Cruz,Ted Cruz,1970-12-22,54,2013-01-03,152,12.67,"12 years, 8 months"
Mike,Lee,Mike Lee,1971-06-04,54,2011-01-03,176,14.67,"14 years, 8 months"
John,Curtis,John Curtis,1960-05-10,65,2025-01-03,8,0.67,8 months
Bernie,Sanders,Bernie Sanders,1941-09-08,84,2007-01-03,224,18.67,"18 years, 8 months"
Peter,Welch,Peter Welch,1947-05-02,78,2023-01-03,32,2.67,"2 years, 8 months"
Mark,Warner,Mark Warner,1954-12-15,70,2009-01-03,200,16.67,"16 years, 8 months"
Tim,Kaine,Tim Kaine,1958-02-26,67,2013-01-03,152,12.67,"12 years, 8 months"
Patty,Murray,Patty Murray,1950-10-11,74,1993-01-03,392,32.67,"32 years, 8 months"
Maria,Cantwell,Maria Cantwell,1958-10-13,66,2001-01-03,296,24.67,"24 years, 8 months"
Shelley Moore,Capito,Shelley Moore Capito,1953-11-26,71,2015-01-03,128,10.67,"10 years, 8 months"
Jim,Justice,Jim Justice,1951-04-27,74,2025-01-14,8,0.67,8 months
Ron,Johnson,Ron Johnson,1955-04-08,70,2011-01-03,176,14.67,"14 years, 8 months"
Tammy,Baldwin,Tammy Baldwin,1962-02-11,63,2013-01-03,152,12.67,"12 years, 8 months"
John,Barrasso,John Barrasso,1952-07-21,73,2007-06-25,219,18.25,"18 years, 3 months"
Cynthia,Lummis,Cynthia Lummis,1954-09-10,71,2021-01-03,56,4.67,"4 years, 8 months"
