first_name,last_name,full_name,date_of_birth,age
Diana,DeGette,Diana DeGette,1957-07-29,68
Joe,Neguse,Joe Neguse,1984-05-13,41
Jeff,Hurd,Jeff Hurd,1979-08-15,46
Lauren,Boebert,Lauren Boebert,1986-12-15,38
Jeff,Crank,Jeff Crank,1967-01-28,58
Jason,Crow,Jason Crow,1979-03-15,46
Brittany,Pettersen,Brittany Pettersen,1981-12-06,43
Gabe,Evans,Gabe Evans,1986-07-28,39
John B.,Larson,John B. Larson,1948-07-22,77
Joe,Courtney,Joe Courtney,1953-04-06,72
Rosa,DeLauro,Rosa DeLauro,1943-03-02,82
Jim,Himes,Jim Himes,1966-07-05,59
Jahana,Hayes,Jahana Hayes,1973-03-08,52
Sarah,McBride,Sarah McBride,1990-08-09,35
Jimmy,Patronis,Jimmy Patronis,1972-04-13,53
Neal,Dunn,Neal Dunn,1953-02-16,72
Kat,Cammack,Kat Cammack,1988-02-16,37
Aaron,Bean,Aaron Bean,1967-01-25,58
John,Rutherford,John Rutherford,1952-09-02,73
Randy,Fine,Randy Fine,1974-04-20,51
Cory,Mills,Cory Mills,1980-07-13,45
Mike,Haridopolos,Mike Haridopolos,1970-03-15,55
Darren,Soto,Darren Soto,1978-02-25,47
Maxwell,Frost,Maxwell Frost,1997-01-17,28
Daniel,Webster,Daniel Webster,1949-04-27,76
Gus,Bilirakis,Gus Bilirakis,1963-02-08,62
Anna Paulina,Luna,Anna Paulina Luna,1989-05-06,36
Kathy,Castor,Kathy Castor,1966-08-20,59
Laurel,Lee,Laurel Lee,1974-03-26,51
Vern,Buchanan,Vern Buchanan,1951-05-08,74
Greg,Steube,Greg Steube,1978-05-19,47
Scott,Franklin,Scott Franklin,1964-08-23,61
Byron,Donalds,Byron Donalds,1978-10-26,46
Sheila,Cherfilus-McCormick,Sheila Cherfilus-McCormick,1979-01-25,46
Brian,Mast,Brian Mast,1980-07-10,45
Lois,Frankel,Lois Frankel,1948-05-16,77
Jared,Moskowitz,Jared Moskowitz,1980-12-18,44
Frederica,Wilson,Frederica Wilson,1942-11-05,82
Debbie Wasserman,Schultz,Debbie Wasserman Schultz,1966-09-27,59
Mario,Díaz-Balart,Mario Díaz-Balart,1961-09-25,64
María Elvira,Salazar,María Elvira Salazar,1961-11-01,63
Carlos,Giménez,Carlos Giménez,1954-01-17,71
Buddy,Carter,Buddy Carter,1957-09-06,68
Sanford,Bishop,Sanford Bishop,1947-02-04,78
Brian,Jack,Brian Jack,1988-02-17,37
Hank,Johnson,Hank Johnson,1954-10-02,70
Nikema,Williams,Nikema Williams,1978-07-30,47
Lucy,McBath,Lucy McBath,1960-06-01,65
Rich,McCormick,Rich McCormick,1968-10-07,56
Austin,Scott,Austin Scott,1969-12-10,55
Andrew,Clyde,Andrew Clyde,1963-11-22,61
Mike,Collins,Mike Collins,1967-07-02,58
Barry,Loudermilk,Barry Loudermilk,1963-12-22,61
Rick,Allen,Rick Allen,1951-11-07,73
David,Scott,David Scott,1945-06-27,80
Marjorie Taylor,Greene,Marjorie Taylor Greene,1974-05-27,51
Ed,Case,Ed Case,1952-09-27,73
Jill,Tokuda,Jill Tokuda,1976-03-03,49
Russ,Fulcher,Russ Fulcher,1962-03-09,63
Mike,Simpson,Mike Simpson,1950-09-08,75
Jonathan,Jackson,Jonathan Jackson,1966-01-07,59
Robin,Kelly,Robin Kelly,1956-04-30,69
Delia,Ramirez,Delia Ramirez,1983-06-02,42
Chuy,García,Chuy García,1956-04-12,69
Mike,Quigley,Mike Quigley,1958-10-17,66
Sean,Casten,Sean Casten,1971-11-23,53
Danny,Davis,Danny Davis,1941-09-06,84
Raja,Krishnamoorthi,Raja Krishnamoorthi,1973-07-19,52
Jan,Schakowsky,Jan Schakowsky,1944-05-26,81
Brad,Schneider,Brad Schneider,1961-08-20,64
Bill,Foster,Bill Foster,1955-10-07,69
Mike,Bost,Mike Bost,1960-12-30,64
Nikki,Budzinski,Nikki Budzinski,1977-03-11,48
Lauren,Underwood,Lauren Underwood,1986-10-04,38
Mary,Miller,Mary Miller,1959-08-27,66
Darin,LaHood,Darin LaHood,1968-07-05,57
Eric,Sorensen,Eric Sorensen,1976-03-18,49
Frank J.,Mrvan,Frank J. Mrvan,1969-04-16,56
Rudy,Yakym,Rudy Yakym,1984-02-24,41
Marlin,Stutzman,Marlin Stutzman,1976-08-31,49
Jim,Baird,Jim Baird,1945-06-04,80
Victoria,Spartz,Victoria Spartz,1978-10-06,46
Jefferson,Shreve,Jefferson Shreve,1965-09-24,60
André,Carson,André Carson,1974-10-16,50
Mark,Messmer,Mark Messmer,1967-12-16,57
Erin,Houchin,Erin Houchin,1976-09-24,49
Mariannette,Miller-Meeks,Mariannette Miller-Meeks,1955-09-06,70
Ashley,Hinson,Ashley Hinson,1983-06-27,42
Zach,Nunn,Zach Nunn,1979-05-04,46
Randy,Feenstra,Randy Feenstra,1969-01-14,56
Tracey,Mann,Tracey Mann,1976-12-17,48
Derek,Schmidt,Derek Schmidt,1968-01-23,57
Sharice,Davids,Sharice Davids,1980-05-22,45
Ron,Estes,Ron Estes,1956-07-19,69
James,Comer,James Comer,1972-08-19,53
Brett,Guthrie,Brett Guthrie,1964-02-18,61
Morgan,McGarvey,Morgan McGarvey,1979-12-23,45
Thomas,Massie,Thomas Massie,1971-01-13,54
Hal,Rogers,Hal Rogers,1937-12-31,87
Andy,Barr,Andy Barr,1973-07-24,52
Steve,Scalise,Steve Scalise,1965-10-06,59
Troy,Carter,Troy Carter,1963-10-26,61
Clay,Higgins,Clay Higgins,1961-08-24,64
Mike,Johnson,Mike Johnson,1972-01-30,53
Julia,Letlow,Julia Letlow,1981-03-16,44
Cleo,Fields,Cleo Fields,1962-11-22,62
Chellie,Pingree,Chellie Pingree,1955-04-02,70
Jared,Golden,Jared Golden,1982-07-25,43
Andy,Harris,Andy Harris,1957-01-25,68
Johnny,Olszewski,Johnny Olszewski,1982-09-10,43
Sarah,Elfreth,Sarah Elfreth,1988-09-09,37
Glenn,Ivey,Glenn Ivey,1961-02-27,64
Steny,Hoyer,Steny Hoyer,1939-06-14,86
April McClain,Delaney,April McClain Delaney,1964-05-28,61
Kweisi,Mfume,Kweisi Mfume,1948-10-24,76
Jamie,Raskin,Jamie Raskin,1962-12-13,62
Richard,Neal,Richard Neal,1949-02-14,76
Jim,McGovern,Jim McGovern,1959-11-20,65
Lori,Trahan,Lori Trahan,1973-10-27,51
Jake,Auchincloss,Jake Auchincloss,1988-01-29,37
Katherine,Clark,Katherine Clark,1963-07-17,62
Seth,Moulton,Seth Moulton,1978-10-24,46
Ayanna,Pressley,Ayanna Pressley,1974-02-03,51
Stephen F.,Lynch,Stephen F. Lynch,1955-03-31,70
Bill,Keating,Bill Keating,1952-09-06,73
Jack,Bergman,Jack Bergman,1947-02-02,78
John,Moolenaar,John Moolenaar,1961-05-08,64
Hillary,Scholten,Hillary Scholten,1982-02-22,43
Bill,Huizenga,Bill Huizenga,1969-01-31,56
Tim,Walberg,Tim Walberg,1951-04-12,74
Debbie,Dingell,Debbie Dingell,1953-11-23,71
Tom,Barrett,Tom Barrett,1981-04-30,44
Kristen McDonald,Rivet,Kristen McDonald Rivet,1970-07-11,55
Lisa,McClain,Lisa McClain,1966-04-07,59
John,James,John James,1981-06-08,44
Haley,Stevens,Haley Stevens,1983-06-24,42
Rashida,Tlaib,Rashida Tlaib,1976-07-24,49
Shri,Thanedar,Shri Thanedar,1955-02-22,70
Brad,Finstad,Brad Finstad,1976-05-30,49
Angie,Craig,Angie Craig,1972-02-14,53
Kelly,Morrison,Kelly Morrison,1969-02-02,56
Betty,McCollum,Betty McCollum,1954-07-12,71
Ilhan,Omar,Ilhan Omar,1982-10-04,42
Tom,Emmer,Tom Emmer,1961-03-03,64
Michelle,Fischbach,Michelle Fischbach,1965-11-03,59
Pete,Stauber,Pete Stauber,1966-05-10,59
Trent,Kelly,Trent Kelly,1966-03-01,59
Bennie,Thompson,Bennie Thompson,1948-01-28,77
Michael,Guest,Michael Guest,1970-02-04,55
Mike,Ezell,Mike Ezell,1959-04-06,66
Wesley,Bell,Wesley Bell,1974-11-05,50
Ann,Wagner,Ann Wagner,1962-09-13,63
Bob,Onder,Bob Onder,1962-01-06,63
Mark,Alford,Mark Alford,1963-10-04,61
Emanuel,Cleaver,Emanuel Cleaver,1944-10-26,80
Sam,Graves,Sam Graves,1963-11-07,61
Eric,Burlison,Eric Burlison,1976-10-02,48
Jason,Smith,Jason Smith,1980-06-16,45
Ryan,Zinke,Ryan Zinke,1961-11-01,63
Troy,Downing,Troy Downing,1967-03-04,58
Mike,Flood,Mike Flood,1975-02-23,50
Don,Bacon,Don Bacon,1963-08-16,62
Adrian,Smith,Adrian Smith,1970-12-19,54
Dina,Titus,Dina Titus,1950-05-23,75
Mark,Amodei,Mark Amodei,1958-06-12,67
Susie,Lee,Susie Lee,1966-11-07,58
Steven,Horsford,Steven Horsford,1973-04-29,52
Chris,Pappas,Chris Pappas,1980-06-04,45
Maggie,Goodlander,Maggie Goodlander,1986-11-04,38
Donald,Norcross,Donald Norcross,1958-12-13,66
Jeff Van,Drew,Jeff Van Drew,1953-02-23,72
Herb,Conaway,Herb Conaway,1963-01-30,62
Chris,Smith,Chris Smith,1953-03-04,72
Josh,Gottheimer,Josh Gottheimer,1975-03-08,50
Frank,Pallone,Frank Pallone,1951-10-30,73
Thomas Kean,Jr.,Thomas Kean Jr.,1968-09-05,57
Rob,Menendez,Rob Menendez,1985-07-12,40
Nellie,Pou,Nellie Pou,1956-05-20,69
LaMonica,McIver,LaMonica McIver,1986-06-20,39
Mikie,Sherrill,Mikie Sherrill,1972-01-19,53
Bonnie Watson,Coleman,Bonnie Watson Coleman,1945-02-06,80
Melanie,Stansbury,Melanie Stansbury,1979-01-31,46
Gabe,Vasquez,Gabe Vasquez,1984-08-03,41
Teresa Leger,Fernandez,Teresa Leger Fernandez,1959-07-01,66
Nick,LaLota,Nick LaLota,1978-06-23,47
Andrew,Garbarino,Andrew Garbarino,1984-09-27,41
Tom,Suozzi,Tom Suozzi,1962-08-31,63
Laura,Gillen,Laura Gillen,1969-07-10,56
Gregory,Meeks,Gregory Meeks,1953-09-25,72
Grace,Meng,Grace Meng,1975-10-01,49
Nydia,Velázquez,Nydia Velázquez,1953-03-28,72
Hakeem,Jeffries,Hakeem Jeffries,1970-08-04,55
Yvette,Clarke,Yvette Clarke,1964-11-21,60
Dan,Goldman,Dan Goldman,1976-02-26,49
Nicole,Malliotakis,Nicole Malliotakis,1980-11-11,44
Jerry,Nadler,Jerry Nadler,1947-06-13,78
Adriano,Espaillat,Adriano Espaillat,1954-09-27,71
Alexandria,Ocasio-Cortez,Alexandria Ocasio-Cortez,1989-10-13,35
Ritchie,Torres,Ritchie Torres,1988-03-12,37
George,Latimer,George Latimer,1953-11-22,71
Mike,Lawler,Mike Lawler,1986-09-09,39
Pat,Ryan,Pat Ryan,1982-03-28,43
Josh,Riley,Josh Riley,1981-01-21,44
Paul,Tonko,Paul Tonko,1949-06-18,76
Elise,Stefanik,Elise Stefanik,1984-07-02,41
John,Mannion,John Mannion,1968-07-08,57
Nick,Langworthy,Nick Langworthy,1981-02-27,44
Claudia,Tenney,Claudia Tenney,1961-02-04,64
Joseph,Morelle,Joseph Morelle,1957-04-29,68
Tim,Kennedy,Tim Kennedy,1976-10-20,48
Don,Davis,Don Davis,1971-08-29,54
Deborah,Ross,Deborah Ross,1963-06-20,62
Greg,Murphy,Greg Murphy,1963-03-05,62
Valerie,Foushee,Valerie Foushee,1956-05-07,69
Addison,McDowell,Addison McDowell,1994-01-21,31
David,Rouzer,David Rouzer,1972-02-16,53
Mark,Harris,Mark Harris,1966-04-24,59
Richard,Hudson,Richard Hudson,1971-11-04,53
Pat,Harrigan,Pat Harrigan,1987-06-21,38
Chuck,Edwards,Chuck Edwards,1960-09-13,65
Alma,Adams,Alma Adams,1946-05-27,79
Brad,Knott,Brad Knott,1986-04-17,39
Tim,Moore,Tim Moore,1970-10-02,54
Julie,Fedorchak,Julie Fedorchak,1968-09-28,57
Greg,Landsman,Greg Landsman,1976-12-04,48
David,Taylor,David Taylor,1969-11-16,55
Joyce,Beatty,Joyce Beatty,1950-03-12,75
Jim,Jordan,Jim Jordan,1964-02-17,61
Bob,Latta,Bob Latta,1956-04-18,69
Michael,Rulli,Michael Rulli,1969-03-11,56
Max,Miller,Max Miller,1988-11-13,36
Warren,Davidson,Warren Davidson,1970-03-01,55
Marcy,Kaptur,Marcy Kaptur,1946-06-17,79
Mike,Turner,Mike Turner,1960-01-11,65
Shontel,Brown,Shontel Brown,1975-06-24,50
Troy,Balderson,Troy Balderson,1962-01-16,63
Emilia,Sykes,Emilia Sykes,1986-01-04,39
David,Joyce,David Joyce,1957-03-17,68
Mike,Carey,Mike Carey,1971-03-13,54
Kevin,Hern,Kevin Hern,1961-12-04,63
Josh,Brecheen,Josh Brecheen,1979-06-19,46
Frank,Lucas,Frank Lucas,1960-01-06,65
Tom,Cole,Tom Cole,1949-04-28,76
Stephanie,Bice,Stephanie Bice,1973-11-11,51
Suzanne,Bonamici,Suzanne Bonamici,1954-10-14,70
Cliff,Bentz,Cliff Bentz,1952-01-12,73
Maxine,Dexter,Maxine Dexter,1972-12-05,52
Val,Hoyle,Val Hoyle,1964-02-14,61
Janelle,Bynum,Janelle Bynum,1975-01-31,50
Andrea,Salinas,Andrea Salinas,1969-12-06,55
Brian,Fitzpatrick,Brian Fitzpatrick,1973-12-17,51
Brendan,Boyle,Brendan Boyle,1977-02-06,48
Dwight,Evans,Dwight Evans,1954-05-16,71
Madeleine,Dean,Madeleine Dean,1959-06-06,66
Mary Gay,Scanlon,Mary Gay Scanlon,1959-08-30,66
Chrissy,Houlahan,Chrissy Houlahan,1967-06-05,58
Ryan,Mackenzie,Ryan Mackenzie,1982-08-03,43
Rob,Bresnahan,Rob Bresnahan,1990-04-22,35
Dan,Meuser,Dan Meuser,1964-02-10,61
Scott,Perry,Scott Perry,1962-05-27,63
Lloyd,Smucker,Lloyd Smucker,1964-01-23,61
Summer,Lee,Summer Lee,1987-11-26,37
John,Joyce,John Joyce,1957-02-08,68
Guy,Reschenthaler,Guy Reschenthaler,1983-04-17,42
Glenn,Thompson,Glenn Thompson,1959-07-27,66
Mike,Kelly,Mike Kelly,1948-05-10,77
Chris,Deluzio,Chris Deluzio,1984-07-13,41
Gabe,Amo,Gabe Amo,1987-12-11,37
Seth,Magaziner,Seth Magaziner,1983-07-22,42
Nancy,Mace,Nancy Mace,1977-12-04,47
Joe,Wilson,Joe Wilson,1947-07-31,78
Sheri,Biggs,Sheri Biggs,1970-03-28,55
William,Timmons,William Timmons,1984-04-30,41
Ralph,Norman,Ralph Norman,1953-06-20,72
Jim,Clyburn,Jim Clyburn,1940-07-21,85
Russell,Fry,Russell Fry,1985-01-31,40
Dusty,Johnson,Dusty Johnson,1976-09-30,48
Diana,Harshbarger,Diana Harshbarger,1960-01-01,65
Tim,Burchett,Tim Burchett,1964-08-25,61
Chuck,Fleischmann,Chuck Fleischmann,1962-10-11,62
Scott,DesJarlais,Scott DesJarlais,1964-02-21,61
Andy,Ogles,Andy Ogles,1971-06-18,54
John,Rose,John Rose,1965-02-23,60
David,Kustoff,David Kustoff,1966-10-08,58
Steve,Cohen,Steve Cohen,1949-05-24,76
Nathaniel,Moran,Nathaniel Moran,1974-09-23,51
Dan,Crenshaw,Dan Crenshaw,1984-03-14,41
Keith,Self,Keith Self,1953-03-20,72
Pat,Fallon,Pat Fallon,1967-12-19,57
Lance,Gooden,Lance Gooden,1982-12-01,42
Jake,Ellzey,Jake Ellzey,1970-01-24,55
Lizzie,Fletcher,Lizzie Fletcher,1975-02-13,50
Morgan,Luttrell,Morgan Luttrell,1975-11-07,49
Al,Green,Al Green,1947-09-01,78
Michael,McCaul,Michael McCaul,1962-01-14,63
August,Pfluger,August Pfluger,1978-12-28,46
Craig,Goldman,Craig Goldman,1968-10-03,56
Ronny,Jackson,Ronny Jackson,1967-05-04,58
Randy,Weber,Randy Weber,1953-07-02,72
Monica De La,Cruz,Monica De La Cruz,1974-11-11,50
Veronica,Escobar,Veronica Escobar,1969-09-15,56
Pete,Sessions,Pete Sessions,1955-03-22,70
Jodey,Arrington,Jodey Arrington,1972-03-09,53
Joaquin,Castro,Joaquin Castro,1974-09-16,51
Chip,Roy,Chip Roy,1972-08-07,53
Troy,Nehls,Troy Nehls,1968-04-07,57
Tony,Gonzales,Tony Gonzales,1980-10-10,44
Beth Van,Duyne,Beth Van Duyne,1970-11-16,54
Roger,Williams,Roger Williams,1949-09-13,76
Brandon,Gill,Brandon Gill,1994-02-26,31
Michael,Cloud,Michael Cloud,1975-05-13,50
Henry,Cuellar,Henry Cuellar,1955-09-19,70
Sylvia,Garcia,Sylvia Garcia,1950-09-06,75
Jasmine,Crockett,Jasmine Crockett,1981-03-29,44
John,Carter,John Carter,1941-11-06,83
Julie,Johnson,Julie Johnson,1966-05-02,59
Marc,Veasey,Marc Veasey,1971-01-03,54
Vicente,Gonzalez,Vicente Gonzalez,1967-09-04,58
Greg,Casar,Greg Casar,1989-05-04,36
Brian,Babin,Brian Babin,1948-03-23,77
Lloyd,Doggett,Lloyd Doggett,1946-10-06,78
Wesley,Hunt,Wesley Hunt,1981-11-13,43
Blake,Moore,Blake Moore,1980-06-22,45
Celeste,Maloy,Celeste Maloy,1981-05-22,44
Mike,Kennedy,Mike Kennedy,1969-02-02,56
Burgess,Owens,Burgess Owens,1951-08-02,74
Becca,Balint,Becca Balint,1968-05-04,57
Rob,Wittman,Rob Wittman,1959-02-03,66
Jen,Kiggans,Jen Kiggans,1971-06-18,54
Bobby,Scott,Bobby Scott,1947-04-30,78
Jennifer,McClellan,Jennifer McClellan,1972-12-28,52
John,McGuire,John McGuire,1968-08-24,57
Ben,Cline,Ben Cline,1972-02-29,53
Eugene,Vindman,Eugene Vindman,1975-06-06,50
Don,Beyer,Don Beyer,1950-06-20,75
Morgan,Griffith,Morgan Griffith,1958-03-15,67
Suhas,Subramanyam,Suhas Subramanyam,1986-09-26,39
James,Walkinshaw,James Walkinshaw,1982-10-02,42
Suzan,DelBene,Suzan DelBene,1962-02-17,63
Rick,Larsen,Rick Larsen,1965-06-15,60
Marie Gluesenkamp,Perez,Marie Gluesenkamp Perez,1988-06-06,37
Dan,Newhouse,Dan Newhouse,1955-07-10,70
Michael,Baumgartner,Michael Baumgartner,1975-12-13,49
Emily,Randall,Emily Randall,1985-10-03,39
Pramila,Jayapal,Pramila Jayapal,1965-09-21,60
Kim,Schrier,Kim Schrier,1968-08-23,57
Adam,Smith,Adam Smith,1965-06-15,60
Marilyn,Strickland,Marilyn Strickland,1962-09-25,63
Carol,Miller,Carol Miller,1950-11-04,74
Riley,Moore,Riley Moore,1980-07-01,45
Bryan,Steil,Bryan Steil,1981-03-03,44
Mark,Pocan,Mark Pocan,1964-08-14,61
Derrick Van,Orden,Derrick Van Orden,1969-09-15,56
Gwen,Moore,Gwen Moore,1951-04-18,74
Scott,Fitzgerald,Scott Fitzgerald,1963-11-16,61
Glenn,Grothman,Glenn Grothman,1955-07-03,70
Tom,Tiffany,Tom Tiffany,1957-12-30,67
Tony,Wied,Tony Wied,1976-05-03,49
Harriet,Hageman,Harriet Hageman,1962-10-18,62
