first_name,middle_name,nick_name,last_name,suffix,title,chamber,State,state_abbr,District,Party,Terms,URL,name_slug,bioguide_id,date_of_birth
Tim,,,Burchett,,Representative,house,Tennessee,TN,2,Republican,House: 2019-Present,https://www.congress.gov/member/tim-burchett/B001309,tim-burchett,B001309,8/25/64
Eric,,,Burlison,,Representative,house,Missouri,MO,7,Republican,House: 2023-Present,https://www.congress.gov/member/eric-burlison/B001316,eric-burlison,B001316,10/2/76
Janelle,S.,,Bynum,,Representative,house,Oregon,OR,5,Democratic,House: 2025-Present,https://www.congress.gov/member/janelle-bynum/B001326,janelle-bynum,B001326,1/31/75
Ken,,,Calvert,,Representative,house,California,CA,41,Republican,House: 1993-Present,https://www.congress.gov/member/ken-calvert/C000059,ken-calvert,C000059,6/8/53
Kat,,,Cammack,,Representative,house,Florida,FL,3,Republican,House: 2021-Present,https://www.congress.gov/member/kat-cammack/C001039,kat-cammack,C001039,2/16/88
Maria,,,Cantwell,,Senator,senate,Washington,WA,,Democratic,Senate: 2001-Present | House: 1993-1995,https://www.congress.gov/member/maria-cantwell/C000127,maria-cantwell,C000127,10/13/58
Shelley,Moore,,Capito,,Senator,senate,West Virginia,WV,,Republican,Senate: 2015-Present | House: 2001-2015,https://www.congress.gov/member/shelley-capito/C001047,shelley-capito,C001047,
Salud,O.,,Carbajal,,Representative,house,California,CA,24,Democratic,House: 2017-Present,https://www.congress.gov/member/salud-carbajal/C001112,salud-carbajal,C001112,11/18/64
Mike,,,Carey,,Representative,house,Ohio,OH,15,Republican,House: 2021-Present,https://www.congress.gov/member/mike-carey/C001126,mike-carey,C001126,3/13/71
Andr,,,Carson,,Representative,house,Indiana,IN,7,Democratic,House: 2008-Present,https://www.congress.gov/member/andre-carson/C001072,andre-carson,C001072,10/16/74
Earl,L.,Buddy,Carter,,Representative,house,Georgia,GA,1,Republican,House: 2015-Present,https://www.congress.gov/member/earl-carter/C001103,earl-carter,C001103,
John,R.,,Carter,,Representative,house,Texas,TX,31,Republican,House: 2003-Present,https://www.congress.gov/member/john-carter/C001051,john-carter,C001051,11/6/41
Troy,A.,,Carter,,Representative,house,Louisiana,LA,2,Democratic,House: 2021-Present,https://www.congress.gov/member/troy-carter/C001125,troy-carter,C001125,10/26/63
Greg,,,Casar,,Representative,house,Texas,TX,35,Democratic,House: 2023-Present,https://www.congress.gov/member/greg-casar/C001131,greg-casar,C001131,5/4/89
Ed,,,Case,,Representative,house,Hawaii,HI,1,Democratic,"House: 2002-2007, 2019-Present",https://www.congress.gov/member/ed-case/C001055,ed-case,C001055,9/27/52
Bill,,,Cassidy,,Senator,senate,Louisiana,LA,,Republican,Senate: 2015-Present | House: 2009-2015,https://www.congress.gov/member/bill-cassidy/C001075,bill-cassidy,C001075,9/28/57
Sean,,,Casten,,Representative,house,Illinois,IL,6,Democratic,House: 2019-Present,https://www.congress.gov/member/sean-casten/C001117,sean-casten,C001117,11/23/71
Kathy,,,Castor,,Representative,house,Florida,FL,14,Democratic,House: 2007-Present,https://www.congress.gov/member/kathy-castor/C001066,kathy-castor,C001066,8/20/66
Joaquin,,,Castro,,Representative,house,Texas,TX,20,Democratic,House: 2013-Present,https://www.congress.gov/member/joaquin-castro/C001091,joaquin-castro,C001091,9/16/74
Sheila,,,Cherfilus-McCormick,,Representative,house,Florida,FL,20,Democratic,House: 2022-Present,https://www.congress.gov/member/sheila-cherfilus-mccormick/C001127,sheila-cherfilus-mccormick,C001127,1/25/79
Judy,,,Chu,,Representative,house,California,CA,28,Democratic,House: 2009-Present,https://www.congress.gov/member/judy-chu/C001080,judy-chu,C001080,7/7/53
Juan,,,Ciscomani,,Representative,house,Arizona,AZ,6,Republican,House: 2023-Present,https://www.congress.gov/member/juan-ciscomani/C001133,juan-ciscomani,C001133,8/31/82
Gilbert,Ray,,Cisneros,,Representative,house,California,CA,31,Democratic,"House: 2019-2021, 2025-Present",https://www.congress.gov/member/gilbert-cisneros/C001123,gilbert-cisneros,C001123,
Katherine,M.,,Clark,,Representative,house,Massachusetts,MA,5,Democratic,House: 2013-Present,https://www.congress.gov/member/katherine-clark/C001101,katherine-clark,C001101,7/17/63
Yvette,D.,,Clarke,,Representative,house,New York,NY,9,Democratic,House: 2007-Present,https://www.congress.gov/member/yvette-clarke/C001067,yvette-clarke,C001067,11/21/64
Emanuel,,,Cleaver,,Representative,house,Missouri,MO,5,Democratic,House: 2005-Present,https://www.congress.gov/member/emanuel-cleaver/C001061,emanuel-cleaver,C001061,10/26/44
Ben,,,Cline,,Representative,house,Virginia,VA,6,Republican,House: 2019-Present,https://www.congress.gov/member/ben-cline/C001118,ben-cline,C001118,2/29/72
Michael,,,Cloud,,Representative,house,Texas,TX,27,Republican,House: 2018-Present,https://www.congress.gov/member/michael-cloud/C001115,michael-cloud,C001115,5/13/75
James,E.,,Clyburn,,Representative,house,South Carolina,SC,6,Democratic,House: 1993-Present,https://www.congress.gov/member/james-clyburn/C000537,james-clyburn,C000537,
Andrew,S.,,Clyde,,Representative,house,Georgia,GA,9,Republican,House: 2021-Present,https://www.congress.gov/member/andrew-clyde/C001116,andrew-clyde,C001116,11/22/63
Steve,,,Cohen,,Representative,house,Tennessee,TN,9,Democratic,House: 2007-Present,https://www.congress.gov/member/steve-cohen/C001068,steve-cohen,C001068,5/24/49
Tom,,,Cole,,Representative,house,Oklahoma,OK,4,Republican,House: 2003-Present,https://www.congress.gov/member/tom-cole/C001053,tom-cole,C001053,4/28/49
Mike,,,Collins,,Representative,house,Georgia,GA,10,Republican,House: 2023-Present,https://www.congress.gov/member/mike-collins/C001129,mike-collins,C001129,7/2/67
Susan,M.,,Collins,,Senator,senate,Maine,ME,,Republican,Senate: 1997-Present,https://www.congress.gov/member/susan-collins/C001035,susan-collins,C001035,12/7/52
James,,,Comer,,Representative,house,Kentucky,KY,1,Republican,House: 2016-Present,https://www.congress.gov/member/james-comer/C001108,james-comer,C001108,8/19/72
Herbert,C.,,Conaway,,Representative,house,New Jersey,NJ,3,Democratic,House: 2025-Present,https://www.congress.gov/member/herbert-conaway/C001136,herbert-conaway,C001136,
Gerald,E.,,Connolly,,Representative,house,Virginia,VA,11,Democratic,House: 2009-2025,https://www.congress.gov/member/gerald-connolly/C001078,gerald-connolly,C001078,
Christopher,A.,,Coons,,Senator,senate,Delaware,DE,,Democratic,Senate: 2010-Present,https://www.congress.gov/member/christopher-coons/C001088,christopher-coons,C001088,
John,,,Cornyn,,Senator,senate,Texas,TX,,Republican,Senate: 2002-Present,https://www.congress.gov/member/john-cornyn/C001056,john-cornyn,C001056,2/2/52
J.,Luis,,Correa,,Representative,house,California,CA,46,Democratic,House: 2017-Present,https://www.congress.gov/member/j-correa/C001110,j-correa,C001110,
Catherine,,,Cortez Masto,,Senator,senate,Nevada,NV,,Democratic,Senate: 2017-Present,https://www.congress.gov/member/catherine-cortez-masto/C001113,catherine-cortez-masto,C001113,3/29/64
Jim,,,Costa,,Representative,house,California,CA,21,Democratic,House: 2005-Present,https://www.congress.gov/member/jim-costa/C001059,jim-costa,C001059,4/13/52
Tom,,,Cotton,,Senator,senate,Arkansas,AR,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/tom-cotton/C001095,tom-cotton,C001095,5/13/77
Joe,,,Courtney,,Representative,house,Connecticut,CT,2,Democratic,House: 2007-Present,https://www.congress.gov/member/joe-courtney/C001069,joe-courtney,C001069,4/6/53
Angie,,,Craig,,Representative,house,Minnesota,MN,2,Democratic,House: 2019-Present,https://www.congress.gov/member/angie-craig/C001119,angie-craig,C001119,2/14/72
Kevin,,,Cramer,,Senator,senate,North Dakota,ND,,Republican,Senate: 2019-Present | House: 2013-2019,https://www.congress.gov/member/kevin-cramer/C001096,kevin-cramer,C001096,1/21/61
Elijah,,,Crane,,Representative,house,Arizona,AZ,2,Republican,House: 2023-Present,https://www.congress.gov/member/elijah-crane/C001132,elijah-crane,C001132,
Jeff,,,Crank,,Representative,house,Colorado,CO,5,Republican,House: 2025-Present,https://www.congress.gov/member/jeff-crank/C001137,jeff-crank,C001137,1/28/67
Mike,,,Crapo,,Senator,senate,Idaho,ID,,Republican,Senate: 1999-Present | House: 1993-1999,https://www.congress.gov/member/mike-crapo/C000880,mike-crapo,C000880,5/20/51
Eric,A.,Rick,Crawford,,Representative,house,Arkansas,AR,1,Republican,House: 2011-Present,https://www.congress.gov/member/eric-crawford/C001087,eric-crawford,C001087,
Dan,,,Crenshaw,,Representative,house,Texas,TX,2,Republican,House: 2019-Present,https://www.congress.gov/member/dan-crenshaw/C001120,dan-crenshaw,C001120,3/14/84
Jasmine,,,Crockett,,Representative,house,Texas,TX,30,Democratic,House: 2023-Present,https://www.congress.gov/member/jasmine-crockett/C001130,jasmine-crockett,C001130,3/29/81
Jason,,,Crow,,Representative,house,Colorado,CO,6,Democratic,House: 2019-Present,https://www.congress.gov/member/jason-crow/C001121,jason-crow,C001121,3/15/79
Ted,,,Cruz,,Senator,senate,Texas,TX,,Republican,Senate: 2013-Present,https://www.congress.gov/member/ted-cruz/C001098,ted-cruz,C001098,12/22/70
Henry,,,Cuellar,,Representative,house,Texas,TX,28,Democratic,House: 2005-Present,https://www.congress.gov/member/henry-cuellar/C001063,henry-cuellar,C001063,9/19/55
John,R.,,Curtis,,Senator,senate,Utah,UT,,Republican,Senate: 2025-Present | House: 2017-2025,https://www.congress.gov/member/john-curtis/C001114,john-curtis,C001114,5/10/60
Steve,,,Daines,,Senator,senate,Montana,MT,,Republican,Senate: 2015-Present | House: 2013-2015,https://www.congress.gov/member/steve-daines/D000618,steve-daines,D000618,8/20/62
Sharice,,,Davids,,Representative,house,Kansas,KS,3,Democratic,House: 2019-Present,https://www.congress.gov/member/sharice-davids/D000629,sharice-davids,D000629,5/22/80
Warren,,,Davidson,,Representative,house,Ohio,OH,8,Republican,House: 2016-Present,https://www.congress.gov/member/warren-davidson/D000626,warren-davidson,D000626,3/1/70
Danny,K.,,Davis,,Representative,house,Illinois,IL,7,Democratic,House: 1997-Present,https://www.congress.gov/member/danny-davis/D000096,danny-davis,D000096,9/6/41
Donald,G.,,Davis,,Representative,house,North Carolina,NC,1,Democratic,House: 2023-Present,https://www.congress.gov/member/donald-davis/D000230,donald-davis,D000230,
Monica,,,De La Cruz,,Representative,house,Texas,TX,15,Republican,House: 2023-Present,https://www.congress.gov/member/monica-de-la-cruz/D000594,monica-de-la-cruz,D000594,11/11/74
Madeleine,,,Dean,,Representative,house,Pennsylvania,PA,4,Democratic,House: 2019-Present,https://www.congress.gov/member/madeleine-dean/D000631,madeleine-dean,D000631,6/6/59
Diana,,,DeGette,,Representative,house,Colorado,CO,1,Democratic,House: 1997-Present,https://www.congress.gov/member/diana-degette/D000197,diana-degette,D000197,7/29/57
Rosa,L.,,DeLauro,,Representative,house,Connecticut,CT,3,Democratic,House: 1991-Present,https://www.congress.gov/member/rosa-delauro/D000216,rosa-delauro,D000216,3/2/43
Suzan,K.,,DelBene,,Representative,house,Washington,WA,1,Democratic,House: 2012-Present,https://www.congress.gov/member/suzan-delbene/D000617,suzan-delbene,D000617,2/17/62
Christopher,R.,,Deluzio,,Representative,house,Pennsylvania,PA,17,Democratic,House: 2023-Present,https://www.congress.gov/member/christopher-deluzio/D000530,christopher-deluzio,D000530,
Mark,,,DeSaulnier,,Representative,house,California,CA,10,Democratic,House: 2015-Present,https://www.congress.gov/member/mark-desaulnier/D000623,mark-desaulnier,D000623,3/31/52
Scott,,,DesJarlais,,Representative,house,Tennessee,TN,4,Republican,House: 2011-Present,https://www.congress.gov/member/scott-desjarlais/D000616,scott-desjarlais,D000616,2/21/64
Maxine,,,Dexter,,Representative,house,Oregon,OR,3,Democratic,House: 2025-Present,https://www.congress.gov/member/maxine-dexter/D000635,maxine-dexter,D000635,12/5/72
Mario,,,Diaz-Balart,,Representative,house,Florida,FL,26,Republican,House: 2003-Present,https://www.congress.gov/member/mario-diaz-balart/D000600,mario-diaz-balart,D000600,9/25/61
Debbie,,,Dingell,,Representative,house,Michigan,MI,6,Democratic,House: 2015-Present,https://www.congress.gov/member/debbie-dingell/D000624,debbie-dingell,D000624,11/23/53
Lloyd,,,Doggett,,Representative,house,Texas,TX,37,Democratic,House: 1995-Present,https://www.congress.gov/member/lloyd-doggett/D000399,lloyd-doggett,D000399,10/6/46
Byron,,,Donalds,,Representative,house,Florida,FL,19,Republican,House: 2021-Present,https://www.congress.gov/member/byron-donalds/D000032,byron-donalds,D000032,10/26/78
Troy,,,Downing,,Representative,house,Montana,MT,2,Republican,House: 2025-Present,https://www.congress.gov/member/troy-downing/D000634,troy-downing,D000634,3/4/67
Tammy,,,Duckworth,,Senator,senate,Illinois,IL,,Democratic,Senate: 2017-Present | House: 2013-2017,https://www.congress.gov/member/tammy-duckworth/D000622,tammy-duckworth,D000622,3/12/68
Neal,P.,,Dunn,,Representative,house,Florida,FL,2,Republican,House: 2017-Present,https://www.congress.gov/member/neal-dunn/D000628,neal-dunn,D000628,2/16/53
Richard,J.,,Durbin,,Senator,senate,Illinois,IL,,Democratic,Senate: 1997-Present | House: 1983-1997,https://www.congress.gov/member/richard-durbin/D000563,richard-durbin,D000563,
Chuck,,,Edwards,,Representative,house,North Carolina,NC,11,Republican,House: 2023-Present,https://www.congress.gov/member/chuck-edwards/E000246,chuck-edwards,E000246,9/13/60
Sarah,,,Elfreth,,Representative,house,Maryland,MD,3,Democratic,House: 2025-Present,https://www.congress.gov/member/sarah-elfreth/E000301,sarah-elfreth,E000301,9/9/88
Jake,,,Ellzey,,Representative,house,Texas,TX,6,Republican,House: 2021-Present,https://www.congress.gov/member/jake-ellzey/E000071,jake-ellzey,E000071,1/24/70
Tom,,,Emmer,,Representative,house,Minnesota,MN,6,Republican,House: 2015-Present,https://www.congress.gov/member/tom-emmer/E000294,tom-emmer,E000294,3/3/61
Joni,,,Ernst,,Senator,senate,Iowa,IA,,Republican,Senate: 2015-Present,https://www.congress.gov/member/joni-ernst/E000295,joni-ernst,E000295,7/1/70
Veronica,,,Escobar,,Representative,house,Texas,TX,16,Democratic,House: 2019-Present,https://www.congress.gov/member/veronica-escobar/E000299,veronica-escobar,E000299,9/15/69
Adriano,,,Espaillat,,Representative,house,New York,NY,13,Democratic,House: 2017-Present,https://www.congress.gov/member/adriano-espaillat/E000297,adriano-espaillat,E000297,9/27/54
Ron,,,Estes,,Representative,house,Kansas,KS,4,Republican,House: 2017-Present,https://www.congress.gov/member/ron-estes/E000298,ron-estes,E000298,7/19/56
Dwight,,,Evans,,Representative,house,Pennsylvania,PA,3,Democratic,House: 2016-Present,https://www.congress.gov/member/dwight-evans/E000296,dwight-evans,E000296,5/16/54
Gabe,,,Evans,,Representative,house,Colorado,CO,8,Republican,House: 2025-Present,https://www.congress.gov/member/gabe-evans/E000300,gabe-evans,E000300,7/28/86
Mike,,,Ezell,,Representative,house,Mississippi,MS,4,Republican,House: 2023-Present,https://www.congress.gov/member/mike-ezell/E000235,mike-ezell,E000235,4/6/59
Pat,,,Fallon,,Representative,house,Texas,TX,4,Republican,House: 2021-Present,https://www.congress.gov/member/pat-fallon/F000246,pat-fallon,F000246,12/19/67
Julie,,,Fedorchak,,Representative,house,North Dakota,ND,At Large,Republican,House: 2025-Present,https://www.congress.gov/member/julie-fedorchak/F000482,julie-fedorchak,F000482,9/28/68
Randy,,,Feenstra,,Representative,house,Iowa,IA,4,Republican,House: 2021-Present,https://www.congress.gov/member/randy-feenstra/F000446,randy-feenstra,F000446,1/14/69
John,,,Fetterman,,Senator,senate,Pennsylvania,PA,,Democratic,Senate: 2023-Present,https://www.congress.gov/member/john-fetterman/F000479,john-fetterman,F000479,8/15/69
Cleo,,,Fields,,Representative,house,Louisiana,LA,6,Democratic,"House: 1993-1997, 2025-Present",https://www.congress.gov/member/cleo-fields/F000110,cleo-fields,F000110,11/22/62
Shomari,,,Figures,,Representative,house,Alabama,AL,2,Democratic,House: 2025-Present,https://www.congress.gov/member/shomari-figures/F000481,shomari-figures,F000481,9/3/85
Randy,,,Fine,,Representative,house,Florida,FL,6,Republican,House: 2025-Present,https://www.congress.gov/member/randy-fine/F000484,randy-fine,F000484,4/20/74
Brad,,,Finstad,,Representative,house,Minnesota,MN,1,Republican,House: 2022-Present,https://www.congress.gov/member/brad-finstad/F000475,brad-finstad,F000475,5/30/76
Michelle,,,Fischbach,,Representative,house,Minnesota,MN,7,Republican,House: 2021-Present,https://www.congress.gov/member/michelle-fischbach/F000470,michelle-fischbach,F000470,11/3/65
Deb,,,Fischer,,Senator,senate,Nebraska,NE,,Republican,Senate: 2013-Present,https://www.congress.gov/member/deb-fischer/F000463,deb-fischer,F000463,3/1/51
Scott,,,Fitzgerald,,Representative,house,Wisconsin,WI,5,Republican,House: 2021-Present,https://www.congress.gov/member/scott-fitzgerald/F000471,scott-fitzgerald,F000471,11/16/63
Brian,K.,,Fitzpatrick,,Representative,house,Pennsylvania,PA,1,Republican,House: 2017-Present,https://www.congress.gov/member/brian-fitzpatrick/F000466,brian-fitzpatrick,F000466,12/17/73
Charles,J.,Chuck,Fleischmann,,Representative,house,Tennessee,TN,3,Republican,House: 2011-Present,https://www.congress.gov/member/charles-fleischmann/F000459,charles-fleischmann,F000459,
Lizzie,,,Fletcher,,Representative,house,Texas,TX,7,Democratic,House: 2019-Present,https://www.congress.gov/member/lizzie-fletcher/F000468,lizzie-fletcher,F000468,2/13/75
Mike,,,Flood,,Representative,house,Nebraska,NE,1,Republican,House: 2022-Present,https://www.congress.gov/member/mike-flood/F000474,mike-flood,F000474,2/23/75
Vince,,,Fong,,Representative,house,California,CA,20,Republican,House: 2024-Present,https://www.congress.gov/member/vince-fong/F000480,vince-fong,F000480,10/24/79
Bill,,,Foster,,Representative,house,Illinois,IL,11,Democratic,"House: 2008-2011, 2013-Present",https://www.congress.gov/member/bill-foster/F000454,bill-foster,F000454,10/7/55
Valerie,P.,,Foushee,,Representative,house,North Carolina,NC,4,Democratic,House: 2023-Present,https://www.congress.gov/member/valerie-foushee/F000477,valerie-foushee,F000477,5/7/56
Virginia,,,Foxx,,Representative,house,North Carolina,NC,5,Republican,House: 2005-Present,https://www.congress.gov/member/virginia-foxx/F000450,virginia-foxx,F000450,
Lois,,,Frankel,,Representative,house,Florida,FL,22,Democratic,House: 2013-Present,https://www.congress.gov/member/lois-frankel/F000462,lois-frankel,F000462,5/16/48
Scott,,,Franklin,,Representative,house,Florida,FL,18,Republican,House: 2021-Present,https://www.congress.gov/member/scott-franklin/F000472,scott-franklin,F000472,8/23/64
